name,position,projection,salary
Pero Antic,C,7.847882,5000
Elton Brand,C/PF,8.855076,5000
Trey Burke,PG,24.38557,9650
Alec Burks,PG/SG,18.974967,8700
DeMarre Carroll,PF/SF,20.213474,7850
Jeremy Evans,PF/SF,20.019508,6700
Derrick Favors,C/PF,31.773962,11250
Diante Garrett,None,8.563047,-1
Gordon Hayward,SG/SF,31.539436,11400
Al Horford,C/PF,41.462951,14750
Richard Jefferson,SF,17.177115,5800
John Jenkins,SG/SF,5.020002,5000
Enes Kanter,C,20.317898,7500
Kyle Korver,SG/SF,25.234215,9850
Shelvin Mack,PG,14.483029,5000
Paul Millsap,PF,32.326834,12850
Brandon Rush,SG,5.513327,5000
Mike Scott,PF,10.607303,5000
Jeff Teague,PG,29.86432,12200
Louis Williams,PG/SG,16.249748,7250
Marvin Williams,PF/SF,22.499248,7800
Giannis Antetokounmpo,SG/SF,13.841096,6950
John Henson,C/PF,24.047697,11550
Ersan Ilyasova,PF/SF,13.853261,8250
Brandon Knight,PG/SG,19.953946,7650
Khris Middleton,PF/SF,16.56406,7150
Luke Ridnour,PG/SG,11.085608,5000
Ekpe Udoh,C/PF,10.542495,5000
Nate Wolters,PG,15.201959,7400
Anthony Bennett,PF/SF,4.6931,5000
Andrew Bynum,C,18.386898,6700
Earl Clark,PF/SF,11.068424,5000
Matthew Dellavedova,PG,7.69482,5000
Alonzo Gee,SG/SF,8.781533,5000
Kyrie Irving,PG/SG,30.944417,14400
Jarrett Jack,PG/SG,18.139565,8050
C.J. Miles,SG/SF,13.010455,5000
Tristan Thompson,C/PF,24.436404,9100
Anderson Varejao,C/PF,23.537448,9650
Dion Waiters,SG,21.163524,9450
DeJuan Blair,C/PF,18.511012,7050
Jose Calderon,PG,21.061841,9300
Vince Carter,SG/SF,18.441267,8350
Jae Crowder,PF/SF,10.575679,5000
Samuel Dalembert,C,17.317506,6300
DeMar DeRozan,SG/SF,27.436879,13100
Wayne Ellington,None,4.59441,-1
Monta Ellis,PG/SG,30.290727,12500
Tyler Hansbrough,C/PF,13.783638,5000
Bernard James,None,4.950023,-1
Amir Johnson,C/PF,24.288957,9750
Shane Larkin,PG,7.455208,5000
Kyle Lowry,PG,26.826297,11500
Shawn Marion,PF/SF,22.420268,9750
Gal Mekel,PG/SG,6.252136,5000
Dirk Nowitzki,C/PF,31.023855,13800
Patrick Patterson,C/PF,15.523416,6500
Terrence Ross,SG/SF,11.702717,8650
John Salmons,SG/SF,13.00645,5000
Jonas Valanciunas,C,16.83354,9850
Greivis Vasquez,PG/SG,16.518757,6950
Brandan Wright,C/PF,18.289095,7400
Eric Bledsoe,PG/SG,32.059828,15700
Goran Dragic,PG/SG,29.265678,13200
Channing Frye,C/PF,19.50654,7800
Archie Goodwin,None,5.976508,-1
Gerald Green,SG/SF,16.098436,6800
Marcus Morris,PF,16.689988,7350
Markieff Morris,C/PF,19.529219,8600
Miles Plumlee,C/PF,21.579048,9400
P.J. Tucker,SG/SF,17.890728,7500
Darrell Arthur,C/PF,10.243181,5000
Wilson Chandler,SG/SF,20.00902,9550
Kenneth Faried,PF,20.92317,9300
Evan Fournier,None,5.994689,-1
Randy Foye,PG/SG,15.409671,5550
Jordan Hamilton,SF,15.541821,5000
J.J. Hickson,C/PF,21.532289,10850
Ty Lawson,PG,31.98158,12200
Andre Miller,PG/SG,13.85406,6000
Quincy Miller,None,1.524165,-1
Timofey Mozgov,C,16.250419,6050
Nate Robinson,PG/SG,16.798911,6750
Chauncey Billups,PG/SG,10.347117,5000
Bismack Biyombo,C,12.432505,5000
Will Bynum,PG,11.793184,5000
Kentavious Caldwell-Pope,SG,11.278422,5000
Andre Drummond,C/PF,35.06906,14050
Ben Gordon,SG,8.216002,5000
Josh Harrellson,C/PF,7.075793,5000
Gerald Henderson,SG/SF,21.930956,9950
Al Jefferson,C/PF,31.007723,12650
Brandon Jennings,PG,28.35451,12150
Jonas Jerebko,PF/SF,5.397195,5000
Josh McRoberts,C/PF,23.270873,8500
Greg Monroe,C/PF,26.97032,12300
Ramon Sessions,PG/SG,14.793025,6400
Kyle Singler,SG/SF,12.434505,5800
Josh Smith,PF/SF,27.884763,12450
Jeff Taylor,SG/SF,11.630949,6550
Anthony Tolliver,PF/SF,9.551476,7000
Kemba Walker,PG,27.632949,12400
Cody Zeller,C/PF,11.03283,5000
