name,position,projection,salary
Trevor Ariza,SF,26.701049,-1
Brandon Bass,PF,24.649256,-1
Bradley Beal,SG,31.692616,-1
Trevor Booker,PF,15.567118,-1
Avery Bradley,SG,19.899565,-1
Jordan Crawford,SG,25.225241,-1
Vitor Faverani,C,11.385272,-1
Marcin Gortat,C,27.774798,-1
Jeff Green,SF,26.611818,-1
Nene Hilario,PF,25.232507,-1
Kris Humphries,PF,14.068185,-1
Courtney Lee,SF,11.117784,-1
Kelly Olynyk,C,15.657076,-1
Otto Porter,None,2.806873,-1
Phil Pressey,PG,6.721025,-1
Kevin Seraphin,PF,5.946119,-1
Jared Sullinger,PF,27.860325,-1
Garrett Temple,None,4.096842,-1
John Wall,PG,40.415624,-1
Gerald Wallace,SF,14.892533,-1
Martell Webster,SF,25.139007,-1
Bismack Biyombo,C,14.023906,5000
Trey Burke,PG,25.115511,9850
Alec Burks,PG/SG,20.283237,8700
Chris Douglas-Roberts,SG/SF,1.974218,5500
Jeremy Evans,PF/SF,18.560886,6600
Derrick Favors,C/PF,28.968617,11300
Diante Garrett,None,9.032211,-1
Ben Gordon,SG,9.219837,5000
Mike Harris,None,7.948859,-1
Gordon Hayward,SG/SF,29.085106,11400
Gerald Henderson,SG/SF,23.747537,10150
Al Jefferson,C/PF,38.068360,12800
Richard Jefferson,SF,15.767933,5800
Enes Kanter,C,19.543158,7450
John Lucas,None,8.714083,-1
Josh McRoberts,C/PF,26.149320,8900
Brandon Rush,SG,4.891746,5000
Ramon Sessions,PG/SG,15.934791,6450
Jeff Taylor,None,12.961999,-1
Anthony Tolliver,PF/SF,7.752625,7450
Kemba Walker,PG,30.236127,13150
Marvin Williams,PF/SF,20.172463,7750
Cody Zeller,C/PF,12.732433,5000
Andrew Bynum,C,20.573510,6700
Earl Clark,PF/SF,11.831251,5000
Matthew Dellavedova,PG,7.866164,5000
Alonzo Gee,SG/SF,9.127490,5000
Kyrie Irving,PG/SG,31.711585,14400
Jarrett Jack,PG/SG,18.883662,8050
C.J. Miles,SG/SF,14.028396,5000
Tristan Thompson,C/PF,27.162684,9100
Anderson Varejao,C/PF,24.742237,9650
D.J. Augustin,PG,8.338791,8250
Carlos Boozer,C/PF,26.809836,10500
Jimmy Butler,SG/SF,20.921274,8150
Mike Dunleavy,SG/SF,18.913350,8050
Taj Gibson,C/PF,20.486829,9050
Nazr Mohammed,C,5.354915,5000
Erik Murphy,None,0.329822,-1
Joakim Noah,C/PF,32.270639,11750
Tony Snell,SG/SF,8.124086,5000
Marquis Teague,PG,5.063694,5000
Patrick Beverley,PG/SG,16.625906,7950
Chauncey Billups,PG/SG,9.579817,5000
Ronnie Brewer,None,1.518193,-1
Aaron Brooks,PG,10.113076,5000
Will Bynum,PG,11.030671,5000
Kentavious Caldwell-Pope,SG,10.582661,5000
Omri Casspi,SF,13.427406,6150
Andre Drummond,C/PF,30.181017,13900
Francisco Garcia,SG/SF,11.345641,5000
James Harden,SG/SF,30.272628,15200
Josh Harrellson,C/PF,7.248324,5000
Dwight Howard,C/PF,33.741886,14650
Brandon Jennings,PG,27.287053,13900
Terrence Jones,PF/SF,18.069064,8550
Greg Monroe,C/PF,27.514128,11850
Donatas Motiejunas,PF/SF,3.948037,5000
Chandler Parsons,PF/SF,24.447565,12250
Kyle Singler,SG/SF,13.148866,5450
Greg Smith,C/PF,6.545999,5000
Josh Smith,PF/SF,28.937434,13000
Pau Gasol,C/PF,28.363627,12650
Xavier Henry,SG/SF,16.897797,6800
Jordan Hill,C/PF,19.824965,8100
Wesley Johnson,SG/SF,17.779497,7350
Chris Kaman,C/PF,14.732490,5000
Jodie Meeks,SG,20.227414,7050
Robert Sacre,C,11.110484,5000
Shawne Williams,PF/SF,12.336473,5350
Nick Young,SG/SF,23.550393,8700
Harrison Barnes,PF/SF,18.282670,7400
Kent Bazemore,None,3.783988,-1
Andrew Bogut,C,24.152242,10900
Stephen Curry,PG/SG,41.634006,19400
Toney Douglas,PG/SG,7.301566,5000
Draymond Green,SF,12.983604,5900
Andre Iguodala,SG/SF,26.169788,9100
David Lee,C/PF,27.778387,13850
Marreese Speights,C/PF,7.997516,5000
Klay Thompson,SG/SF,27.339718,10600
Darrell Arthur,C/PF,11.807312,5000
Wilson Chandler,SG/SF,22.526754,9550
Kenneth Faried,PF,23.739271,9300
Evan Fournier,None,6.019195,-1
Randy Foye,PG/SG,15.292431,5550
J.J. Hickson,C/PF,24.777098,10850
Ty Lawson,PG,31.223650,12200
Andre Miller,PG/SG,13.709084,6000
Timofey Mozgov,C,9.519525,6050
Anthony Randolph,C/PF,12.146474,5000
Nate Robinson,PG/SG,16.616090,6750
Darren Collison,PG,13.085934,6200
Jamal Crawford,PG/SG,21.304244,9750
Jared Dudley,SG/SF,14.863449,8300
Willie Green,SG,8.574690,5000
Blake Griffin,C/PF,39.698748,14850
Ryan Hollins,C,3.995710,5000
Stephen Jackson,None,4.565445,-1
DeAndre Jordan,C,26.257621,12800
Chris Paul,PG,44.053319,18750
Lavoy Allen,C/PF,12.844222,5000
James Anderson,SG/SF,17.638375,7350
Giannis Antetokounmpo,SG/SF,15.453263,6900
Michael Carter-Williams,PG,38.640343,15450
Brandon Davies,PF,5.700829,5000
Spencer Hawes,C/PF,31.263043,11950
John Henson,C/PF,28.811166,12550
Brandon Knight,PG/SG,24.269738,9500
O.J. Mayo,PG/SG,22.838012,7500
Khris Middleton,PF/SF,19.291721,8350
Miroslav Raduljica,None,7.845744,-1
Luke Ridnour,PG/SG,13.934460,5000
Hollis Thompson,PF/SF,11.080457,6200
Evan Turner,SG/SF,31.434621,11800
Ekpe Udoh,C/PF,12.700374,5000
Nate Wolters,PG,17.943027,6300
Tony Wroten,PG,22.685399,11150
Thaddeus Young,PF/SF,25.092869,10450
Tony Allen,SF,22.363344,-1
Carmelo Anthony,SF,40.781265,-1
Andrea Bargnani,PF,23.906159,-1
Jerryd Bayless,SG,13.710554,-1
Nick Calathes,SG,7.522301,-1
Tyson Chandler,None,30.833693,-1
Ed Davis,PF,12.311346,-1
Jamaal Franklin,None,5.457987,-1
Tim Hardaway,None,11.731102,-1
James Johnson,None,11.351350,-1
Kosta Koufos,PF,21.828725,-1
Jon Leuer,PF,17.904374,-1
Mike Miller,SF,14.141846,-1
Toure Murry,None,2.945253,-1
Zach Randolph,PF,28.678527,-1
Iman Shumpert,SF,16.434612,-1
J.R. Smith,SF,19.246214,-1
Beno Udrih,PG,10.885402,-1
Metta World Peace,SF,10.947446,-1
Quincy Acy,PF,7.500974,5000
DeMarcus Cousins,C/PF,37.026033,16850
Jimmer Fredette,PG/SG,7.181411,5750
Rudy Gay,PF/SF,28.212561,11750
Ray McCallum,None,0.179681,-1
Ben McLemore,SG,13.910963,5000
Travis Outlaw,PF/SF,10.035608,5000
Isaiah Thomas,PG,26.528613,13500
Jason Thompson,C/PF,13.028019,6050
Marcus Thornton,SG,13.026096,5900
Derrick Williams,PF/SF,13.048511,7050
Quincy Acy,PF,8.496835,5000
DeMarcus Cousins,C/PF,43.325437,16850
Glen Davis,C/PF,26.758766,9650
Jimmer Fredette,PG/SG,8.101951,5750
Rudy Gay,PF/SF,31.296200,11750
Aaron Gray,None,4.629207,-1
Maurice Harkless,SF,12.998097,5000
Tobias Harris,PF/SF,16.199246,7350
Ray McCallum,None,0.271822,-1
Ben McLemore,SG,15.403385,5000
ETwaun Moore,PG/SG,13.050282,5000
Hamady NDiaye,None,2.281399,-1
Jameer Nelson,PG,23.900157,10600
Andrew Nicholson,PF,17.974513,5600
Kyle OQuinn,C/PF,8.284642,5000
Victor Oladipo,PG/SG,22.889072,8700
Travis Outlaw,PF/SF,11.089052,5000
Ronnie Price,PG/SG,6.964894,5000
Isaiah Thomas,PG,30.732988,13500
Jason Thompson,C/PF,15.417291,6050
Nikola Vucevic,C/PF,37.318157,13200
Derrick Williams,PF/SF,14.153605,7050
DeJuan Blair,C/PF,19.329466,7350
Eric Bledsoe,PG/SG,29.708579,15250
Jose Calderon,PG,21.836117,9350
Vince Carter,SG/SF,17.799394,8950
Jae Crowder,PF/SF,11.353517,5000
Samuel Dalembert,C,17.430153,7100
Goran Dragic,PG/SG,27.708441,12400
Monta Ellis,PG/SG,29.704203,12550
Channing Frye,C/PF,24.544216,8550
Archie Goodwin,None,5.661329,-1
Gerald Green,SG/SF,21.350392,7250
Shane Larkin,PG,7.288138,5000
Shawn Marion,PF/SF,23.957881,10200
Marcus Morris,PF,21.437235,6400
Markieff Morris,C/PF,26.357802,8450
Dirk Nowitzki,C/PF,33.505907,13350
Miles Plumlee,C/PF,28.449996,10400
Ishmael Smith,None,7.034374,-1
P.J. Tucker,SG/SF,22.196652,6900
Brandan Wright,C/PF,19.590134,6900
LaMarcus Aldridge,C/PF,40.912789,16700
Al-Farouq Aminu,SF,19.456001,8300
Ryan Anderson,C/PF,31.312889,12750
Nicolas Batum,SG/SF,28.865085,13100
Anthony Davis,C/PF,42.136105,16950
Tyreke Evans,SG/SF,21.798946,9050
Joel Freeland,PF/SF,9.203771,5000
Eric Gordon,SG,22.838843,8350
Jrue Holiday,PG,31.804117,12100
Meyers Leonard,C/PF,5.284302,5000
Damian Lillard,PG,39.488196,15650
Robin Lopez,C,22.886293,8200
Wesley Matthews,SG/SF,29.477122,9800
Anthony Morrow,SG/SF,9.856217,5000
Austin Rivers,PG/SG,6.670642,5000
Thomas Robinson,PF,9.142484,5000
Jason Smith,C/PF,20.415217,8550
Mo Williams,PG/SG,19.824260,7150
Dorell Wright,SG/SF,10.867192,5000
Steven Adams,C,12.728172,5000
Jeff Ayres,C/PF,7.367548,5000
Aron Baynes,C,6.025971,5000
Marco Belinelli,SG,16.959567,6850
Matt Bonner,PF,6.865100,5000
Nick Collison,C/PF,9.839869,5000
Nando De Colo,PG/SG,5.501412,5000
Boris Diaw,C/PF,17.019989,7000
Kevin Durant,PF/SF,43.592043,19000
Derek Fisher,None,5.920027,-1
Danny Green,SG/SF,16.524564,6950
Serge Ibaka,C/PF,28.800858,10700
Reggie Jackson,PG,19.759086,8150
Perry Jones,PF/SF,6.599487,5000
Cory Joseph,PG,5.758212,5000
Jeremy Lamb,SG/SF,14.823355,7200
Kawhi Leonard,SG/SF,25.768181,10450
Patrick Mills,PG,14.151358,5000
Kendrick Perkins,C,9.315349,5000
Andre Roberson,PF/SF,4.641168,5000
Thabo Sefolosha,SG/SF,14.818505,6400
Tiago Splitter,C,17.519386,7500
Russell Westbrook,PG,33.509472,16150
