name,position,projection,salary
Jeff Ayres,C/PF,7.396535,5000
Marco Belinelli,SG,16.642515,6250
Matt Bonner,PF,7.056994,5000
Boris Diaw,C/PF,17.500291,6700
Tim Duncan,C/PF,32.503083,13650
Manu Ginobili,SG/SF,22.848159,8950
Danny Green,SG/SF,16.404923,6100
Cory Joseph,PG,5.903812,5000
Kawhi Leonard,SG/SF,25.843327,10300
Patrick Mills,PG,13.396345,5000
Tiago Splitter,C,18.481703,7650
Hilton Armstrong,None,6.055727,-1
Harrison Barnes,PF/SF,22.693064,8900
Kent Bazemore,None,3.988525,-1
Andrew Bogut,C,22.353453,10500
Stephen Curry,PG/SG,42.454657,18100
Toney Douglas,PG/SG,8.043242,5000
Draymond Green,SF,15.779056,6100
Andre Iguodala,SG/SF,27.508212,9750
David Lee,C/PF,33.866449,13350
Nemanja Nedovic,None,1.952701,-1
Marreese Speights,C/PF,9.478488,5000
Klay Thompson,SG/SF,28.954467,11050
D.J. Augustin,PG,7.582266,6650
Carlos Boozer,C/PF,29.325960,10550
Jimmy Butler,SG/SF,24.173040,8900
Luol Deng,PF/SF,34.907440,13650
Mike Dunleavy,SG/SF,20.530959,8350
Taj Gibson,C/PF,22.361604,8050
Nazr Mohammed,C,5.579060,5000
Erik Murphy,None,0.423413,-1
Joakim Noah,C/PF,30.199670,12900
Tony Snell,SG/SF,7.839637,5000
Marquis Teague,PG,5.749889,5000
Steven Adams,C,10.229980,5000
Nick Collison,C/PF,12.139478,5000
Kevin Durant,PF/SF,53.509635,18850
Derek Fisher,None,6.210561,-1
Serge Ibaka,C/PF,38.692160,11550
Reggie Jackson,PG,20.355521,8450
Perry Jones,PF/SF,8.658423,5000
Jeremy Lamb,SG/SF,15.067357,7450
Kendrick Perkins,C,8.495935,5000
Andre Roberson,PF/SF,5.967048,5000
Thabo Sefolosha,SG/SF,14.489114,5650
Russell Westbrook,PG,34.533260,16600
