name,position,projection,salary
Jon Leuer,PF/C,19.007428,-1
Mike Miller,SG/SF,15.189768,-1
Toure Murry,SG,3.475331,-1
Zach Randolph,PF/C,32.350773,-1
Iman Shumpert,SG/SF,18.092089,-1
J.R. Smith,SG/SF,22.191392,-1
Beno Udrih,PG,12.093157,-1
Metta World Peace,SF/PF,12.187754,-1
Quincy Acy,PF,7.983193,3000
DeMarcus Cousins,PF/C,41.800075,9500
Jimmer Fredette,PG/SG,8.031946,3000
Rudy Gay,SF/PF,33.009527,7000
Ray McCallum,PG,0.736058,3000
Ben McLemore,SG,15.850297,4800
Travis Outlaw,SF/PF,11.004252,3000
Isaiah Thomas,PG,29.663105,6500
Jason Thompson,PF/C,14.734378,4100
Marcus Thornton,SG,14.668316,3200
Derrick Williams,SF/PF,14.759636,4300
Quincy Acy,PF,8.929064,3000
DeMarcus Cousins,PF/C,46.922538,9500
Glen Davis,PF/C,29.421136,5700
Jimmer Fredette,PG/SG,9.092478,3000
Rudy Gay,SF/PF,35.574567,7000
Aaron Gray,C,5.217713,3000
Maurice Harkless,SF,14.398776,3300
Tobias Harris,SF/PF,18.572984,4800
Ray McCallum,PG,0.878244,3000
Ben McLemore,SG,17.684654,4800
ETwaun Moore,PG/SG,14.151795,3000
Hamady NDiaye,C,2.463296,3000
Jameer Nelson,PG,26.565720,6200
Andrew Nicholson,PF,19.407154,3700
Kyle OQuinn,PF/C,8.915014,3000
Victor Oladipo,PG/SG,26.296759,5900
Travis Outlaw,SF/PF,12.014783,3000
Ronnie Price,PG/SG,7.597743,3000
Isaiah Thomas,PG,34.292399,6500
Jason Thompson,PF/C,16.903797,4100
Nikola Vucevic,PF/C,39.448367,7500
Derrick Williams,SF/PF,15.694943,4300
DeJuan Blair,PF/C,21.102379,4200
Eric Bledsoe,PG/SG,33.182870,8000
Jose Calderon,PG,22.888977,5300
Vince Carter,SG/SF,19.930152,5100
Jae Crowder,SF/PF,12.419571,3100
Samuel Dalembert,C,18.445272,4200
Goran Dragic,PG/SG,30.747813,7400
Monta Ellis,PG/SG,33.540263,7500
Channing Frye,PF/C,26.332562,4800
Archie Goodwin,SG,6.716864,3000
Gerald Green,SG/SF,24.124471,3800
Shane Larkin,PG,8.754252,3900
Shawn Marion,SF/PF,26.165906,5500
Marcus Morris,PF,23.482205,4100
Markieff Morris,PF/C,29.041633,5300
Dirk Nowitzki,PF/C,36.244068,7300
Miles Plumlee,PF/C,30.814204,5400
Ishmael Smith,None,8.064357,-1
P.J. Tucker,SG/SF,24.235334,4400
Brandan Wright,PF/C,20.925576,4200
LaMarcus Aldridge,PF/C,44.103467,9700
Al-Farouq Aminu,SF,21.144993,4900
Ryan Anderson,PF/C,34.252767,6900
Nicolas Batum,SG/SF,31.682569,7100
Anthony Davis,PF/C,44.616233,8500
Tyreke Evans,SG/SF,24.863967,5300
Joel Freeland,SF/PF,10.166766,3000
Eric Gordon,SG,25.875989,5500
Jrue Holiday,PG,35.467259,7700
Meyers Leonard,PF/C,5.521434,3000
Damian Lillard,PG,42.782287,8500
Robin Lopez,C,24.192740,5300
Wesley Matthews,SG/SF,31.125218,5700
Anthony Morrow,SG/SF,10.704085,3000
Austin Rivers,PG/SG,7.747365,3000
Thomas Robinson,PF,10.193966,3000
Jason Smith,PF/C,22.244852,4200
Mo Williams,PG/SG,22.450356,4500
Dorell Wright,SG/SF,11.733425,3000
Steven Adams,C,13.610464,3400
Jeff Ayres,PF/C,8.210798,3000
Aron Baynes,C,6.946808,3000
Marco Belinelli,SG,18.161386,3900
Matt Bonner,PF,7.287009,3000
Nick Collison,PF/C,10.703588,3000
Nando De Colo,PG/SG,6.310574,3000
Boris Diaw,PF/C,18.869475,3700
Kevin Durant,SF/PF,47.040712,11300
Derek Fisher,PG,6.763549,3000
Danny Green,SG/SF,17.840165,3900
Serge Ibaka,PF/C,30.896734,6600
Reggie Jackson,PG,22.101869,4700
Perry Jones,SF/PF,7.012819,3000
Cory Joseph,PG,6.600563,3000
Jeremy Lamb,SG/SF,16.098489,4100
Kawhi Leonard,SG/SF,27.816825,6100
Patrick Mills,PG,15.288319,3600
Kendrick Perkins,C,10.314712,3000
Andre Roberson,SF/PF,5.071786,3100
Thabo Sefolosha,SG/SF,16.343712,3100
Tiago Splitter,C,18.960636,4100
Russell Westbrook,PG,38.456910,8800
