name,position,projection,salary
Jeff Ayres,PF,7.787577,6000
Marco Belinelli,SG,16.600509,8900
Matt Bonner,PF/C,6.985329,5500
Boris Diaw,PF,18.403764,7500
Tim Duncan,PF,34.376049,13100
Manu Ginobili,SG,23.496292,9700
Danny Green,SG/SF,16.645434,5500
Cory Joseph,PG,6.364447,5000
Kawhi Leonard,SF,26.988974,10500
Patrick Mills,None,13.474849,-1
Tiago Splitter,C,19.274691,5200
Hilton Armstrong,PF/C,6.249975,5000
Harrison Barnes,SF,23.610734,9200
Kent Bazemore,SG,4.302951,5000
Andrew Bogut,C,23.013266,10600
Stephen Curry,PG,42.762480,17400
Toney Douglas,PG,7.888058,5500
Draymond Green,SF,15.986254,7500
Andre Iguodala,SF,27.517052,6200
David Lee,PF,33.854752,14100
Nemanja Nedovic,PG,2.360783,5000
Marreese Speights,PF/C,10.259095,5600
Klay Thompson,SG,28.993966,10800
D.J. Augustin,None,8.452015,-1
Carlos Boozer,PF,31.832731,12800
Jimmy Butler,SG/SF,25.229858,8100
Luol Deng,SF,37.476793,13900
Mike Dunleavy,SG/SF,20.985397,8300
Taj Gibson,PF/C,24.191864,7500
Nazr Mohammed,C,5.835559,5000
Erik Murphy,PF,0.645657,5000
Joakim Noah,C,31.382095,14600
Tony Snell,SF,8.403384,6000
Marquis Teague,PG,6.733953,7500
Steven Adams,C,10.729338,6000
Nick Collison,PF/C,12.762527,6000
Kevin Durant,SF,55.952625,19900
Derek Fisher,PG,6.714274,5500
Serge Ibaka,PF/C,38.708461,11300
Reggie Jackson,PG,21.512551,9100
Perry Jones,PF,8.900110,5500
Jeremy Lamb,SG,15.528969,7800
Kendrick Perkins,C,8.959407,7500
Andre Roberson,SG/SF,6.175310,6000
Thabo Sefolosha,SG,15.256017,6000
Russell Westbrook,PG,37.084394,16900
