name,position,projection,salary
Brandon Bass,PF/C,24.069191,5200
Avery Bradley,PG/SG,24.444244,4800
Jordan Crawford,PG/SG,29.637551,5600
Vitor Faverani,C,11.688996,3000
Jeff Green,SG/SF,25.367044,6400
Kris Humphries,PF,13.787184,3100
Courtney Lee,SG/SF,12.262886,3000
Kelly Olynyk,C,15.341775,4600
Phil Pressey,PG,8.290724,4000
Jared Sullinger,PF/C,27.409740,6000
Gerald Wallace,SF/PF,14.747392,3400
Rasual Butler,SG/SF,4.584276,3000
Chris Copeland,SF/PF,5.328498,3000
Paul George,SG/SF,45.672099,8800
Danny Granger,SF,13.635577,3000
Roy Hibbert,C,32.856273,6700
George Hill,PG/SG,25.940045,5600
Orlando Johnson,SF,7.292850,3000
Ian Mahinmi,C,10.018274,3000
Luis Scola,PF/C,17.781223,4100
Donald Sloan,PG/SG,7.682697,3000
Lance Stephenson,SG,30.435592,6500
C.J. Watson,PG,14.585747,3000
David West,PF,32.049601,6700
Matt Barnes,SF,19.671586,3800
Darren Collison,PG,13.645057,3600
Jamal Crawford,PG/SG,22.817429,5700
Jared Dudley,SG/SF,17.446323,4400
Willie Green,SG,9.057743,3000
Blake Griffin,PF/C,47.132114,8700
Ryan Hollins,C,4.147710,3000
Stephen Jackson,SG/SF,6.182364,3000
Antawn Jamison,PF,11.187979,3000
DeAndre Jordan,C,25.395766,6600
Chris Paul,PG,43.672549,9800
Jose Barea,None,18.524556,-1
Corey Brewer,SG/SF,23.200213,4500
Dante Cunningham,PF,16.167669,3500
Gorgui Dieng,C,8.814137,3000
Kevin Love,PF/C,54.973589,11300
Kevin Martin,SG/SF,34.110543,5800
Luc Mbah a Moute,None,12.928504,-1
Nikola Pekovic,C,41.289396,7300
A.J. Price,PG,2.778470,3000
Ricky Rubio,PG,35.903068,7000
Alexey Shved,PG/SG,7.672975,3000
Steven Adams,C,13.315981,3300
Nick Collison,PF/C,10.567474,3000
Kevin Durant,SF/PF,45.578140,11500
Derek Fisher,PG,7.487548,3000
Serge Ibaka,PF/C,30.162351,6800
Reggie Jackson,PG,24.052991,4700
Jeremy Lamb,SG/SF,17.114893,4100
Kendrick Perkins,C,10.801192,3000
Thabo Sefolosha,SG/SF,17.313713,3100
Russell Westbrook,PG,41.481479,9000
DeMar DeRozan,SG/SF,35.528570,7700
Tyler Hansbrough,PF/C,14.267331,3100
Chuck Hayes,PF/C,7.509923,3000
Amir Johnson,PF/C,25.511102,6300
Kyle Lowry,PG,34.481414,7200
Patrick Patterson,PF/C,17.284118,3300
Terrence Ross,SG/SF,14.818959,4200
John Salmons,SG/SF,15.419344,3100
Jonas Valanciunas,C,26.679213,5800
Greivis Vasquez,PG/SG,21.307342,5200
