name,position,projection,salary
Jeff Ayres,PF/C,8.300701,3000
Marco Belinelli,SG,17.812553,3700
Matt Bonner,PF,7.539590,3000
Boris Diaw,PF/C,19.354544,3400
Tim Duncan,PF/C,35.471202,8200
Manu Ginobili,SG/SF,25.106905,5000
Danny Green,SG/SF,17.803109,4400
Cory Joseph,PG,6.652820,3500
Kawhi Leonard,SG/SF,27.926052,5900
Patrick Mills,PG,14.442837,3600
Tiago Splitter,C,19.914431,3800
Hilton Armstrong,PF/C,6.249975,3000
Harrison Barnes,SF/PF,24.869995,5200
Kent Bazemore,SG/SF,4.846802,3000
Andrew Bogut,C,23.708597,5700
Stephen Curry,PG/SG,46.758287,10300
Toney Douglas,PG/SG,8.999694,3000
Draymond Green,SF,16.959588,3200
Andre Iguodala,SG/SF,29.670400,6000
David Lee,PF/C,36.461256,7800
Nemanja Nedovic,PG/SG,2.763788,3000
Marreese Speights,PF/C,10.655639,3000
Klay Thompson,SG/SF,31.756551,6300
D.J. Augustin,PG,9.140954,4000
Carlos Boozer,PF/C,33.150960,6400
Jimmy Butler,SG/SF,26.528093,4700
Luol Deng,SF/PF,39.259914,6100
Mike Dunleavy,SG/SF,22.456477,5000
Taj Gibson,PF/C,25.121112,4700
Nazr Mohammed,C,6.118680,3000
Erik Murphy,PF/C,0.732114,3000
Joakim Noah,PF/C,32.118202,7200
Tony Snell,SG/SF,9.086824,3700
Marquis Teague,PG,7.228521,3000
Steven Adams,C,11.134366,3200
Nick Collison,PF/C,13.266796,3000
Kevin Durant,SF/PF,58.541530,11300
Derek Fisher,PG,7.060095,3000
Serge Ibaka,PF/C,41.028832,6900
Reggie Jackson,PG,22.668277,4500
Perry Jones,SF/PF,9.315665,3000
Jeremy Lamb,SG/SF,16.330532,4100
Kendrick Perkins,C,9.541830,3000
Andre Roberson,SF/PF,6.579846,3100
Thabo Sefolosha,SG/SF,15.989521,3000
Russell Westbrook,PG,39.537850,9200
