name,position,projection,salary
Brandon Bass,PF,23.459521,8600
Avery Bradley,PG/SG,22.825514,9800
Jordan Crawford,SG,27.660122,10100
Vitor Faverani,C,10.739202,8300
Jeff Green,SF/PF,23.654539,8800
Kris Humphries,PF,13.343709,6000
Courtney Lee,SG,11.416189,5500
Kelly Olynyk,C,14.164683,5000
Phil Pressey,PG,7.883499,5000
Jared Sullinger,PF,26.139679,12800
Gerald Wallace,SF,13.547891,6000
Rasual Butler,SG/SF,4.108696,5000
Chris Copeland,SF,4.729521,5000
Paul George,SG,42.804036,15900
Danny Granger,SF,10.482308,6000
Roy Hibbert,C,32.039063,12000
George Hill,PG,24.395973,8000
Orlando Johnson,SG,6.866083,5000
Ian Mahinmi,C,9.687870,6000
Luis Scola,PF,16.902908,7000
Donald Sloan,PG,7.356322,5000
Lance Stephenson,SG,28.574896,10700
C.J. Watson,None,13.698489,-1
David West,PF,31.151343,11000
Matt Barnes,SF,18.634443,5000
Darren Collison,PG,12.859912,6200
Jamal Crawford,SG,21.098030,9400
Jared Dudley,SF,16.093045,8000
Willie Green,SG,8.492108,7500
Blake Griffin,PF,44.207820,15100
Ryan Hollins,C,3.882538,5000
Stephen Jackson,SF,5.857420,5500
Antawn Jamison,PF,10.657413,5000
DeAndre Jordan,C,24.744685,12800
Chris Paul,PG,40.593926,17500
Jose Barea,PG,17.469711,7500
Corey Brewer,SF,21.972887,9900
Dante Cunningham,PF,16.008339,7500
Gorgui Dieng,C,8.464636,5000
Kevin Love,PF/C,51.193706,19500
Kevin Martin,SG,32.347159,11500
Luc Mbah a Moute,SF,12.584154,7500
Nikola Pekovic,C,38.818540,12700
A.J. Price,None,2.491338,-1
Ricky Rubio,PG,34.172275,12000
Alexey Shved,SG,7.233053,7500
Steven Adams,C,12.698455,7500
Nick Collison,PF/C,10.073895,6000
Kevin Durant,SF,42.843051,19500
Derek Fisher,PG,7.127327,5500
Serge Ibaka,PF/C,29.232668,9800
Reggie Jackson,PG,22.705262,8200
Jeremy Lamb,SG,16.263848,7500
Kendrick Perkins,C,9.944877,7500
Thabo Sefolosha,SG,16.556093,6800
Russell Westbrook,PG,38.864918,15300
DeMar DeRozan,SG,33.564438,13500
Tyler Hansbrough,PF/C,13.764790,5500
Chuck Hayes,PF,7.270291,5000
Amir Johnson,PF,24.485822,11000
Kyle Lowry,PG,31.983299,12400
Patrick Patterson,PF,16.440351,6000
Terrence Ross,SG,13.589193,7500
John Salmons,SG,14.499776,8000
Jonas Valanciunas,C,25.607571,10300
Greivis Vasquez,PG,19.923710,7500
