name,position,projection,salary
Pero Antic,C,8.563821,3000
Elton Brand,PF/C,9.456997,3000
Trey Burke,PG,26.847752,6300
Alec Burks,PG/SG,21.452204,5000
DeMarre Carroll,SF/PF,21.645556,4000
Jeremy Evans,SF/PF,21.293651,3500
Derrick Favors,PF/C,34.514317,7000
Diante Garrett,PG/SG,9.663305,3000
Gordon Hayward,SG/SF,35.621708,6900
Al Horford,PF/C,44.988701,8200
Richard Jefferson,SF,18.944117,3400
John Jenkins,SG/SF,5.948159,3000
Enes Kanter,C,22.855052,4500
Kyle Korver,SG/SF,25.479706,5400
Shelvin Mack,PG,15.516602,3300
Paul Millsap,PF,34.839325,8000
Brandon Rush,SG,6.146613,3000
Mike Scott,PF,11.674461,3000
Jeff Teague,PG,33.638323,7000
Louis Williams,None,18.076093,-1
Marvin Williams,SF/PF,23.835452,5000
Giannis Antetokounmpo,SG/SF,15.183598,4000
John Henson,PF/C,26.160714,6500
Ersan Ilyasova,SF/PF,16.097368,4400
Brandon Knight,PG/SG,23.361303,5800
Khris Middleton,SF/PF,18.061718,4500
Luke Ridnour,PG/SG,12.800675,3000
Ekpe Udoh,PF/C,11.753583,3000
Nate Wolters,PG,17.183157,5700
Anthony Bennett,SF/PF,5.763819,4800
Andrew Bynum,C,20.183094,4500
Earl Clark,SF/PF,12.191174,3100
Matthew Dellavedova,PG,8.217636,3000
Alonzo Gee,SG/SF,9.704283,3000
Kyrie Irving,PG/SG,35.403015,8400
Jarrett Jack,PG/SG,20.297894,4900
C.J. Miles,SG/SF,14.569702,3200
Tristan Thompson,PF/C,26.740859,5900
Anderson Varejao,PF/C,24.995785,5800
Dion Waiters,SG,24.342784,5500
DeJuan Blair,PF/C,20.162035,4200
Jose Calderon,PG,22.011471,5300
Vince Carter,SG/SF,20.304371,5100
Jae Crowder,SF/PF,11.529079,3100
Samuel Dalembert,C,18.448845,4200
DeMar DeRozan,SG/SF,31.390302,7400
Wayne Ellington,SG,5.113866,3000
Monta Ellis,PG/SG,33.551079,7400
Tyler Hansbrough,PF/C,15.058396,3100
Bernard James,PF/C,5.388321,3000
Amir Johnson,PF/C,26.090652,6300
Shane Larkin,PG,8.742705,3900
Kyle Lowry,PG,29.737606,7000
Shawn Marion,SF/PF,24.364890,5500
Gal Mekel,PG/SG,7.232805,3000
Dirk Nowitzki,PF/C,33.396038,7200
Patrick Patterson,PF/C,17.206484,3300
Terrence Ross,SG/SF,13.184277,3700
John Salmons,SG/SF,14.270408,3100
Jonas Valanciunas,C,18.886144,5400
Greivis Vasquez,PG/SG,18.601478,5100
Brandan Wright,PF/C,19.161221,4400
Eric Bledsoe,PG/SG,36.064277,7900
Goran Dragic,PG/SG,32.657607,7300
Channing Frye,PF/C,20.713459,4800
Archie Goodwin,SG,7.192563,3000
Gerald Green,SG/SF,18.142484,3800
Marcus Morris,PF,18.220334,4100
Markieff Morris,PF/C,21.752779,5300
Miles Plumlee,PF/C,23.564657,5400
P.J. Tucker,SG/SF,19.445668,4400
Darrell Arthur,PF/C,11.411650,3000
Wilson Chandler,SG/SF,22.238532,5700
Kenneth Faried,PF,22.852007,5700
Evan Fournier,SG,7.040011,3000
Randy Foye,PG/SG,17.369921,3300
Jordan Hamilton,SF,16.969959,3800
J.J. Hickson,PF/C,24.017625,5800
Ty Lawson,PG,35.566353,6900
Andre Miller,PG/SG,15.145109,3700
Quincy Miller,SF,1.860288,3000
Timofey Mozgov,C,18.246933,3600
Nate Robinson,PG/SG,18.830656,4600
Chauncey Billups,PG/SG,11.819556,3000
Bismack Biyombo,C,13.239429,3000
Will Bynum,PG,13.626168,3000
Kentavious Caldwell-Pope,SG,12.627261,5500
Andre Drummond,PF/C,36.709683,7300
Ben Gordon,SG,9.938840,3000
Josh Harrellson,PF/C,7.496695,3000
Gerald Henderson,SG/SF,24.977225,5900
Al Jefferson,PF/C,33.931069,7600
Brandon Jennings,PG,32.313273,7900
Jonas Jerebko,SF/PF,6.172201,3000
Josh McRoberts,PF/C,25.059185,4600
