name,position,projection,salary
Trevor Ariza,SF,26.741219,-1
Brandon Bass,PF,25.986949,-1
Bradley Beal,SG,31.800666,-1
Trevor Booker,PF,16.378585,-1
Avery Bradley,PG/SG,20.965953,-1
Jordan Crawford,SG,26.011678,-1
Vitor Faverani,C,12.093798,-1
Marcin Gortat,C,29.106738,-1
Jeff Green,SF/PF,27.310525,-1
Nene Hilario,PF/C,27.108560,-1
Kris Humphries,PF,14.620990,-1
Courtney Lee,SG,11.239707,-1
Kelly Olynyk,C,16.587257,-1
Otto Porter,SF,3.325525,-1
Phil Pressey,PG,7.337155,-1
Kevin Seraphin,C,6.476606,-1
Jared Sullinger,PF,29.041829,-1
Garrett Temple,SG,4.532217,-1
John Wall,PG,42.180849,-1
Gerald Wallace,SF,15.280271,-1
Martell Webster,SF,24.376908,-1
Bismack Biyombo,C,14.432752,5500
Trey Burke,PG,26.547201,10900
Alec Burks,SG,21.912667,8400
Chris Douglas-Roberts,SG/SF,1.970378,5000
Jeremy Evans,SF/PF,19.419604,6400
Derrick Favors,PF,30.537463,11700
Diante Garrett,PG,9.432043,5500
Ben Gordon,SG,10.118251,7500
Mike Harris,SF,8.373437,5000
Gordon Hayward,SG/SF,31.255880,11300
Gerald Henderson,SG,25.653839,10800
Al Jefferson,C,38.605955,13400
Richard Jefferson,SF,16.308291,6000
Enes Kanter,C,21.035941,10100
John Lucas,None,9.450952,-1
Josh McRoberts,PF,26.561164,9500
Brandon Rush,SG,5.066215,6000
Ramon Sessions,PG,17.315915,8000
Jeff Taylor,SG/SF,14.196968,7500
Anthony Tolliver,PF,8.127212,5000
Kemba Walker,PG,31.760452,13600
Marvin Williams,SF,20.511757,8000
Cody Zeller,PF,13.729912,6000
Andrew Bynum,C,21.821486,7500
Earl Clark,SF,11.841827,5500
Matthew Dellavedova,PG,7.882890,5500
Alonzo Gee,SF,9.561807,7500
Kyrie Irving,PG,33.988036,14300
Jarrett Jack,PG/SG,19.651136,8400
C.J. Miles,None,14.449512,-1
Tristan Thompson,PF,26.902257,9200
Anderson Varejao,C,25.812166,9600
D.J. Augustin,None,9.015417,-1
Carlos Boozer,PF,29.249042,10700
Jimmy Butler,SG/SF,22.236627,8000
Mike Dunleavy,SG/SF,19.583790,8000
Taj Gibson,PF/C,22.315942,8600
Nazr Mohammed,C,5.732473,5000
Erik Murphy,PF,0.522027,5000
Joakim Noah,C,32.110461,12500
Tony Snell,SF,8.730881,8000
Marquis Teague,PG,5.978384,5500
Patrick Beverley,PG,17.359559,8000
Chauncey Billups,PG/SG,10.047645,5000
Ronnie Brewer,SF,1.602372,5000
Aaron Brooks,PG,10.469197,7500
Will Bynum,PG,11.899276,5000
Kentavious Caldwell-Pope,SG,11.324118,8000
Omri Casspi,SF,14.273372,8700
Andre Drummond,C,29.637547,13000
Francisco Garcia,SG/SF,12.022601,5500
James Harden,SG,32.233377,14300
Josh Harrellson,PF/C,7.035413,5500
Dwight Howard,C,33.862144,13900
Brandon Jennings,PG,28.772664,14800
Terrence Jones,SF/PF,19.167980,8000
Greg Monroe,PF/C,29.299791,11400
Donatas Motiejunas,PF/C,4.674450,5000
Chandler Parsons,SF,25.707192,13000
Kyle Singler,SF,13.519243,7500
Greg Smith,PF,6.884789,6000
Josh Smith,PF,31.063986,14900
Pau Gasol,PF,30.119620,12700
Xavier Henry,SF,17.890475,7500
Jordan Hill,PF,20.501544,8600
Wesley Johnson,SG/SF,18.246621,8000
Chris Kaman,C,15.531520,5000
Jodie Meeks,SG,19.930154,8000
Robert Sacre,C,11.549527,5500
Shawne Williams,SF,12.765095,8000
Nick Young,SG,24.105832,9200
Harrison Barnes,SF,19.169813,8000
Kent Bazemore,SG,4.156038,5000
Andrew Bogut,C,24.798104,11500
Stephen Curry,PG,42.791187,19000
Toney Douglas,PG,7.412818,5500
Draymond Green,SF,13.167328,7500
Andre Iguodala,SF,26.566583,8000
David Lee,PF,29.689938,15100
Marreese Speights,PF/C,8.732025,5500
Klay Thompson,SG,28.273568,9900
Darrell Arthur,PF,12.626646,6000
Wilson Chandler,SF,23.628626,10000
Kenneth Faried,PF,24.984660,9400
Evan Fournier,SG,6.592363,5000
Randy Foye,SG,16.009101,6000
J.J. Hickson,None,26.363719,-1
Ty Lawson,PG,33.070268,12200
Andre Miller,PG,14.272926,7500
Timofey Mozgov,C,10.200249,6600
Anthony Randolph,PF,12.840433,5000
Nate Robinson,PG,17.574119,9200
Darren Collison,PG,13.696200,6200
Jamal Crawford,SG,22.252609,9400
Jared Dudley,SF,14.987673,8000
Willie Green,SG,9.069394,7500
Blake Griffin,PF,39.994063,15100
Ryan Hollins,C,4.164697,5000
Stephen Jackson,SF,5.726510,5500
DeAndre Jordan,C,27.186386,12800
Chris Paul,PG,43.344271,17500
Lavoy Allen,PF/C,13.513260,6200
James Anderson,SG/SF,18.069868,7600
Giannis Antetokounmpo,SG/SF,16.081610,8000
Michael Carter-Williams,PG,40.383290,12200
Brandon Davies,PF,6.194248,6000
Spencer Hawes,C,31.842945,12200
John Henson,PF,30.195504,13400
Brandon Knight,PG,25.717791,9700
O.J. Mayo,None,23.833435,-1
Khris Middleton,SF,19.594457,8200
Miroslav Raduljica,C,8.231906,5000
Luke Ridnour,PG,14.836618,5500
Hollis Thompson,SF,11.377181,8000
Evan Turner,SF,33.296516,9400
Ekpe Udoh,C,13.422537,8000
Nate Wolters,PG,19.375342,7500
Tony Wroten,SG,24.432400,10100
Thaddeus Young,PF,26.494137,9900
Tony Allen,SG,23.684922,-1
Carmelo Anthony,SF,43.282748,-1
Andrea Bargnani,PF/C,25.510082,-1
Jerryd Bayless,PG,15.078972,-1
Nick Calathes,SG,8.179749,-1
Tyson Chandler,C,31.346843,-1
Ed Davis,PF,13.054880,-1
Jamaal Franklin,SG,5.646384,-1
Tim Hardaway,None,11.755122,-1
James Johnson,SF,10.163529,-1
Kosta Koufos,C,23.272156,-1
Jon Leuer,PF,18.085856,-1
Mike Miller,SF,13.719921,-1
Toure Murry,SG,3.265049,-1
Zach Randolph,PF,30.862724,-1
Iman Shumpert,SG/SF,17.084909,-1
J.R. Smith,None,20.302972,-1
Beno Udrih,PG,11.060788,-1
Metta World Peace,SF,11.591179,-1
Quincy Acy,PF,7.775245,6000
DeMarcus Cousins,C,39.753005,17800
Jimmer Fredette,PG/SG,7.268856,5000
Rudy Gay,SF,30.492523,12000
Ray McCallum,None,0.533146,-1
Ben McLemore,SG,14.402011,8000
Travis Outlaw,SF,10.486682,8000
Isaiah Thomas,PG,27.111809,12500
Jason Thompson,PF/C,14.009130,8000
Marcus Thornton,SG,13.746033,5000
Derrick Williams,SF,14.033436,7500
Quincy Acy,PF,8.771711,6000
DeMarcus Cousins,C,43.890261,17800
Glen Davis,PF/C,28.553666,10500
Jimmer Fredette,PG/SG,8.354278,5000
Rudy Gay,SF,33.681186,12000
Aaron Gray,C,4.807744,5000
Maurice Harkless,None,13.672155,-1
Tobias Harris,SF/PF,18.001218,8000
Ray McCallum,None,0.685518,-1
Ben McLemore,SG,16.274190,8000
ETwaun Moore,SG,13.386033,6000
Hamady NDiaye,C,2.375439,5000
Jameer Nelson,PG,24.342922,10200
Andrew Nicholson,PF,18.595076,8100
Kyle OQuinn,PF,8.608226,5500
Victor Oladipo,SG,24.369522,13200
Travis Outlaw,SF,11.622271,8000
Ronnie Price,PG,7.238145,5000
Isaiah Thomas,PG,31.827321,12500
Jason Thompson,PF/C,16.360933,8000
Nikola Vucevic,C,36.836490,13000
Derrick Williams,SF,15.147303,7500
DeJuan Blair,C,20.344572,9300
Eric Bledsoe,PG,31.227550,13000
Jose Calderon,PG,20.766455,8700
Vince Carter,SG/SF,18.387770,9700
Jae Crowder,SF,11.586971,8000
Samuel Dalembert,C,18.000907,6900
