Position,PlayerName,Team,Opponent,Salary,PPG
C,Zaza Pachulia,Bucks,Grizzlies,6700,18.5
C,Jermaine O'Neal,Warriors,Nuggets,5000,13.5
C,Bismack Biyombo,Bobcats,76ers,5000,12.4
C,Ryan Hollins,Clippers,Mavericks,5000,5.3
C,Timofey Mozgov,Nuggets,Warriors,6200,18.3
C,DeAndre Jordan,Clippers,Mavericks,13450,33.3
C,Andrew Bynum,Bulls,Magic,6750,17.7
C,Marc Gasol,Grizzlies,Bucks,12350,31.7
C,Andrew Bogut,Warriors,Nuggets,10150,26.8
C,Nikola Pekovic,Timberwolves,Kings,11950,31.6
C,Nazr Mohammed,Bulls,Magic,5000,5.6
C,Marcin Gortat,Wizards,Heat,10000,27.6
C,Robin Lopez,Trail Blazers,Cavaliers,9700,24.9
C,Greg Oden,Heat,Wizards,5000,0.0
C,Samuel Dalembert,Mavericks,Clippers,6400,17.1
C,Jonas Valanciunas,Raptors,Celtics,9950,23.7
C,Enes Kanter,Jazz,Spurs,8600,20.3
C,JaVale McGee,Nuggets,Warriors,6800,13.2
C,Greg Stiemsma,Pelicans,Rockets,5000,8.4
C,Robert Sacre,Lakers,Suns,5550,11.5
C,Aron Baynes,Spurs,Jazz,5000,6.1
C,Miroslav Raduljica,Bucks,Grizzlies,5000,8.8
C,Alex Len,Suns,Lakers,5000,5.9
C,Kelly Olynyk,Celtics,Raptors,6000,14.7
C,Rudy Gobert,Jazz,Spurs,5000,9.2
C,Vitor Faverani,Celtics,Raptors,5000,11.3
PF,Marvin Williams,Jazz,Spurs,7050,21.1
SF,Marvin Williams,Jazz,Spurs,7050,21.1
PF,Luol Deng,Cavaliers,Trail Blazers,10800,32.2
SF,Luol Deng,Cavaliers,Trail Blazers,10800,32.2
PF,Shawn Marion,Mavericks,Clippers,9200,25.9
SF,Shawn Marion,Mavericks,Clippers,9200,25.9
PF,Tayshaun Prince,Grizzlies,Bucks,5000,13.1
SF,Tayshaun Prince,Grizzlies,Bucks,5000,13.1
PF,Donatas Motiejunas,Rockets,Pelicans,5000,5.8
SF,Donatas Motiejunas,Rockets,Pelicans,5000,5.8
PF,Rudy Gay,Kings,Timberwolves,13550,33.8
SF,Rudy Gay,Kings,Timberwolves,13550,33.8
PF,LeBron James,Heat,Wizards,17650,45.0
SF,LeBron James,Heat,Wizards,17650,45.0
PF,Ersan Ilyasova,Bucks,Grizzlies,9050,18.9
SF,Ersan Ilyasova,Bucks,Grizzlies,9050,18.9
PF,Luc Richard Mbah a Moute,Timberwolves,Kings,5000,10.1
SF,Luc Richard Mbah a Moute,Timberwolves,Kings,5000,10.1
PF,Tobias Harris,Magic,Bulls,9250,22.5
SF,Tobias Harris,Magic,Bulls,9250,22.5
PF,Anthony Tolliver,Bobcats,76ers,6400,11.4
SF,Anthony Tolliver,Bobcats,76ers,6400,11.4
PF,Michael Beasley,Heat,Wizards,5000,16.7
SF,Michael Beasley,Heat,Wizards,5000,16.7
PF,Derrick Williams,Kings,Timberwolves,7300,14.1
SF,Derrick Williams,Kings,Timberwolves,7300,14.1
PF,Chandler Parsons,Rockets,Pelicans,11500,31.7
SF,Chandler Parsons,Rockets,Pelicans,11500,31.7
PF,Travis Outlaw,Kings,Timberwolves,5000,10.1
SF,Travis Outlaw,Kings,Timberwolves,5000,10.1
PF,Carl Landry,Kings,Timberwolves,5000,0.0
SF,Carl Landry,Kings,Timberwolves,5000,0.0
PF,Earl Clark,Cavaliers,Trail Blazers,5000,11.7
SF,Earl Clark,Cavaliers,Trail Blazers,5000,11.7
PF,Thaddeus Young,76ers,Bobcats,10850,32.1
SF,Thaddeus Young,76ers,Bobcats,10850,32.1
PF,Gerald Wallace,Celtics,Raptors,5000,12.8
SF,Gerald Wallace,Celtics,Raptors,5000,12.8
PF,James Johnson,Grizzlies,Bucks,8650,22.2
SF,James Johnson,Grizzlies,Bucks,8650,22.2
PF,Jeremy Evans,Jazz,Spurs,6000,16.0
SF,Jeremy Evans,Jazz,Spurs,6000,16.0
PF,Rashard Lewis,Heat,Wizards,5000,11.8
SF,Rashard Lewis,Heat,Wizards,5000,11.8
PF,Harrison Barnes,Warriors,Nuggets,6400,19.5
SF,Harrison Barnes,Warriors,Nuggets,6400,19.5
PF,Terrence Jones,Rockets,Pelicans,10900,24.7
SF,Terrence Jones,Rockets,Pelicans,10900,24.7
PF,Jae Crowder,Mavericks,Clippers,5000,12.9
SF,Jae Crowder,Mavericks,Clippers,5000,12.9
PF,Khris Middleton,Bucks,Grizzlies,7850,21.1
SF,Khris Middleton,Bucks,Grizzlies,7850,21.1
PF,Robbie Hummel,Timberwolves,Kings,5000,7.4
SF,Robbie Hummel,Timberwolves,Kings,5000,7.4
PF,Hollis Thompson,76ers,Bobcats,5000,12.1
SF,Hollis Thompson,76ers,Bobcats,5000,12.1
PF,Anthony Bennett,Cavaliers,Trail Blazers,5000,5.6
SF,Anthony Bennett,Cavaliers,Trail Blazers,5000,5.6
C,Glen Davis,Magic,Bulls,10100,26.2
PF,Glen Davis,Magic,Bulls,10100,26.2
C,Boris Diaw,Spurs,Jazz,6850,17.9
PF,Boris Diaw,Spurs,Jazz,6850,17.9
C,Carlos Boozer,Bulls,Magic,11100,27.7
PF,Carlos Boozer,Bulls,Magic,11100,27.7
C,Joakim Noah,Bulls,Magic,13750,32.9
PF,Joakim Noah,Bulls,Magic,13750,32.9
C,Omer Asik,Rockets,Pelicans,5000,13.6
PF,Omer Asik,Rockets,Pelicans,5000,13.6
C,Taj Gibson,Bulls,Magic,9800,23.1
PF,Taj Gibson,Bulls,Magic,9800,23.1
C,Anderson Varejao,Cavaliers,Trail Blazers,12100,27.0
PF,Anderson Varejao,Cavaliers,Trail Blazers,12100,27.0
C,Tristan Thompson,Cavaliers,Trail Blazers,9700,25.8
PF,Tristan Thompson,Cavaliers,Trail Blazers,9700,25.8
C,Dirk Nowitzki,Mavericks,Clippers,13750,35.3
PF,Dirk Nowitzki,Mavericks,Clippers,13750,35.3
C,Al Harrington,Wizards,Heat,5000,12.1
PF,Al Harrington,Wizards,Heat,5000,12.1
C,Chris Andersen,Heat,Wizards,5000,14.8
PF,Chris Andersen,Heat,Wizards,5000,14.8
C,Nene Hilario,Wizards,Heat,10300,26.2
PF,Nene Hilario,Wizards,Heat,10300,26.2
C,Kosta Koufos,Grizzlies,Bucks,7850,18.9
PF,Kosta Koufos,Grizzlies,Bucks,7850,18.9
C,David Lee,Warriors,Nuggets,13200,34.8
PF,David Lee,Warriors,Nuggets,13200,34.8
C,Ekpe Udoh,Bucks,Grizzlies,5000,12.3
PF,Ekpe Udoh,Bucks,Grizzlies,5000,12.3
C,Chuck Hayes,Raptors,Celtics,5000,6.9
PF,Chuck Hayes,Raptors,Celtics,5000,6.9
C,Jordan Hill,Lakers,Suns,7500,20.7
PF,Jordan Hill,Lakers,Suns,7500,20.7
C,Patrick Patterson,Raptors,Celtics,7750,17.5
PF,Patrick Patterson,Raptors,Celtics,7750,17.5
C,Josh McRoberts,Bobcats,76ers,7750,22.9
PF,Josh McRoberts,Bobcats,76ers,7750,22.9
C,Tyler Hansbrough,Raptors,Celtics,5000,12.4
PF,Tyler Hansbrough,Raptors,Celtics,5000,12.4
C,Chris Kaman,Lakers,Suns,6250,17.2
PF,Chris Kaman,Lakers,Suns,6250,17.2
C,Blake Griffin,Clippers,Mavericks,16350,41.5
PF,Blake Griffin,Clippers,Mavericks,16350,41.5
C,Pau Gasol,Lakers,Suns,13550,34.1
PF,Pau Gasol,Lakers,Suns,13550,34.1
C,Zach Randolph,Grizzlies,Bucks,12800,33.7
PF,Zach Randolph,Grizzlies,Bucks,12800,33.7
C,Darrell Arthur,Nuggets,Warriors,5000,12.7
PF,Darrell Arthur,Nuggets,Warriors,5000,12.7
C,Chris Bosh,Heat,Wizards,11000,27.8
PF,Chris Bosh,Heat,Wizards,11000,27.8
C,Larry Sanders,Bucks,Grizzlies,8250,17.6
PF,Larry Sanders,Bucks,Grizzlies,8250,17.6
C,Jon Leuer,Grizzlies,Bucks,6100,15.5
PF,Jon Leuer,Grizzlies,Bucks,6100,15.5
C,Kevin Love,Timberwolves,Kings,16600,50.5
PF,Kevin Love,Timberwolves,Kings,16600,50.5
C,Anthony Randolph,Nuggets,Warriors,5000,10.2
PF,Anthony Randolph,Nuggets,Warriors,5000,10.2
C,Brandan Wright,Mavericks,Clippers,7000,17.9
PF,Brandan Wright,Mavericks,Clippers,7000,17.9
C,Jason Smith,Pelicans,Rockets,6650,19.4
PF,Jason Smith,Pelicans,Rockets,6650,19.4
C,Ronny Turiaf,Timberwolves,Kings,5000,11.5
PF,Ronny Turiaf,Timberwolves,Kings,5000,11.5
C,Dwight Howard,Rockets,Pelicans,15100,39.5
