Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PF-C,Kevin Love,MIN,MIN vs LAC, 8:00 PM,48.5,18400,"",
C,DeMarcus Cousins,SAC,SAC @ NOP, 8:00 PM,43.1,18300,"",
PF-C,Anthony Davis,NOP,NOP vs SAC, 8:00 PM,43.3,18300,"",OUT
PG,Chris Paul,LAC,LAC @ MIN, 8:00 PM,43.6,18200,"",
SF,LeBron James,MIA,MIA vs TOR, 7:30 PM,45.3,18000,"",
C,Al Jefferson,CHA,CHA vs WAS, 7:00 PM,40.3,17300,"",
PF,Blake Griffin,LAC,LAC @ MIN, 8:00 PM,42.3,16900,"",OUT
SF,Carmelo Anthony,NYK,NYK @ UTA, 9:00 PM,43.9,16600,"",
PG,John Wall,WAS,WAS @ CHA, 7:00 PM,39.5,16100,"",
PF,Tim Duncan,SAS,SAS @ IND, 7:00 PM,35.2,15200,"",
C,Joakim Noah,CHI,CHI vs BOS, 8:00 PM,37.2,15000,"",
SG-SF,Paul George,IND,IND vs SAS, 7:00 PM,36.8,14500,"",
PG,Kemba Walker,CHA,CHA vs WAS, 7:00 PM,32.9,14000,"",
C,DeAndre Jordan,LAC,LAC @ MIN, 8:00 PM,34.3,13800,"",
SG,DeMar DeRozan,TOR,TOR @ MIA, 7:30 PM,34.9,13600,"",
PF,Zach Randolph,MEM,MEM @ DEN, 9:00 PM,33.2,13500,"",
PG,Michael Carter-Williams,PHI,PHI @ ATL, 7:30 PM,34.8,13500,"",
SG-SF,Tyreke Evans,NOP,NOP vs SAC, 8:00 PM,27.9,13400,"",
PG,Isaiah Thomas,SAC,SAC @ NOP, 8:00 PM,33.8,13400,"",OUT
PG,Rajon Rondo,BOS,BOS @ CHI, 8:00 PM,31.8,13200,"",
C,Marcin Gortat,WAS,WAS @ CHA, 7:00 PM,29.5,13200,"",
PF,Kenneth Faried,DEN,DEN vs MEM, 9:00 PM,26.7,13000,"",
C,Marc Gasol,MEM,MEM @ DEN, 9:00 PM,30.9,13000,"",
PF-C,Derrick Favors,UTA,UTA vs NYK, 9:00 PM,28.9,13000,"",
PG,Ty Lawson,DEN,DEN vs MEM, 9:00 PM,35.8,13000,"",
PF,Thaddeus Young,PHI,PHI @ ATL, 7:30 PM,32.2,12900,"",
PG,Kyle Lowry,TOR,TOR @ MIA, 7:30 PM,36.1,12800,"",
SF,Rudy Gay,SAC,SAC @ NOP, 8:00 PM,33.0,12800,"",
PF-C,Greg Monroe,DET,DET vs MIL, 7:30 PM,30.7,12800,"",
PG,Mike Conley,MEM,MEM @ DEN, 9:00 PM,31.3,12700,"",
PF,Paul Millsap,ATL,ATL vs PHI, 7:30 PM,35.6,12700,"",
C,Andre Drummond,DET,DET vs MIL, 7:30 PM,34.1,12500,"",
SG-SF,Gordon Hayward,UTA,UTA vs NYK, 9:00 PM,31.7,12500,"",
PG,Brandon Jennings,DET,DET vs MIL, 7:30 PM,31.4,12300,"",
SF-PF,Josh Smith,DET,DET vs MIL, 7:30 PM,33.1,11700,"",
PG,Ricky Rubio,MIN,MIN vs LAC, 8:00 PM,30.0,11600,"",
PF-C,Jared Sullinger,BOS,BOS @ CHI, 8:00 PM,26.4,11500,"",
PF-C,Chris Bosh,MIA,MIA vs TOR, 7:30 PM,29.0,11400,"",
SG,Dwyane Wade,MIA,MIA vs TOR, 7:30 PM,33.3,11200,"",OUT
SG-SF,Kawhi Leonard,SAS,SAS @ IND, 7:00 PM,26.7,11100,"",
C,Nikola Pekovic,MIN,MIN vs LAC, 8:00 PM,30.6,11100,"",
SG,Brandon Knight,MIL,MIL @ DET, 7:30 PM,28.8,11000,"",
PF-C,Nene Hilario,WAS,WAS @ CHA, 7:00 PM,28.1,11000,"",OUT
SG,Lance Stephenson,IND,IND vs SAS, 7:00 PM,29.2,10900,"",
SF,Trevor Ariza,WAS,WAS @ CHA, 7:00 PM,28.9,10700,"",OUT
SG,Jamal Crawford,LAC,LAC @ MIN, 8:00 PM,26.4,10700,"",
C,Jonas Valanciunas,TOR,TOR @ MIA, 7:30 PM,23.0,10600,"",
SG,JR Smith,NYK,NYK @ UTA, 9:00 PM,23.8,10500,"",
SG,Kevin Martin,MIN,MIN vs LAC, 8:00 PM,26.5,10500,"",
PF,Carlos Boozer,CHI,CHI vs BOS, 8:00 PM,26.6,10500,"",
PF,David West,IND,IND vs SAS, 7:00 PM,28.2,10400,"",
PF-C,Taj Gibson,CHI,CHI vs BOS, 8:00 PM,25.4,10400,"",
PG,Tony Parker,SAS,SAS @ IND, 7:00 PM,27.9,10400,"",
C,JJ Hickson,DEN,DEN vs MEM, 9:00 PM,26.3,10300,"",OUT
SG,Eric Gordon,NOP,NOP vs SAC, 8:00 PM,24.1,10300,"",OUT
PF,Josh McRoberts,CHA,CHA vs WAS, 7:00 PM,22.9,10200,"",
PF-C,John Henson,MIL,MIL @ DET, 7:30 PM,25.6,10200,"",
PG,Jeff Teague,ATL,ATL vs PHI, 7:30 PM,29.5,10100,"",
PG,Ramon Sessions,MIL,MIL @ DET, 7:30 PM,20.1,10000,"",
SG,Bradley Beal,WAS,WAS @ CHA, 7:00 PM,27.1,9800,"",
C,Henry Sims,PHI,PHI @ ATL, 7:30 PM,14.8,9600,"",
SG-SF,Jimmy Butler,CHI,CHI vs BOS, 8:00 PM,26.3,9500,"",
SF-PF,Jeff Green,BOS,BOS @ CHI, 8:00 PM,25.6,9400,"",
SF,Wilson Chandler,DEN,DEN vs MEM, 9:00 PM,23.9,9400,"",OUT
PG,DJ Augustin,CHI,CHI vs BOS, 8:00 PM,21.1,9300,"",
SF,Corey Brewer,MIN,MIN vs LAC, 8:00 PM,20.3,9300,"",
SG,Tony Wroten,PHI,PHI @ ATL, 7:30 PM,21.7,9200,"",
PF-C,Andrea Bargnani,NYK,NYK @ UTA, 9:00 PM,23.2,9100,"",OUT
SG,Manu Ginobili,SAS,SAS @ IND, 7:00 PM,23.2,9100,"",
C,Enes Kanter,UTA,UTA vs NYK, 9:00 PM,22.2,9100,"",
SF,Al-Farouq Aminu,NOP,NOP vs SAC, 8:00 PM,19.8,9000,"",
SG-SF,Kyle Korver,ATL,ATL vs PHI, 7:30 PM,23.1,9000,"",OUT
C,Roy Hibbert,IND,IND vs SAS, 7:00 PM,25.1,9000,"",
SF,Matt Barnes,LAC,LAC @ MIN, 8:00 PM,19.3,9000,"",
SG-SF,James Anderson,PHI,PHI @ ATL, 7:30 PM,19.1,8900,"",
PG,Brian Roberts,NOP,NOP vs SAC, 8:00 PM,17.0,8900,"",
PF-C,Amar'e Stoudemire,NYK,NYK @ UTA, 9:00 PM,18.7,8800,"",
C,Tiago Splitter,SAS,SAS @ IND, 7:00 PM,19.6,8800,"",
SG,Gerald Henderson,CHA,CHA vs WAS, 7:00 PM,24.1,8700,"",
C,Tyson Chandler,NYK,NYK @ UTA, 9:00 PM,25.7,8700,"",
SG,JJ Redick,LAC,LAC @ MIN, 8:00 PM,22.3,8700,"",OUT
C,Larry Sanders,MIL,MIL @ DET, 7:30 PM,21.9,8600,"",OUT
PG,Trey Burke,UTA,UTA vs NYK, 9:00 PM,23.8,8600,"",
PF,Ersan Ilyasova,MIL,MIL @ DET, 7:30 PM,21.8,8500,"",OUT
SF,DeMarre Carroll,ATL,ATL vs PHI, 7:30 PM,23.1,8500,"",OUT
PG,George Hill,IND,IND vs SAS, 7:00 PM,22.2,8500,"",
PG,Darren Collison,LAC,LAC @ MIN, 8:00 PM,20.2,8500,"",
PG,Raymond Felton,NYK,NYK @ UTA, 9:00 PM,23.2,8400,"",
PF,Jeff Adrien,MIL,MIL @ DET, 7:30 PM,13.9,8400,"",
SG,Marco Belinelli,SAS,SAS @ IND, 7:00 PM,19.0,8300,"",
PF,Amir Johnson,TOR,TOR @ MIA, 7:30 PM,23.9,8200,"",
PF,Derrick Williams,SAC,SAC @ NOP, 8:00 PM,15.6,8200,"",
PG-SG,Avery Bradley,BOS,BOS @ CHI, 8:00 PM,22.0,8200,"",
SG,Ben McLemore,SAC,SAC @ NOP, 8:00 PM,13.5,8200,"",
PF,Reggie Evans,SAC,SAC @ NOP, 8:00 PM,12.3,8100,"",
SG-SF,Hollis Thompson,PHI,PHI @ ATL, 7:30 PM,12.2,8100,"",
SG-SF,Terrence Ross,TOR,TOR @ MIA, 7:30 PM,17.4,8100,"",
C,Zaza Pachulia,MIL,MIL @ DET, 7:30 PM,19.0,8100,"",
PG,Mario Chalmers,MIA,MIA vs TOR, 7:30 PM,21.9,8100,"",OUT
SG,Randy Foye,DEN,DEN vs MEM, 9:00 PM,21.3,8100,"",
C,Timofey Mozgov,DEN,DEN vs MEM, 9:00 PM,18.7,8100,"",
PG,Shelvin Mack,ATL,ATL vs PHI, 7:30 PM,16.1,8100,"",
SG-SF,Mike Dunleavy,CHI,CHI vs BOS, 8:00 PM,21.0,8000,"",
PG,Derrick Rose,CHI,CHI vs BOS, 8:00 PM,24.2,8000,"",OUT
C,Gorgui Dieng,MIN,MIN vs LAC, 8:00 PM,10.4,8000,"",
SG,Austin Rivers,NOP,NOP vs SAC, 8:00 PM,12.5,8000,"",
SG,Louis Williams,ATL,ATL vs PHI, 7:30 PM,17.8,8000,"",
PF-C,Al Horford,ATL,ATL vs PHI, 7:30 PM,35.6,8000,"",OUT
