"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PG","Chris Paul",10200,"LAC@Dal 08:30PM ET",48.068
"PG/SG","Stephen Curry",9900,"GS@Atl 07:30PM ET",48.460
"PF/C","Blake Griffin",9500,"LAC@Dal 08:30PM ET",42.743
"SG/SF","James Harden",9500,"NY@Hou 08:00PM ET",40.643
"PF/C","Anthony Davis",9400,"NO@Bos 07:30PM ET",43.391
"PG","John Wall",9300,"Tor@Was 07:00PM ET",42.983
"PF","Paul Millsap",9000,"GS@Atl 07:30PM ET",38.258
"PF/C","Dwight Howard",9000,"NY@Hou 08:00PM ET",41.485
"SF/PF","Carmelo Anthony",8900,"NY@Hou 08:00PM ET",45.527
"PG","Jrue Holiday",8100,"NO@Bos 07:30PM ET",36.508
"PG","Rajon Rondo",8100,"NO@Bos 07:30PM ET",0
"PG","Kyle Lowry",8000,"Tor@Was 07:00PM ET",35.858
"PG","Jeff Teague",8000,"GS@Atl 07:30PM ET",34.953
"PG","Ty Lawson",8000,"Mem@Den 09:00PM ET",36.612
"C","Marc Gasol",8000,"Mem@Den 09:00PM ET",34.692
"PF/C","Zach Randolph",7900,"Mem@Den 09:00PM ET",34.422
"PG/SG","Monta Ellis",7900,"LAC@Dal 08:30PM ET",36.133
"PF/C","David Lee",7900,"GS@Atl 07:30PM ET",35.831
"SG/SF","Gordon Hayward",7500,"Uta@LAL 10:30PM ET",33.750
"PF/C","Dirk Nowitzki",7500,"LAC@Dal 08:30PM ET",36.355
"PG","Mike Conley",7400,"Mem@Den 09:00PM ET",32.836
"SG/SF","DeMar DeRozan",7300,"Tor@Was 07:00PM ET",33.758
"PF/C","Al Horford",7200,"GS@Atl 07:30PM ET",37.328
"SF/PF","Chandler Parsons",7100,"NY@Hou 08:00PM ET",32.383
"PF/C","Derrick Favors",7000,"Uta@LAL 10:30PM ET",31.568
"SG/SF","Tyreke Evans",7000,"NO@Bos 07:30PM ET",28.929
"PF/C","Ryan Anderson",6900,"NO@Bos 07:30PM ET",32.417
"PF/C","Pau Gasol",6700,"Uta@LAL 10:30PM ET",34.034
"PG/SG","Kobe Bryant",6700,"Uta@LAL 10:30PM ET",28.833
"C","DeAndre Jordan",6700,"LAC@Dal 08:30PM ET",33.154
"SG/SF","Klay Thompson",6600,"GS@Atl 07:30PM ET",31.022
"SG/SF","Jeff Green",6200,"NO@Bos 07:30PM ET",25.477
"SG/SF","J.R. Smith",6200,"NY@Hou 08:00PM ET",25.183
"SG/SF","Trevor Ariza",6200,"Tor@Was 07:00PM ET",31.729
"SG/SF","Andre Iguodala",6200,"GS@Atl 07:30PM ET",26.795
"PG","Trey Burke",6100,"Uta@LAL 10:30PM ET",26.859
"SG","Bradley Beal",6100,"Tor@Was 07:00PM ET",29.863
"C","Jonas Valanciunas",6000,"Tor@Was 07:00PM ET",24.808
"SF/PF","Shawn Marion",6000,"LAC@Dal 08:30PM ET",27.406
"PG/SG","Jeremy Lin",6000,"NY@Hou 08:00PM ET",25.958
"C","Marcin Gortat",5900,"Tor@Was 07:00PM ET",29.448
"PF/C","J.J. Hickson",5900,"Mem@Den 09:00PM ET",26.685
"SG/SF","Wilson Chandler",5900,"Mem@Den 09:00PM ET",25.240
"SF/PF","Terrence Jones",5800,"NY@Hou 08:00PM ET",24.508
"C","Tyson Chandler",5800,"NY@Hou 08:00PM ET",25.205
"SF","Danilo Gallinari",5800,"Mem@Den 09:00PM ET",0
"C","Andrew Bogut",5600,"GS@Atl 07:30PM ET",26.955
"SG/SF","Nick Young",5600,"Uta@LAL 10:30PM ET",24.047
"PG","Jose Calderon",5600,"LAC@Dal 08:30PM ET",25.000
"PF/C","Jared Sullinger",5500,"NO@Bos 07:30PM ET",26.858
"PG/SG","Avery Bradley",5500,"NO@Bos 07:30PM ET",23.383
"PF/C","Amir Johnson",5500,"Tor@Was 07:00PM ET",25.192
"SG/SF","Kyle Korver",5500,"GS@Atl 07:30PM ET",25.411
"SG","J.J. Redick",5500,"LAC@Dal 08:30PM ET",24.147
"PG/SG","Jordan Crawford",5500,"NO@Bos 07:30PM ET",27.805
"PF/C","Nene Hilario",5500,"Tor@Was 07:00PM ET",28.534
"C","JaVale McGee",5500,"Mem@Den 09:00PM ET",14.250
"PG/SG","Jamal Crawford",5500,"LAC@Dal 08:30PM ET",25.250
"PF/C","Jordan Hill",5400,"Uta@LAL 10:30PM ET",22.992
"SG","Eric Gordon",5400,"NO@Bos 07:30PM ET",26.324
"SG/SF","Vince Carter",5400,"LAC@Dal 08:30PM ET",22.444
"SG","Jodie Meeks",5200,"Uta@LAL 10:30PM ET",21.031
"C","Kelly Olynyk",5200,"NO@Bos 07:30PM ET",16.068
"PF/C","Andrea Bargnani",5200,"NY@Hou 08:00PM ET",25.476
"SF/PF","Marvin Williams",5100,"Uta@LAL 10:30PM ET",22.170
"SG/SF","Martell Webster",5100,"Tor@Was 07:00PM ET",23.054
"SF","Al-Farouq Aminu",5000,"NO@Bos 07:30PM ET",21.526
"PG/SG","Greivis Vasquez",5000,"Tor@Was 07:00PM ET",19.018
"C","Enes Kanter",5000,"Uta@LAL 10:30PM ET",21.125
"SF","Otto Porter Jr.",5000,"Tor@Was 07:00PM ET",5.600
"PF","Kenneth Faried",4900,"Mem@Den 09:00PM ET",23.043
"PG/SG","Alec Burks",4800,"Uta@LAL 10:30PM ET",21.900
"PG/SG","Steve Blake",4800,"Uta@LAL 10:30PM ET",27.202
"SG/SF","Tony Allen",4800,"Mem@Den 09:00PM ET",22.096
"PF/C","Brandon Bass",4800,"NO@Bos 07:30PM ET",23.781
"SF/PF","James Johnson",4800,"Mem@Den 09:00PM ET",24.406
"PG/SG","Lou Williams",4700,"GS@Atl 07:30PM ET",19.618
"PF","Trevor Booker",4700,"Tor@Was 07:00PM ET",18.845
"PF/C","Jon Leuer",4600,"Mem@Den 09:00PM ET",16.261
"PG","Steve Nash",4600,"Uta@LAL 10:30PM ET",16.208
"PF/C","Kosta Koufos",4500,"Mem@Den 09:00PM ET",20.371
"SF/PF","Harrison Barnes",4500,"GS@Atl 07:30PM ET",21.250
"C","Samuel Dalembert",4500,"LAC@Dal 08:30PM ET",18.089
"PG/SG","Raymond Felton",4500,"NY@Hou 08:00PM ET",23.632
"PF/C","Omer Asik",4300,"NY@Hou 08:00PM ET",14.191
"PG/SG","Patrick Beverley",4300,"NY@Hou 08:00PM ET",21.330
"SG","Tim Hardaway Jr.",4300,"NY@Hou 08:00PM ET",13.775
"PG","Phil Pressey",4200,"NO@Bos 07:30PM ET",7.405
"PF/C","Brandan Wright",4200,"LAC@Dal 08:30PM ET",20.844
"PF/C","Chris Kaman",4200,"Uta@LAL 10:30PM ET",18.833
"PG","Jordan Farmar",4200,"Uta@LAL 10:30PM ET",21.182
"SG/SF","Terrence Ross",4000,"Tor@Was 07:00PM ET",15.975
"PF/C","DeJuan Blair",4000,"LAC@Dal 08:30PM ET",21.008
"PG","Beno Udrih",4000,"NY@Hou 08:00PM ET",14.854
"SG/SF","Jared Dudley",4000,"LAC@Dal 08:30PM ET",15.816
"PF/C","Ed Davis",4000,"Mem@Den 09:00PM ET",15.660
"PG","Shelvin Mack",3900,"GS@Atl 07:30PM ET",16.654
"SG/SF","Iman Shumpert",3800,"NY@Hou 08:00PM ET",18.565
"SF","Richard Jefferson",3800,"Uta@LAL 10:30PM ET",17.650
"PG","Darren Collison",3800,"LAC@Dal 08:30PM ET",15.728
"PF","Kris Humphries",3800,"NO@Bos 07:30PM ET",15.860
"SF","Matt Barnes",3800,"LAC@Dal 08:30PM ET",16.200
"PG/SG","Jerryd Bayless",3800,"Mem@Den 09:00PM ET",15.440
"C","Timofey Mozgov",3700,"Mem@Den 09:00PM ET",18.452
"PG","Shane Larkin",3700,"LAC@Dal 08:30PM ET",7.803
"SF/PF","Shawne Williams",3700,"Uta@LAL 10:30PM ET",14.925
"PF/C","Elton Brand",3700,"GS@Atl 07:30PM ET",10.125
"PF/C","Al Harrington",3500,"Tor@Was 07:00PM ET",12.500
"SG/SF","Wesley Johnson",3500,"Uta@LAL 10:30PM ET",19.081
