Position,PlayerName,Team,Opponent,Salary,PPG
SG,Wilson Chandler,Nuggets,Clippers,8800,24.6
SF,Wilson Chandler,Nuggets,Clippers,8800,24.6
PG,Ty Lawson,Nuggets,Clippers,13850,36.7
C,Timofey Mozgov,Nuggets,Clippers,11350,20.0
PF,Kenneth Faried,Nuggets,Clippers,13500,28.0
PG,Randy Foye,Nuggets,Clippers,15100,24.1
SG,Randy Foye,Nuggets,Clippers,15100,24.1
C,Darrell Arthur,Nuggets,Clippers,5000,12.6
PF,Darrell Arthur,Nuggets,Clippers,5000,12.6
C,Anthony Randolph,Nuggets,Clippers,5050,10.3
PF,Anthony Randolph,Nuggets,Clippers,5050,10.3
PG,Aaron Brooks,Nuggets,Clippers,7900,17.1
C,J.J. Hickson,Nuggets,Clippers,9900,26.3
PF,J.J. Hickson,Nuggets,Clippers,9900,26.3
PF,Jan Vesely,Nuggets,Clippers,5750,10.9
SG,Evan Fournier,Nuggets,Clippers,8750,14.3
SF,Quincy Miller,Nuggets,Clippers,5700,10.2
PG,Jamal Crawford,Clippers,Nuggets,10050,27.3
SG,Jamal Crawford,Clippers,Nuggets,10050,27.3
C,Glen Davis,Clippers,Nuggets,5650,18.5
PF,Glen Davis,Clippers,Nuggets,5650,18.5
C,Ryan Hollins,Clippers,Nuggets,5000,5.1
SF,Danny Granger,Clippers,Nuggets,5000,14.5
PG,Darren Collison,Clippers,Nuggets,8750,21.4
C,DeAndre Jordan,Clippers,Nuggets,13500,35.1
C,Blake Griffin,Clippers,Nuggets,18500,42.6
PF,Blake Griffin,Clippers,Nuggets,18500,42.6
SF,Matt Barnes,Clippers,Nuggets,7600,20.9
SG,Willie Green,Clippers,Nuggets,5000,8.9
PG,Chris Paul,Clippers,Nuggets,17200,44.9
PF,Hedo Turkoglu,Clippers,Nuggets,5000,8.3
SF,Hedo Turkoglu,Clippers,Nuggets,5000,8.3
SG,J.J. Redick,Clippers,Nuggets,8350,22.7
SG,Jared Dudley,Clippers,Nuggets,5000,13.0
SF,Jared Dudley,Clippers,Nuggets,5000,13.0
SG,Reggie Bullock,Clippers,Nuggets,5000,5.0
SF,Reggie Bullock,Clippers,Nuggets,5000,5.0
SG,Joe Johnson,Nets,Knicks,9800,25.0
SF,Joe Johnson,Nets,Knicks,9800,25.0
C,Jason Collins,Nets,Knicks,5000,2.4
PF,Jason Collins,Nets,Knicks,5000,2.4
C,Kevin Garnett,Nets,Knicks,7500,19.0
PF,Kevin Garnett,Nets,Knicks,7500,19.0
PF,Paul Pierce,Nets,Knicks,11100,25.1
SF,Paul Pierce,Nets,Knicks,11100,25.1
PG,Shaun Livingston,Nets,Knicks,7600,18.8
SG,Shaun Livingston,Nets,Knicks,7600,18.8
PG,Deron Williams,Nets,Knicks,12550,29.2
SG,Marcus Thornton,Nets,Knicks,7250,15.8
PF,Andrei Kirilenko,Nets,Knicks,5450,12.5
SF,Andrei Kirilenko,Nets,Knicks,5450,12.5
C,Andray Blatche,Nets,Knicks,7700,21.3
PF,Andray Blatche,Nets,Knicks,7700,21.3
SG,Alan Anderson,Nets,Knicks,5000,12.8
SF,Alan Anderson,Nets,Knicks,5000,12.8
PG,Marquis Teague,Nets,Knicks,5000,5.4
PF,Mirza Teletovic,Nets,Knicks,7900,16.3
SF,Mirza Teletovic,Nets,Knicks,7900,16.3
C,Mason Plumlee,Nets,Knicks,8150,15.8
PF,Mason Plumlee,Nets,Knicks,8150,15.8
PG,Jorge Gutierrez,Nets,Knicks,5000,8.8
C,Tyson Chandler,Knicks,Nets,8600,25.4
C,Kenyon Martin,Knicks,Nets,5000,14.2
PF,Kenyon Martin,Knicks,Nets,5000,14.2
SG,J.R. Smith,Knicks,Nets,10800,25.7
SF,J.R. Smith,Knicks,Nets,10800,25.7
C,Jeremy Tyler,Knicks,Nets,5000,7.7
PF,Metta World Peace,Knicks,Nets,5000,9.9
SF,Metta World Peace,Knicks,Nets,5000,9.9
SG,Shannon Brown,Knicks,Nets,5000,3.5
C,Amar'e Stoudemire,Knicks,Nets,11650,19.0
PF,Amar'e Stoudemire,Knicks,Nets,11650,19.0
PF,Carmelo Anthony,Knicks,Nets,16150,44.3
SF,Carmelo Anthony,Knicks,Nets,16150,44.3
SG,Iman Shumpert,Knicks,Nets,7250,16.7
SF,Iman Shumpert,Knicks,Nets,7250,16.7
C,Cole Aldrich,Knicks,Nets,5000,5.8
PF,Earl Clark,Knicks,Nets,5000,9.8
SF,Earl Clark,Knicks,Nets,5000,9.8
PG,Raymond Felton,Knicks,Nets,8800,23.6
SG,Raymond Felton,Knicks,Nets,8800,23.6
C,Andrea Bargnani,Knicks,Nets,8300,23.1
PF,Andrea Bargnani,Knicks,Nets,8300,23.1
PG,Pablo Prigioni,Knicks,Nets,6400,14.0
SG,Pablo Prigioni,Knicks,Nets,6400,14.0
SG,Tim Hardaway Jr.,Knicks,Nets,5550,14.4
