"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",11100,"LAC@OKC 09:30PM ET",53.372
"SG/SF","Paul George",9900,"Was@Ind 07:00PM ET",40.756
"PG","Russell Westbrook",9700,"LAC@OKC 09:30PM ET",44.250
"PG","Chris Paul",9100,"LAC@OKC 09:30PM ET",45.764
"PF/C","Blake Griffin",9100,"LAC@OKC 09:30PM ET",44.457
"C","DeAndre Jordan",8400,"LAC@OKC 09:30PM ET",36.135
"PG","John Wall",7600,"Was@Ind 07:00PM ET",41.511
"PF","David West",7000,"Was@Ind 07:00PM ET",29.724
"PF/C","Serge Ibaka",7000,"LAC@OKC 09:30PM ET",33.804
"SG/SF","Lance Stephenson",6900,"Was@Ind 07:00PM ET",31.235
"C","Marcin Gortat",6800,"Was@Ind 07:00PM ET",31.427
"PF/C","Nene Hilario",6700,"Was@Ind 07:00PM ET",29.026
"SG","Bradley Beal",6600,"Was@Ind 07:00PM ET",29.686
"SG/SF","Trevor Ariza",6300,"Was@Ind 07:00PM ET",30.378
"PG/SG","Jamal Crawford",6000,"LAC@OKC 09:30PM ET",28.109
"PG/SG","George Hill",5300,"Was@Ind 07:00PM ET",22.964
"PG/SG","Reggie Jackson",5100,"LAC@OKC 09:30PM ET",25.756
"C","Roy Hibbert",5000,"Was@Ind 07:00PM ET",24.301
"SG","J.J. Redick",4900,"LAC@OKC 09:30PM ET",23.214
"SF","Caron Butler",4900,"LAC@OKC 09:30PM ET",19.563
"SF","Matt Barnes",4700,"LAC@OKC 09:30PM ET",21.246
"PG","Darren Collison",4500,"LAC@OKC 09:30PM ET",21.833
"PG","C.J. Watson",4000,"Was@Ind 07:00PM ET",13.650
"PF","Trevor Booker",4000,"Was@Ind 07:00PM ET",17.026
"SG/SF","Evan Turner",3600,"Was@Ind 07:00PM ET",25.369
"SG/SF","Thabo Sefolosha",3600,"LAC@OKC 09:30PM ET",15.765
"PF/C","Glen Davis",3600,"LAC@OKC 09:30PM ET",18.533
"C","Ian Mahinmi",3500,"Was@Ind 07:00PM ET",10.652
"PF/C","Luis Scola",3500,"Was@Ind 07:00PM ET",15.290
"PF/C","Al Harrington",3500,"Was@Ind 07:00PM ET",10.730
"SF/PF","Chris Copeland",3500,"Was@Ind 07:00PM ET",6.130
"SG/SF","Martell Webster",3500,"Was@Ind 07:00PM ET",16.837
"C","Kendrick Perkins",3400,"LAC@OKC 09:30PM ET",12.330
"PF/C","Nick Collison",3400,"LAC@OKC 09:30PM ET",11.399
"SF/PF","Andre Roberson",3300,"LAC@OKC 09:30PM ET",6.613
"C","Steven Adams",3300,"LAC@OKC 09:30PM ET",10.805
"PG","Derek Fisher",3300,"LAC@OKC 09:30PM ET",11.128
"SF","Danny Granger",3300,"LAC@OKC 09:30PM ET",13.974
"PF/C","Drew Gooden",3300,"Was@Ind 07:00PM ET",14.990
"PG/SG","Andre Miller",3300,"Was@Ind 07:00PM ET",13.286
"PF/C","Lavoy Allen",3200,"Was@Ind 07:00PM ET",13.572
"PF/C","Kevin Seraphin",3000,"Was@Ind 07:00PM ET",8.741
"SG","Willie Green",3000,"LAC@OKC 09:30PM ET",9.034
"PF","Grant Jerrett",3000,"LAC@OKC 09:30PM ET",0
"SF/PF","Perry Jones",3000,"LAC@OKC 09:30PM ET",7.158
"SF/PF","Hedo Turkoglu",3000,"LAC@OKC 09:30PM ET",8.570
"SF","Otto Porter Jr.",3000,"Was@Ind 07:00PM ET",4.791
"SG/SF","Reggie Bullock",3000,"LAC@OKC 09:30PM ET",5.114
"SG/SF","Jeremy Lamb",3000,"LAC@OKC 09:30PM ET",15.481
"PG/SG","Garrett Temple",3000,"Was@Ind 07:00PM ET",5.127
"SG/SF","Jared Dudley",3000,"LAC@OKC 09:30PM ET",12.834
"C","Andrew Bynum",3000,"Was@Ind 07:00PM ET",19.452
"PG/SG","Donald Sloan",3000,"Was@Ind 07:00PM ET",5.240
"C","Hasheem Thabeet",3000,"LAC@OKC 09:30PM ET",4.063
"SG/SF","Glen Rice Jr.",3000,"Was@Ind 07:00PM ET",7.227
"SF","Solomon Hill",3000,"Was@Ind 07:00PM ET",4.545
"SG/SF","Rasual Butler",3000,"Was@Ind 07:00PM ET",4.875
"SF","Chris Singleton",3000,"Was@Ind 07:00PM ET",6.870
"C","Ryan Hollins",3000,"LAC@OKC 09:30PM ET",5.258
