Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC @ LAC,10:30 PM,49.9,19500,"",
PG,Russell Westbrook,OKC,OKC @ LAC,10:30 PM,41.7,18600,"",
PG,Chris Paul,LAC,LAC vs OKC,10:30 PM,43.2,18100,"",
PF,Blake Griffin,LAC,LAC vs OKC,10:30 PM,42.1,17600,"",
SG-SF,Paul George,IND,IND @ WAS, 8:00 PM,37.8,16300,"",
PG,John Wall,WAS,WAS vs IND, 8:00 PM,38.0,13800,"",
SG,Bradley Beal,WAS,WAS vs IND, 8:00 PM,28.4,13500,"",
C,Marcin Gortat,WAS,WAS vs IND, 8:00 PM,29.9,13000,"",
SF,Trevor Ariza,WAS,WAS vs IND, 8:00 PM,28.3,12900,"",
PF,David West,IND,IND @ WAS, 8:00 PM,28.5,12600,"",
C,DeAndre Jordan,LAC,LAC vs OKC,10:30 PM,33.8,12400,"",
PF-C,Serge Ibaka,OKC,OKC @ LAC,10:30 PM,31.9,12000,"",
SG,Lance Stephenson,IND,IND @ WAS, 8:00 PM,28.4,11900,"",
PF-C,Nene Hilario,WAS,WAS vs IND, 8:00 PM,27.4,11800,"",
C,Roy Hibbert,IND,IND @ WAS, 8:00 PM,23.1,11400,"",
SG,Jamal Crawford,LAC,LAC vs OKC,10:30 PM,25.8,11000,"",
PG,George Hill,IND,IND @ WAS, 8:00 PM,21.8,10000,"",
SF,Matt Barnes,LAC,LAC vs OKC,10:30 PM,19.7,9000,"",
PG,Reggie Jackson,OKC,OKC @ LAC,10:30 PM,23.6,8700,"",
SG,JJ Redick,LAC,LAC vs OKC,10:30 PM,20.9,8000,"",
PG,Darren Collison,LAC,LAC vs OKC,10:30 PM,20.2,7800,"",
SG-SF,Evan Turner,IND,IND @ WAS, 8:00 PM,22.9,7700,"",
SF,Caron Butler,OKC,OKC @ LAC,10:30 PM,17.9,7600,"",
C,Andrew Bynum,IND,IND @ WAS, 8:00 PM,18.7,7600,"",OUT
C,Kendrick Perkins,OKC,OKC @ LAC,10:30 PM,11.6,7400,"",
PF-C,Glen Davis,LAC,LAC vs OKC,10:30 PM,17.5,7400,"",
PF,Drew Gooden,WAS,WAS vs IND, 8:00 PM,14.8,7300,"",
PF,Luis Scola,IND,IND @ WAS, 8:00 PM,14.4,7100,"",
SF,Danny Granger,LAC,LAC vs OKC,10:30 PM,12.3,7000,"",
PG-SG,CJ Watson,IND,IND @ WAS, 8:00 PM,12.5,6500,"",
C,Steven Adams,OKC,OKC @ LAC,10:30 PM,10.5,6100,"",
SG,Thabo Sefolosha,OKC,OKC @ LAC,10:30 PM,14.7,6100,"",
SG-SF,Martell Webster,WAS,WAS vs IND, 8:00 PM,15.0,6000,"",
SG,Jeremy Lamb,OKC,OKC @ LAC,10:30 PM,14.5,5900,"",
PF,Al Harrington,WAS,WAS vs IND, 8:00 PM,9.9,5900,"",
C,Ian Mahinmi,IND,IND @ WAS, 8:00 PM,10.1,5700,"",
PG,Andre Miller,WAS,WAS vs IND, 8:00 PM,12.2,5400,"",
C,Ryan Hollins,LAC,LAC vs OKC,10:30 PM,4.9,5000,"",
SG-SF,Andre Roberson,OKC,OKC @ LAC,10:30 PM,6.4,5000,"",
SF,Perry Jones,OKC,OKC @ LAC,10:30 PM,6.8,5000,"",
SF,Hedo Turkoglu,LAC,LAC vs OKC,10:30 PM,8.1,5000,"",
PF,Trevor Booker,WAS,WAS vs IND, 8:00 PM,15.9,5000,"",
SG,Willie Green,LAC,LAC vs OKC,10:30 PM,8.3,5000,"",
PF-C,Lavoy Allen,IND,IND @ WAS, 8:00 PM,13.1,5000,"",
PG,Derek Fisher,OKC,OKC @ LAC,10:30 PM,10.0,5000,"",
C,Kevin Seraphin,WAS,WAS vs IND, 8:00 PM,8.1,5000,"",
SG-SF,Glen Rice,WAS,WAS vs IND, 8:00 PM,6.6,5000,"",
SF,Chris Singleton,WAS,WAS vs IND, 8:00 PM,6.4,5000,"",
SF,Chris Copeland,IND,IND @ WAS, 8:00 PM,5.5,5000,"",
SG,Garrett Temple,WAS,WAS vs IND, 8:00 PM,4.6,5000,"",
PG,Donald Sloan,IND,IND @ WAS, 8:00 PM,4.8,5000,"",
SG-SF,Rasual Butler,IND,IND @ WAS, 8:00 PM,4.5,5000,"",
SF,Otto Porter,WAS,WAS vs IND, 8:00 PM,4.4,5000,"",
PF-C,Nick Collison,OKC,OKC @ LAC,10:30 PM,10.6,5000,"",
SF,Jared Dudley,LAC,LAC vs OKC,10:30 PM,11.5,5000,"",
SF,Solomon Hill,IND,IND @ WAS, 8:00 PM,4.2,5000,"",
PF,Grant Jerrett,OKC,OKC @ LAC,10:30 PM,0,5000,"",
C,Hasheem Thabeet,OKC,OKC @ LAC,10:30 PM,3.8,5000,"",
SG,Reggie Bullock,LAC,LAC vs OKC,10:30 PM,4.7,5000,"",
