Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC vs MEM, 9:00 PM,50.1,19600,"",
PG,Stephen Curry,GSW,GSW @ LAC,10:30 PM,42.0,17000,"",
PG,Russell Westbrook,OKC,OKC vs MEM, 9:00 PM,40.0,16900,"",
PF,Blake Griffin,LAC,LAC vs GSW,10:30 PM,42.3,16800,"",
PG,Chris Paul,LAC,LAC vs GSW,10:30 PM,43.0,16400,"",
C,Joakim Noah,CHI,CHI vs WAS, 8:00 PM,37.6,14800,"",
PG,John Wall,WAS,WAS @ CHI, 8:00 PM,38.5,14600,"",
C,Marc Gasol,MEM,MEM @ OKC, 9:00 PM,32.0,13800,"",
PG,Mike Conley,MEM,MEM @ OKC, 9:00 PM,31.7,13700,"",
PF,Zach Randolph,MEM,MEM @ OKC, 9:00 PM,33.4,13500,"",
C,DeAndre Jordan,LAC,LAC vs GSW,10:30 PM,34.1,13400,"",
PF-C,Serge Ibaka,OKC,OKC vs MEM, 9:00 PM,32.6,13000,"",
SG,Bradley Beal,WAS,WAS @ CHI, 8:00 PM,27.9,12500,"",
SF,Trevor Ariza,WAS,WAS @ CHI, 8:00 PM,28.2,12300,"",
PF,David Lee,GSW,GSW @ LAC,10:30 PM,32.6,12000,"",
C,Marcin Gortat,WAS,WAS @ CHI, 8:00 PM,30.0,11700,"",
PF-C,Taj Gibson,CHI,CHI vs WAS, 8:00 PM,25.4,11600,"",
PF-C,Nene Hilario,WAS,WAS @ CHI, 8:00 PM,27.7,11000,"",OUT
SG,Klay Thompson,GSW,GSW @ LAC,10:30 PM,26.8,10800,"",
SG-SF,Jimmy Butler,CHI,CHI vs WAS, 8:00 PM,26.4,10200,"",
C,Andrew Bogut,GSW,GSW @ LAC,10:30 PM,25.9,10200,"",OUT
SG-SF,Andre Iguodala,GSW,GSW @ LAC,10:30 PM,23.3,9500,"",
SG,Jamal Crawford,LAC,LAC vs GSW,10:30 PM,26.0,9500,"",
SG,Tony Allen,MEM,MEM @ OKC, 9:00 PM,19.3,9400,"",
PG,Reggie Jackson,OKC,OKC vs MEM, 9:00 PM,24.3,9300,"",
PG,DJ Augustin,CHI,CHI vs WAS, 8:00 PM,22.0,9300,"",
SG-SF,Mike Dunleavy,CHI,CHI vs WAS, 8:00 PM,21.5,9000,"",OUT
PF,Carlos Boozer,CHI,CHI vs WAS, 8:00 PM,26.1,8900,"",
SG,JJ Redick,LAC,LAC vs GSW,10:30 PM,21.7,8400,"",
SF,Draymond Green,GSW,GSW @ LAC,10:30 PM,18.6,8300,"",
SF,Harrison Barnes,GSW,GSW @ LAC,10:30 PM,17.9,8200,"",
PG-SG,Kirk Hinrich,CHI,CHI vs WAS, 8:00 PM,19.6,8100,"",
SF,Matt Barnes,LAC,LAC vs GSW,10:30 PM,19.6,8000,"",
SG,Courtney Lee,MEM,MEM @ OKC, 9:00 PM,16.2,8000,"",
SG,Thabo Sefolosha,OKC,OKC vs MEM, 9:00 PM,15.1,7900,"",
PF,Trevor Booker,WAS,WAS @ CHI, 8:00 PM,16.4,7800,"",
PG,Steve Blake,GSW,GSW @ LAC,10:30 PM,18.2,7700,"",
SF,Mike Miller,MEM,MEM @ OKC, 9:00 PM,12.4,7700,"",
SG,Jordan Crawford,GSW,GSW @ LAC,10:30 PM,18.2,7700,"",
SF,Caron Butler,OKC,OKC vs MEM, 9:00 PM,18.3,7600,"",
SF,James Johnson,MEM,MEM @ OKC, 9:00 PM,16.6,7600,"",
PG,Darren Collison,LAC,LAC vs GSW,10:30 PM,20.8,7600,"",
PF,Drew Gooden,WAS,WAS @ CHI, 8:00 PM,14.4,7500,"",
C,Kendrick Perkins,OKC,OKC vs MEM, 9:00 PM,11.6,7400,"",
PF-C,Glen Davis,LAC,LAC vs GSW,10:30 PM,18.5,7400,"",
PF-C,Jermaine O'Neal,GSW,GSW @ LAC,10:30 PM,16.7,7200,"",
PF-C,Nick Collison,OKC,OKC vs MEM, 9:00 PM,11.2,7000,"",
PG,Beno Udrih,MEM,MEM @ OKC, 9:00 PM,11.3,6600,"",
SF,Tayshaun Prince,MEM,MEM @ OKC, 9:00 PM,12.7,6100,"",
PG,Andre Miller,WAS,WAS @ CHI, 8:00 PM,12.9,6000,"",
SG,Jeremy Lamb,OKC,OKC vs MEM, 9:00 PM,14.9,5900,"",
SG-SF,Martell Webster,WAS,WAS @ CHI, 8:00 PM,15.7,5800,"",
PF-C,Marreese Speights,GSW,GSW @ LAC,10:30 PM,11.8,5600,"",
C,Kosta Koufos,MEM,MEM @ OKC, 9:00 PM,15.1,5500,"",
PG,Derek Fisher,OKC,OKC vs MEM, 9:00 PM,10.4,5300,"",
SF,Danny Granger,LAC,LAC vs GSW,10:30 PM,13.6,5300,"",
SF,Otto Porter,WAS,WAS @ CHI, 8:00 PM,4.5,5000,"",
PG,Mike James,CHI,CHI vs WAS, 8:00 PM,4.0,5000,"",
SF,Ronnie Brewer,CHI,CHI vs WAS, 8:00 PM,2.1,5000,"",
PG,Derrick Rose,CHI,CHI vs WAS, 8:00 PM,24.2,5000,"",OUT
C,Festus Ezeli,GSW,GSW @ LAC,10:30 PM,0,5000,"",OUT
PG,Nemanja Nedovic,GSW,GSW @ LAC,10:30 PM,2.2,5000,"",OUT
C,Ognjen Kuzmic,GSW,GSW @ LAC,10:30 PM,2.5,5000,"",
SG,Reggie Bullock,LAC,LAC vs GSW,10:30 PM,4.8,5000,"",
C,Ryan Hollins,LAC,LAC vs GSW,10:30 PM,5.0,5000,"",
PF-C,Hilton Armstrong,GSW,GSW @ LAC,10:30 PM,6.5,5000,"",
SF,Hedo Turkoglu,LAC,LAC vs GSW,10:30 PM,8.2,5000,"",
SG,Willie Green,LAC,LAC vs GSW,10:30 PM,8.5,5000,"",
SF,Jared Dudley,LAC,LAC vs GSW,10:30 PM,12.1,5000,"",
PF,Ed Davis,MEM,MEM @ OKC, 9:00 PM,12.3,5000,"",
SG,Nick Calathes,MEM,MEM @ OKC, 9:00 PM,12.3,5000,"",OUT
PF,Jon Leuer,MEM,MEM @ OKC, 9:00 PM,11.3,5000,"",
C,Steven Adams,OKC,OKC vs MEM, 9:00 PM,10.4,5000,"",
SF,Quincy Pondexter,MEM,MEM @ OKC, 9:00 PM,10.3,5000,"",OUT
SF,Perry Jones,OKC,OKC vs MEM, 9:00 PM,7.0,5000,"",
SG-SF,Andre Roberson,OKC,OKC vs MEM, 9:00 PM,6.4,5000,"",
C,Hasheem Thabeet,OKC,OKC vs MEM, 9:00 PM,3.8,5000,"",
SG,Jamaal Franklin,MEM,MEM @ OKC, 9:00 PM,3.8,5000,"",
PF,Grant Jerrett,OKC,OKC vs MEM, 9:00 PM,0,5000,"",
PF,Al Harrington,WAS,WAS @ CHI, 8:00 PM,9.8,5000,"",
PG-SG,Jimmer Fredette,CHI,CHI vs WAS, 8:00 PM,8.6,5000,"",
C,Kevin Seraphin,WAS,WAS @ CHI, 8:00 PM,8.4,5000,"",
SG,Tony Snell,CHI,CHI vs WAS, 8:00 PM,8.2,5000,"",
PF-C,Lou Amundson,CHI,CHI vs WAS, 8:00 PM,7.5,5000,"",
PF,Greg Smith,CHI,CHI vs WAS, 8:00 PM,6.6,5000,"",OUT
SG-SF,Glen Rice,WAS,WAS @ CHI, 8:00 PM,6.6,5000,"",
SF,Chris Singleton,WAS,WAS @ CHI, 8:00 PM,6.4,5000,"",
C,Nazr Mohammed,CHI,CHI vs WAS, 8:00 PM,5.2,5000,"",
SG,Garrett Temple,WAS,WAS @ CHI, 8:00 PM,4.9,5000,"",
