Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Paul Pierce,BKN,BKN @ POR,10:00 PM,24.4,9400,"",
SG,Tyreke Evans,NOP,NOP @ DAL, 8:00 PM,24.8,9300,"",
PG,Jameer Nelson,ORL,ORL @ PHI, 7:00 PM,26.0,9300,"",
SG-SF,PJ Tucker,PHO,PHO @ UTA, 9:00 PM,22.1,9100,"",
SG,Louis Williams,ATL,ATL @ BOS, 7:30 PM,18.3,8900,"",
PF,Brandon Bass,BOS,BOS vs ATL, 7:30 PM,21.8,8900,"",
SF,DeMarre Carroll,ATL,ATL @ BOS, 7:30 PM,22.5,8900,"",
SG,Jodie Meeks,LAL,LAL @ MEM, 8:00 PM,21.8,8800,"",
PF-C,Jordan Hill,LAL,LAL @ MEM, 8:00 PM,19.6,8800,"",
SG,JJ Redick,LAC,LAC vs HOU,10:30 PM,22.3,8700,"",OUT
PG,Patrick Beverley,HOU,HOU @ LAC,10:30 PM,21.0,8700,"",
PG-SG,Avery Bradley,BOS,BOS vs ATL, 7:30 PM,22.3,8700,"",OUT
SF-PF,Terrence Jones,HOU,HOU @ LAC,10:30 PM,25.0,8600,"",
SG,Tony Wroten,PHI,PHI vs ORL, 7:00 PM,21.0,8600,"",
PF-C,Jermaine O'Neal,GSW,GSW @ CHI, 8:00 PM,16.3,8600,"",
SG,Dion Waiters,CLE,CLE @ OKC, 8:00 PM,21.7,8500,"",OUT
SG-SF,Kyle Korver,ATL,ATL @ BOS, 7:30 PM,22.8,8500,"",
SG,Alec Burks,UTA,UTA vs PHO, 9:00 PM,21.8,8500,"",
PG,DJ Augustin,CHI,CHI vs GSW, 8:00 PM,20.1,8500,"",
SF,Marvin Williams,UTA,UTA vs PHO, 9:00 PM,20.9,8500,"",
PF-C,Kelly Olynyk,BOS,BOS vs ATL, 7:30 PM,16.0,8500,"",
PG,Patty Mills,SAS,SAS vs DET, 8:30 PM,15.9,8500,"",
PG,Reggie Jackson,OKC,OKC vs CLE, 8:00 PM,24.4,8500,"",
PG,Cory Joseph,SAS,SAS vs DET, 8:30 PM,10.6,8500,"",
SF,Kyle Singler,DET,DET @ SAS, 8:30 PM,16.1,8400,"",
PF-C,Elton Brand,ATL,ATL @ BOS, 7:30 PM,14.6,8400,"",
SF,Matt Barnes,LAC,LAC vs HOU,10:30 PM,16.7,8400,"",
SG,Tony Allen,MEM,MEM vs LAL, 8:00 PM,21.1,8400,"",
SG-SF,Mike Dunleavy,CHI,CHI vs GSW, 8:00 PM,20.7,8400,"",
SG,Marco Belinelli,SAS,SAS vs DET, 8:30 PM,18.7,8400,"",
SG,Manu Ginobili,SAS,SAS vs DET, 8:30 PM,22.9,8100,"",
SG-SF,Danny Green,SAS,SAS vs DET, 8:30 PM,17.4,8000,"",
PG,Will Bynum,DET,DET @ SAS, 8:30 PM,15.5,8000,"",
PG,Brian Roberts,NOP,NOP @ DAL, 8:00 PM,15.9,8000,"",
PG,Jeremy Lin,HOU,HOU @ LAC,10:30 PM,22.8,8000,"",
