"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SP","Clayton Kershaw",12700,"StL@LAD 10:10PM ET",29.059
"SP","Jose Fernandez",12400,"Mia@Phi 07:05PM ET",26.856
"SP","Yu Darvish",12200,"Det@Tex 08:05PM ET",25.554
"SP","Chris Sale",11800,"CWS@Tor 07:07PM ET",24.364
"SP","Adam Wainwright",11300,"StL@LAD 10:10PM ET",25.277
"SP","Zack Greinke",11300,"StL@LAD 10:10PM ET",20.131
"SP","Stephen Strasburg",10700,"Was@ChC 08:05PM ET",19.806
"SP","Matt Harvey",10600,"NYM@Pit 07:05PM ET",0
"SP","Johnny Cueto",10600,"Cin@SF 10:15PM ET",26.819
"SP","Cole Hamels",10600,"Mia@Phi 07:05PM ET",20.763
"SP","Cliff Lee",10600,"Mia@Phi 07:05PM ET",19.330
"SP","Madison Bumgarner",10500,"Cin@SF 10:15PM ET",21.147
"SP","Max Scherzer",10200,"Det@Tex 08:05PM ET",21.709
"SP","Gio Gonzalez",10200,"Was@ChC 08:05PM ET",15.614
"SP","Jordan Zimmermann",10000,"Was@ChC 08:05PM ET",17.778
"SP","Anibal Sanchez",9700,"Det@Tex 08:05PM ET",17.565
"SP","Gerrit Cole",9600,"NYM@Pit 07:05PM ET",16.115
"SP","Michael Wacha",9500,"StL@LAD 10:10PM ET",17.977
"SP","Jason Hammel",9400,"Was@ChC 08:05PM ET",19.797
"SP","Josh Beckett",9300,"StL@LAD 10:10PM ET",20.986
"SP","Martin Perez",9300,"Det@Tex 08:05PM ET",14.938
"SP","Mat Latos",9200,"Cin@SF 10:15PM ET",14.867
"SP","Doug Fister",9000,"Was@ChC 08:05PM ET",17.106
"SP","Dillon Gee",9000,"NYM@Pit 07:05PM ET",16.213
"SP","Hyun-jin Ryu",9000,"StL@LAD 10:10PM ET",16.989
"SP","Jeff Samardzija",8900,"Was@ChC 08:05PM ET",18.684
"SP","Jaime Garcia",8800,"StL@LAD 10:10PM ET",14.856
"SP","Tim Hudson",8700,"Cin@SF 10:15PM ET",18.086
"SP","Tanner Roark",8500,"Was@ChC 08:05PM ET",17.663
"SP","Lance Lynn",8500,"StL@LAD 10:10PM ET",18.681
"SP","Homer Bailey",8500,"Cin@SF 10:15PM ET",14.416
"SP","Kyle Lohse",8400,"Col@Mil 08:10PM ET",17.772
"SP","Derek Holland",8100,"Det@Tex 08:05PM ET",0
"SP","Jake Arrieta",8100,"Was@ChC 08:05PM ET",20.845
"SP","Charlie Morton",8100,"NYM@Pit 07:05PM ET",15.684
