Position,PlayerName,Team,Opponent,Salary,PPG
SS,J.J. Hardy,Orioles,Indians,6500,7.4
OF,Nick Markakis,Orioles,Indians,7000,10.5
OF,Adam Jones,Orioles,Indians,10500,12.6
OF,Nolan Reimold,Orioles,Indians,5900,0.0
1B,Chris Davis,Orioles,Indians,12250,16.8
P,Tommy Hunter,Orioles,Indians,7500,2.1
C,Matt Wieters,Orioles,Indians,9350,14.3
P,Chris Tillman,Orioles,Indians,14500,19.3
P,Brian Matusz,Orioles,Indians,7500,2.3
P,Zach Britton,Orioles,Indians,7700,6.6
P,Ubaldo Jimenez,Orioles,Indians,11850,18.1
OF,Delmon Young,Orioles,Indians,5200,6.4
2B,Alexi Casilla,Orioles,Indians,6150,5.3
SS,Alexi Casilla,Orioles,Indians,6150,5.3
2B,Jemile Weeks,Orioles,Indians,5000,9.0
P,Aaron Laffey,Orioles,Indians,6900,1.0
OF,Nelson Cruz,Orioles,Indians,10700,18.6
P,Darren O'Day,Orioles,Indians,7500,4.1
P,Edgmer Escalona,Orioles,Indians,7500,0.0
P,Ryan Webb,Orioles,Indians,7500,4.2
P,Bud Norris,Orioles,Indians,11400,18.4
P,Johan Santana,Orioles,Indians,7750,0.0
OF,Steve Pearce,Orioles,Indians,8250,10.9
1B,Steve Pearce,Orioles,Indians,8250,10.9
P,Evan Meek,Orioles,Indians,7500,1.2
P,Heath Bell,Orioles,Indians,7500,1.5
P,Josh Stinson,Orioles,Indians,7500,0.1
2B,Steve Lombardozzi,Orioles,Indians,7300,6.3
OF,Steve Lombardozzi,Orioles,Indians,7300,6.3
C,Steve Clevenger,Orioles,Indians,5000,8.2
OF,David Lough,Orioles,Indians,5400,4.3
P,Wei-Yin Chen,Orioles,Indians,13750,20.5
3B,Jonathan Schoop,Orioles,Indians,5700,8.3
2B,Jonathan Schoop,Orioles,Indians,5700,8.3
3B,Manny Machado,Orioles,Indians,7700,7.2
SS,Ryan Flaherty,Orioles,Indians,6800,6.0
3B,Ryan Flaherty,Orioles,Indians,6800,6.0
P,Miguel Gonzalez,Orioles,Indians,10800,16.2
OF,Quintin Berry,Orioles,Indians,5900,9.2
P,Steve Johnson,Orioles,Indians,8250,5.1
OF,Francisco Peguero,Orioles,Indians,5000,0.0
P,Kevin Gausman,Orioles,Indians,7450,-5.0
OF,Henry Urrutia,Orioles,Indians,5750,3.5
3B,Michael Almanzar,Orioles,Indians,5000,0.0
C,Caleb Joseph,Orioles,Indians,5000,0.8
1B,Paul Konerko,White Sox,Yankees,6300,5.5
1B,Adam Dunn,White Sox,Yankees,8950,14.2
P,John Danks,White Sox,Yankees,11700,14.1
