Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SP,Adam Wainwright,STL,STL vs SF, 8:15 PM,31.5,35900,"",
SP,Johnny Cueto,CIN,CIN @ ARI, 9:40 PM,31.6,34200,"",
SP,Yu Darvish,TEX,TEX @ MIN, 1:10 PM,27.8,33100,"",Day-To-Day
SP,Dallas Keuchel,HOU,HOU vs BAL, 8:10 PM,26.1,32600,"",
SP,James Paxton,SEA,SEA vs LAA,10:10 PM,30.0,32400,"",15-Day DL
SP,Zack Greinke,LAD,LAD vs PIT,10:10 PM,26.6,29500,"",
SP,Felix Hernandez,SEA,SEA vs LAA,10:10 PM,23.7,29500,"",
SP,Tim Hudson,SF,SF @ STL, 8:15 PM,23.7,28200,"",
SP,Collin McHugh,HOU,HOU vs BAL, 8:10 PM,25.9,28200,"",
SP,Max Scherzer,DET,DET @ OAK, 3:35 PM,25.7,27800,"",
SP,Hisashi Iwakuma,SEA,SEA vs LAA,10:10 PM,25.6,27600,"",
SP,CJ Wilson,LAA,LAA @ SEA,10:10 PM,22.5,26900,"",
SP,Julio Teheran,ATL,ATL @ BOS, 7:10 PM,24.8,26800,"",
SP,Josh Beckett,LAD,LAD vs PIT,10:10 PM,22.4,26400,"",
SP,Jon Lester,BOS,BOS vs ATL, 7:10 PM,24.5,26400,"",
SP,Clayton Kershaw,LAD,LAD vs PIT,10:10 PM,20.0,25900,"",
SP,Madison Bumgarner,SF,SF @ STL, 8:15 PM,22.7,25000,"",
SP,Jered Weaver,LAA,LAA @ SEA,10:10 PM,21.7,24700,"",
SP,Garrett Richards,LAA,LAA @ SEA,10:10 PM,22.8,24600,"",
SP,Sonny Gray,OAK,OAK vs DET, 3:35 PM,22.7,24500,"",
SP,Nick Tepesch,TEX,TEX @ MIN, 1:10 PM,22.7,24500,"",
SP,Jesse Chavez,OAK,OAK vs DET, 3:35 PM,22.6,24400,x,
SP,James Shields,KC,KC @ TOR, 7:07 PM,22.5,24300,x,
SP,Michael Wacha,STL,STL vs SF, 8:15 PM,21.9,23700,"",
SP,Cliff Lee,PHI,PHI vs NYM, 7:05 PM,21.5,23200,"",15-Day DL
SP,Ryan Vogelsong,SF,SF @ STL, 8:15 PM,16.9,23200,x,
SP,Aaron Harang,ATL,ATL @ BOS, 7:10 PM,21.3,23000,"",
SP,Lance Lynn,STL,STL vs SF, 8:15 PM,20.9,23000,"",
SP,Gerrit Cole,PIT,PIT @ LAD,10:10 PM,19.8,23000,x,
SP,Phil Hughes,MIN,MIN vs TEX, 1:10 PM,19.7,22900,"",
SP,John Lackey,BOS,BOS vs ATL, 7:10 PM,19.2,22800,"",
SP,Mark Buehrle,TOR,TOR vs KC, 7:07 PM,21.1,22800,"",
SP,Liam Hendriks,TOR,TOR vs KC, 7:07 PM,10.5,22700,"",
SP,Jaime Garcia,STL,STL vs SF, 8:15 PM,22.5,22400,x,
SP,Mike Leake,CIN,CIN @ ARI, 9:40 PM,19.6,22200,"",
SP,Scott Kazmir,OAK,OAK vs DET, 3:35 PM,18.6,22100,"",
SP,Dillon Gee,NYM,NYM @ PHI, 7:05 PM,19.4,22100,"",15-Day DL
SP,Mike Minor,ATL,ATL @ BOS, 7:10 PM,18.2,22000,x,
SP,Cole Hamels,PHI,PHI vs NYM, 7:05 PM,18.0,21800,"",
SP,Dan Haren,LAD,LAD vs PIT,10:10 PM,19.3,21800,x,
SP,Martin Perez,TEX,TEX @ MIN, 1:10 PM,16.1,21700,"",60-Day DL
SP,Ervin Santana,ATL,ATL @ BOS, 7:10 PM,20.0,21600,"",
SP,Alfredo Simon,CIN,CIN @ ARI, 9:40 PM,19.0,21500,"",
SP,Hyun-Jin Ryu,LAD,LAD vs PIT,10:10 PM,19.4,21500,"",
SP,RA Dickey,TOR,TOR vs KC, 7:07 PM,17.3,21400,x,
SP,Gavin Floyd,ATL,ATL @ BOS, 7:10 PM,15.6,21100,"",
SP,Rick Porcello,DET,DET @ OAK, 3:35 PM,19.4,21000,x,
SP,Tyler Skaggs,LAA,LAA @ SEA,10:10 PM,18.2,20700,"",
SP,Drew Hutchison,TOR,TOR vs KC, 7:07 PM,18.1,20400,"",
SP,Anthony Cingrani,CIN,CIN @ ARI, 9:40 PM,16.0,20300,x,
SP,Jake DeGrom,NYM,NYM @ PHI, 7:05 PM,18.7,20200,"",
SP,Yordano Ventura,KC,KC @ TOR, 7:07 PM,18.6,20100,"",Day-To-Day
SP,Tim Lincecum,SF,SF @ STL, 8:15 PM,14.4,19900,"",
SP,Jonathon Niese,NYM,NYM @ PHI, 7:05 PM,18.4,19900,"",
SP,Shelby Miller,STL,STL vs SF, 8:15 PM,16.1,19800,"",
SP,Jason Vargas,KC,KC @ TOR, 7:07 PM,18.2,19700,"",
SP,Tom Milone,OAK,OAK vs DET, 3:35 PM,16.1,19700,"",
SP,Chase Anderson,ARI,ARI vs CIN, 9:40 PM,12.0,19400,"",
SP,Bud Norris,BAL,BAL @ HOU, 8:10 PM,15.1,18900,"",
SP,Anibal Sanchez,DET,DET @ OAK, 3:35 PM,15.0,18900,"",
SP,Ubaldo Jimenez,BAL,BAL @ HOU, 8:10 PM,13.4,18500,x,
SP,Roenis Elias,SEA,SEA vs LAA,10:10 PM,16.7,18100,"",
RP,Jenrry Mejia,NYM,NYM @ PHI, 7:05 PM,9.7,18000,"",
SP,Zack Wheeler,NYM,NYM @ PHI, 7:05 PM,13.7,17800,x,
SP,Brandon Mccarthy,ARI,ARI vs CIN, 9:40 PM,15.4,17700,"",
SP,Joe Kelly,STL,STL vs SF, 8:15 PM,16.3,17600,"",15-Day DL
SP,Matt Cain,SF,SF @ STL, 8:15 PM,15.6,17500,"",
SP,Wade Miley,ARI,ARI vs CIN, 9:40 PM,16.1,17400,"",
SP,AJ Burnett,PHI,PHI vs NYM, 7:05 PM,16.1,17400,"",
SP,Bronson Arroyo,ARI,ARI vs CIN, 9:40 PM,13.9,17200,"",Day-To-Day
SP,JA Happ,TOR,TOR vs KC, 7:07 PM,12.3,17000,"",
SP,Charlie Morton,PIT,PIT @ LAD,10:10 PM,13.7,17000,"",
SP,Jake Peavy,BOS,BOS vs ATL, 7:10 PM,13.0,17000,x,
SP,Justin Verlander,DET,DET @ OAK, 3:35 PM,15.6,16900,"",
SP,Brad Peacock,HOU,HOU vs BAL, 8:10 PM,10.6,16400,x,Day-To-Day
SP,Bartolo Colon,NYM,NYM @ PHI, 7:05 PM,13.1,16300,"",
SP,Miguel Gonzalez,BAL,BAL @ HOU, 8:10 PM,14.2,16100,"",
SP,Josh Collmenter,ARI,ARI vs CIN, 9:40 PM,11.1,15700,x,
SP,Alex Wood,ATL,ATL @ BOS, 7:10 PM,13.4,15600,"",
SP,Wei-Yin Chen,BAL,BAL @ HOU, 8:10 PM,14.4,15600,"",
SP,Chris Tillman,BAL,BAL @ HOU, 8:10 PM,14.5,15600,"",
SP,David Buchanan,PHI,PHI vs NYM, 7:05 PM,16.0,15300,x,
SP,Colby Lewis,TEX,TEX @ MIN, 1:10 PM,12.9,15200,"",
SP,Rafael Montero,NYM,NYM @ PHI, 7:05 PM,14.0,15100,"",
SP,Scott Feldman,HOU,HOU vs BAL, 8:10 PM,14.0,15100,"",
SP,Brandon Cumpton,PIT,PIT @ LAD,10:10 PM,14.0,15100,"",
SP,Homer Bailey,CIN,CIN @ ARI, 9:40 PM,12.5,14900,"",
SP,Edinson Volquez,PIT,PIT @ LAD,10:10 PM,12.7,14800,"",
SP,Chris Young,SEA,SEA vs LAA,10:10 PM,13.6,14700,"",
SP,Jeremy Guthrie,KC,KC @ TOR, 7:07 PM,12.8,14600,"",
SP,Nicholas Martinez,TEX,TEX @ MIN, 1:10 PM,8.5,14500,x,
SP,Drew Pomeranz,OAK,OAK vs DET, 3:35 PM,10.3,14200,"",
SP,Jarred Cosart,HOU,HOU vs BAL, 8:10 PM,11.9,14200,"",
SP,Kyle Kendrick,PHI,PHI vs NYM, 7:05 PM,12.8,14200,"",
SP,Drew Smyly,DET,DET @ OAK, 3:35 PM,12.8,13800,"",
RP,Samuel Deduno,MIN,MIN vs TEX, 1:10 PM,9.9,13600,x,
SP,Francisco Liriano,PIT,PIT @ LAD,10:10 PM,12.5,13500,"",
