Position,PlayerName,Team,Opponent,Salary,PPG
1B,Paul Konerko,White Sox,Rangers,5350,-0.6
1B,Adam Dunn,White Sox,Rangers,10200,17.2
P,John Danks,White Sox,Rangers,9100,20.0
OF,Alejandro De Aza,White Sox,Rangers,7950,7.8
SS,Alexei Ramirez,White Sox,Rangers,10550,19.9
OF,Dayan Viciedo,White Sox,Rangers,7200,7.3
2B,Gordon Beckham,White Sox,Rangers,5850,0.0
C,Tyler Flowers,White Sox,Rangers,8350,10.4
P,Chris Sale,White Sox,Rangers,17200,38.5
P,Felipe Paulino,White Sox,Rangers,7500,-5.0
P,Scott Downs,White Sox,Rangers,7500,0.1
P,Matt Lindstrom,White Sox,Rangers,7500,2.8
C,Hector Gimenez,White Sox,Rangers,5300,7.5
P,Maikel Cleto,White Sox,Rangers,7500,2.4
OF,Blake Tekotte,White Sox,Rangers,7100,3.8
3B,Jeff Keppinger,White Sox,Rangers,5800,0.0
3B,Conor Gillaspie,White Sox,Rangers,8250,12.3
P,Dylan Axelrod,White Sox,Rangers,6600,4.3
P,Zach Putnam,White Sox,Rangers,7500,1.0
P,Donnie Veal,White Sox,Rangers,7500,1.0
P,Ronald Belisario,White Sox,Rangers,7500,-0.2
P,Nate Jones,White Sox,Rangers,7500,-8.5
P,Jose Quintana,White Sox,Rangers,13350,28.0
OF,Jordan Danks,White Sox,Rangers,6750,6.5
OF,Avisail Garcia,White Sox,Rangers,9050,14.8
OF,Adam Eaton,White Sox,Rangers,10500,16.3
3B,Matt Davidson,White Sox,Rangers,7450,8.3
2B,Leury Garcia,White Sox,Rangers,7450,5.0
SS,Leury Garcia,White Sox,Rangers,7450,5.0
P,Jake Petricka,White Sox,Rangers,7500,3.7
1B,Jose Abreu,White Sox,Rangers,10550,15.2
P,Daniel Webb,White Sox,Rangers,7500,7.5
P,Erik Johnson,White Sox,Rangers,8750,10.0
SS,Marcus Semien,White Sox,Rangers,7850,10.2
2B,Marcus Semien,White Sox,Rangers,7850,10.2
C,Adrian Nieto,White Sox,Rangers,5000,3.8
2B,Brian Roberts,Yankees,Rays,6900,8.5
OF,Jacoby Ellsbury,Yankees,Rays,11850,14.8
P,Alfredo Aceves,Yankees,Rays,8000,8.6
P,Matt Thornton,Yankees,Rays,7500,1.8
SS,Derek Jeter,Yankees,Rays,7900,8.1
P,CC Sabathia,Yankees,Rays,13000,25.2
1B,Mark Teixeira,Yankees,Rays,7150,5.2
P,David Robertson,Yankees,Rays,7500,3.3
OF,Brett Gardner,Yankees,Rays,7400,9.8
C,Francisco Cervelli,Yankees,Rays,5550,4.4
P,Ivan Nova,Yankees,Rays,9250,10.0
2B,Scott Sizemore,Yankees,Rays,6950,14.2
3B,Scott Sizemore,Yankees,Rays,6950,14.2
OF,Ichiro Suzuki,Yankees,Rays,7700,5.4
SS,Brendan Ryan,Yankees,Rays,6300,0.0
2B,Brendan Ryan,Yankees,Rays,6300,0.0
P,Shawn Kelley,Yankees,Rays,7500,3.2
P,Michael Pineda,Yankees,Rays,13950,32.3
OF,Kelly Johnson,Yankees,Rays,7150,10.1
2B,Kelly Johnson,Yankees,Rays,7150,10.1
C,Brian McCann,Yankees,Rays,10000,10.7
OF,Alfonso Soriano,Yankees,Rays,9600,12.5
P,Hiroki Kuroda,Yankees,Rays,11250,19.5
OF,Carlos Beltran,Yankees,Rays,11600,16.0
C,Austin Romine,Yankees,Rays,5000,-1.0
P,Dellin Betances,Yankees,Rays,7500,7.8
P,Cesar Cabral,Yankees,Rays,7500,-2.2
P,David Phelps,Yankees,Rays,8450,4.4
P,Adam Warren,Yankees,Rays,7500,3.6
P,Vidal Nuno,Yankees,Rays,7500,-1.7
OF,Zoilo Almonte,Yankees,Rays,5750,6.6
C,John Ryan Murphy,Yankees,Rays,5000,2.0
P,Masahiro Tanaka,Yankees,Rays,16400,46.0
P,Shane Greene,Yankees,Rays,7500,0.0
SS,Dean Anna,Yankees,Rays,5000,4.9
2B,Dean Anna,Yankees,Rays,5000,4.9
SS,Yangervis Solarte,Yankees,Rays,6350,14.4
P,Fernando Rodney,Mariners,Marlins,7500,6.0
1B,Kendrys Morales,Mariners,Marlins,8450,12.1
OF,Kendrys Morales,Mariners,Marlins,8450,12.1
2B,Robinson Cano,Mariners,Marlins,10950,10.2
P,Felix Hernandez,Mariners,Marlins,20800,47.8
OF,Franklin Gutierrez,Mariners,Marlins,5000,0.0
OF,Michael Saunders,Mariners,Marlins,6900,5.6
OF,Dustin Ackley,Mariners,Marlins,9400,13.4
1B,Justin Smoak,Mariners,Marlins,6700,11.7
P,Charlie Furbush,Mariners,Marlins,7500,1.6
P,Tom Wilhelmsen,Mariners,Marlins,7500,2.0
P,Blake Beavan,Mariners,Marlins,7500,3.0
3B,Kyle Seager,Mariners,Marlins,7950,6.4
