"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SP","Chris Sale",12300,"CWS@Det 01:08PM ET",26.869
"SP","Max Scherzer",11900,"CWS@Det 01:08PM ET",22.652
"SP","Adam Wainwright",10500,"StL@SD 03:40PM ET",23.421
"SP","Tyson Ross",9700,"StL@SD 03:40PM ET",20.254
"SP","Jesse Hahn",9300,"StL@SD 03:40PM ET",22.061
"SP","Jake Arrieta",9200,"Col@ChC 02:20PM ET",20.222
"SP","Michael Wacha",9200,"StL@SD 03:40PM ET",17.977
"SP","Lance Lynn",9000,"StL@SD 03:40PM ET",18.130
"SP","Jaime Garcia",8800,"StL@SD 03:40PM ET",14.856
"SP","Ian Kennedy",8500,"StL@SD 03:40PM ET",18.686
"SP","Jose Quintana",8200,"CWS@Det 01:08PM ET",17.100
"SP","Anibal Sanchez",7500,"CWS@Det 01:08PM ET",15.274
"SP","James McDonald",7300,"Col@ChC 02:20PM ET",0
"SP","Andrew Cashner",7300,"StL@SD 03:40PM ET",13.837
"SP","Dallas Beeler",7200,"Col@ChC 02:20PM ET",9.275
"SP","Drew Smyly",7000,"CWS@Det 01:08PM ET",13.028
"SP","Jorge De La Rosa",6900,"Col@ChC 02:20PM ET",13.360
"RP","Daniel Webb",6900,"CWS@Det 01:08PM ET",3.349
"SP","Tyler Chatwood",6900,"Col@ChC 02:20PM ET",13.850
"SP","Jordan Lyles",6900,"Col@ChC 02:20PM ET",13.621
"SP","Tyler Lyons",6900,"StL@SD 03:40PM ET",7.743
"RP","Justin Grimm",6800,"Col@ChC 02:20PM ET",2.466
"SP","Rick Porcello",6800,"CWS@Det 01:08PM ET",16.340
"SP","Robbie Erlin",6800,"StL@SD 03:40PM ET",12.383
"SP","Kyle Hendricks",6700,"Col@ChC 02:20PM ET",17.033
"SP","Dan Straily",6700,"Col@ChC 02:20PM ET",12.407
"SP","Jhoulys Chacin",6700,"Col@ChC 02:20PM ET",9.027
"SP","Eric Stults",6600,"StL@SD 03:40PM ET",8.402
"SP","Joe Kelly",6600,"StL@SD 03:40PM ET",10.050
"RP","Jake Petricka",6600,"CWS@Det 01:08PM ET",3.118
"SP","Justin Verlander",6600,"CWS@Det 01:08PM ET",13.136
"SP","John Danks",6500,"CWS@Det 01:08PM ET",12.988
"RP","Bobby LaFromboise",6500,"StL@SD 03:40PM ET",0
"RP","Zac Rosscup",6500,"Col@ChC 02:20PM ET",2.500
"SP","Robbie Ray",6500,"CWS@Det 01:08PM ET",6.375
"SP","Brett Anderson",6400,"Col@ChC 02:20PM ET",12.450
"RP","Odrisamer Despaigne",6300,"StL@SD 03:40PM ET",15.517
"SP","Erik Johnson",6300,"CWS@Det 01:08PM ET",6.570
"SP","Josh Johnson",6300,"StL@SD 03:40PM ET",0
"RP","Tommy Kahnle",6200,"Col@ChC 02:20PM ET",4.102
"SP","Hector Noesi",6200,"CWS@Det 01:08PM ET",8.178
"RP","Justin Miller",6200,"CWS@Det 01:08PM ET",3.321
"SP","Cory Luebke",6200,"StL@SD 03:40PM ET",0
"SP","Travis Wood",6000,"Col@ChC 02:20PM ET",9.143
"SP","Drew VerHagen",6000,"CWS@Det 01:08PM ET",4.225
"RP","Ian Krol",5900,"CWS@Det 01:08PM ET",1.054
