Position,PlayerName,Team,Opponent,Salary,PPG
1B,Vladimir Guerrero,Orioles,Blue Jays,5000,0.0
P,Justin Duchscherer,Orioles,Blue Jays,5000,0.0
P,Mark Hendrickson,Orioles,Blue Jays,5000,0.0
SS,J.J. Hardy,Orioles,Blue Jays,7300,11.0
P,Josh Rupe,Orioles,Blue Jays,5000,0.0
OF,Nick Markakis,Orioles,Blue Jays,8550,10.4
P,Willie Eyre,Orioles,Blue Jays,5000,0.0
OF,Adam Jones,Orioles,Blue Jays,11600,15.3
P,Troy Patton,Orioles,Blue Jays,5000,3.0
OF,Nolan Reimold,Orioles,Blue Jays,7150,7.5
P,Mark Worrell,Orioles,Blue Jays,5000,0.0
1B,Chris Davis,Orioles,Blue Jays,12200,18.9
P,Tommy Hunter,Orioles,Blue Jays,6000,4.7
C,Matt Wieters,Orioles,Blue Jays,10350,11.2
P,Chris Tillman,Orioles,Blue Jays,11700,24.2
P,Brian Matusz,Orioles,Blue Jays,6650,2.9
P,Pedro Viola,Orioles,Blue Jays,5000,0.0
P,Zach Britton,Orioles,Blue Jays,9650,6.7
2B,Ryan Adams,Orioles,Blue Jays,5000,0.0
3B,Ryan Adams,Orioles,Blue Jays,5000,0.0
2B,Blake Davis,Orioles,Blue Jays,5000,0.0
P,Dennys Reyes,Orioles,Blue Jays,5000,0.0
P,Ubaldo Jimenez,Orioles,Blue Jays,10800,23.1
2B,Cord Phelps,Orioles,Blue Jays,5000,-2.2
OF,Delmon Young,Orioles,Blue Jays,8650,8.8
P,Daniel Schlereth,Orioles,Blue Jays,5000,-0.5
1B,Jim Thome,Orioles,Blue Jays,5000,1.7
2B,Alexi Casilla,Orioles,Blue Jays,7000,5.3
SS,Alexi Casilla,Orioles,Blue Jays,7000,5.3
P,Luis Ayala,Orioles,Blue Jays,5000,2.5
2B,Jemile Weeks,Orioles,Blue Jays,5000,1.5
P,Aaron Laffey,Orioles,Blue Jays,8300,1.0
OF,Trayvon Robinson,Orioles,Blue Jays,5000,0.0
OF,Nelson Cruz,Orioles,Blue Jays,9300,14.7
P,Darren O'Day,Orioles,Blue Jays,5000,4.2
OF,Julio Borbon,Orioles,Blue Jays,5100,3.5
P,Dontrelle Willis,Orioles,Blue Jays,5000,0.0
P,Edgmer Escalona,Orioles,Blue Jays,5000,2.0
P,Ryan Webb,Orioles,Blue Jays,5000,3.2
1B,Brett Wallace,Orioles,Blue Jays,5000,10.6
3B,Brett Wallace,Orioles,Blue Jays,5000,10.6
P,Bud Norris,Orioles,Blue Jays,9450,15.0
P,Johan Santana,Orioles,Blue Jays,9400,0.0
C,Dane Sardinha,Orioles,Blue Jays,5000,0.0
OF,Steve Pearce,Orioles,Blue Jays,6650,8.7
1B,Steve Pearce,Orioles,Blue Jays,6650,8.7
