"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SG","James Harden",11200,"SA@Hou 08:00PM ET",51.700
"PF","LaMarcus Aldridge",8800,"Dal@Por 10:30PM ET",36.875
"C","Dwight Howard",8700,"SA@Hou 08:00PM ET",37.950
"PG","Damian Lillard",8000,"Dal@Por 10:30PM ET",33.688
"PF","Tim Duncan",7700,"SA@Hou 08:00PM ET",42.250
"PF","Dirk Nowitzki",7600,"Dal@Por 10:30PM ET",33.250
"SF","Trevor Ariza",7500,"SA@Hou 08:00PM ET",33.850
"PG","Tony Parker",7000,"SA@Hou 08:00PM ET",30.000
"SF","Chandler Parsons",6900,"Dal@Por 10:30PM ET",30.125
"SG","Monta Ellis",6800,"Dal@Por 10:30PM ET",31.000
"SF","Nicolas Batum",6500,"Dal@Por 10:30PM ET",27.750
"PF","Terrence Jones",6500,"SA@Hou 08:00PM ET",31.250
"SG","Wesley Matthews",6300,"Dal@Por 10:30PM ET",30.000
"C","Robin Lopez",5800,"Dal@Por 10:30PM ET",29.125
"C","Tyson Chandler",5700,"Dal@Por 10:30PM ET",27.063
"PG","Devin Harris",5200,"Dal@Por 10:30PM ET",25.875
"SF","Kawhi Leonard",5000,"SA@Hou 08:00PM ET",20.000
"C","Tiago Splitter",4800,"SA@Hou 08:00PM ET",14.500
"SG","Manu Ginobili",4700,"SA@Hou 08:00PM ET",21.833
"PF","Boris Diaw",4700,"SA@Hou 08:00PM ET",24.167
"PG","Patrick Beverley",4700,"SA@Hou 08:00PM ET",19.917
"SF","Kostas Papanikolaou",4300,"SA@Hou 08:00PM ET",19.900
"PF","Brandan Wright",4200,"Dal@Por 10:30PM ET",20.813
"SG","Marco Belinelli",4100,"SA@Hou 08:00PM ET",14.583
"SG","Danny Green",4000,"SA@Hou 08:00PM ET",19.583
"PG","Jameer Nelson",3600,"Dal@Por 10:30PM ET",16.875
"SF","Donatas Motiejunas",3400,"SA@Hou 08:00PM ET",10.600
"C","Chris Kaman",3300,"Dal@Por 10:30PM ET",18.125
"SG","Jason Terry",3000,"SA@Hou 08:00PM ET",10.950
"SF","Richard Jefferson",3000,"Dal@Por 10:30PM ET",7.188
"PF","Matt Bonner",3000,"SA@Hou 08:00PM ET",2.500
"PG","Steve Blake",3000,"Dal@Por 10:30PM ET",14.000
"PG","J.J. Barea",3000,"Dal@Por 10:30PM ET",13.500
"SF","Francisco Garcia",3000,"SA@Hou 08:00PM ET",0
"PG","Raymond Felton",3000,"Dal@Por 10:30PM ET",0
"PF","Charlie Villanueva",3000,"Dal@Por 10:30PM ET",1.250
"SF","Dorell Wright",3000,"Dal@Por 10:30PM ET",5.500
"PF","Joey Dorsey",3000,"SA@Hou 08:00PM ET",2.083
"PF","Jeff Ayres",3000,"SA@Hou 08:00PM ET",6.625
"C","Aron Baynes",3000,"SA@Hou 08:00PM ET",6.417
"C","Joel Freeland",3000,"Dal@Por 10:30PM ET",3.625
"SF","Austin Daye",3000,"SA@Hou 08:00PM ET",7.750
"PG","Patty Mills",3000,"SA@Hou 08:00PM ET",0
"SF","Al-Farouq Aminu",3000,"Dal@Por 10:30PM ET",13.125
"SG","Victor Claver",3000,"Dal@Por 10:30PM ET",0
"PG","Isaiah Canaan",3000,"SA@Hou 08:00PM ET",13.700
"PF","Thomas Robinson",3000,"Dal@Por 10:30PM ET",10.583
"PG","Troy Daniels",3000,"SA@Hou 08:00PM ET",1.500
"C","Greg Smith",3000,"Dal@Por 10:30PM ET",1.875
"PG","C.J. McCollum",3000,"Dal@Por 10:30PM ET",2.000
"SG","Allen Crabbe",3000,"Dal@Por 10:30PM ET",3.375
"C","Meyers Leonard",3000,"Dal@Por 10:30PM ET",0.000
"SG","Will Barton",3000,"Dal@Por 10:30PM ET",5.667
"PF","Tarik Black",3000,"SA@Hou 08:00PM ET",5.667
"PF","Jae Crowder",3000,"Dal@Por 10:30PM ET",2.667
"PG","Cory Joseph",3000,"SA@Hou 08:00PM ET",13.667
"SG","Nick Johnson",3000,"SA@Hou 08:00PM ET",1.250
"SF","Kyle Anderson",3000,"SA@Hou 08:00PM ET",0
"SG","Ricky Ledo",3000,"Dal@Por 10:30PM ET",0
"PF","Clint Capela",3000,"SA@Hou 08:00PM ET",0
