Position,PlayerName,Team,Opponent,Salary,PPG
C,Zaza Pachulia,Bucks,Knicks,6100,14.2
C,Al Horford,Hawks,Lakers,12350,28.6
PF,Al Horford,Hawks,Lakers,12350,28.6
PG,Jeff Teague,Hawks,Lakers,12150,29.6
C,Carlos Boozer,Lakers,Hawks,10750,22.1
PF,Carlos Boozer,Lakers,Hawks,10750,22.1
SG,Kyle Korver,Hawks,Lakers,10650,28.8
SF,Kyle Korver,Hawks,Lakers,10650,28.8
C,Omer Asik,Pelicans,Kings,10600,26.3
PF,Omer Asik,Pelicans,Kings,10600,26.3
C,Ryan Hollins,Kings,Pelicans,5000,2.4
PG,Ramon Sessions,Kings,Pelicans,5900,9.1
SG,Ramon Sessions,Kings,Pelicans,5900,9.1
SF,Omri Casspi,Kings,Pelicans,5350,12.8
SG,J.R. Smith,Knicks,Bucks,10950,21.3
SF,J.R. Smith,Knicks,Bucks,10950,21.3
SF,Jordan Hamilton,Jazz,Thunder,5000,0.0
PG,Brandon Knight,Bucks,Knicks,13250,36.1
SG,Brandon Knight,Bucks,Knicks,13250,36.1
PF,Vernon Macklin,Pelicans,Kings,5000,0.0
PG,Jeremy Lin,Lakers,Hawks,10250,22.3
SG,Jeremy Lin,Lakers,Hawks,10250,22.3
C,Jeremy Tyler,Lakers,Hawks,5000,7.7
C,Jordan Hill,Lakers,Hawks,11300,29.6
PF,Jordan Hill,Lakers,Hawks,11300,29.6
SG,Dahntay Jones,Jazz,Thunder,5000,0.0
SF,Dahntay Jones,Jazz,Thunder,5000,0.0
PG,Darren Collison,Kings,Pelicans,11300,31.4
SG,Eric Gordon,Pelicans,Kings,8350,16.0
PG,Kobe Bryant,Lakers,Hawks,15700,39.2
SG,Kobe Bryant,Lakers,Hawks,15700,39.2
SG,Trey Johnson,Kings,Pelicans,5000,0.0
PF,Rudy Gay,Kings,Pelicans,14700,37.3
SF,Rudy Gay,Kings,Pelicans,14700,37.3
PG,O.J. Mayo,Bucks,Knicks,7550,20.3
SG,O.J. Mayo,Bucks,Knicks,7550,20.3
SG,Xavier Henry,Lakers,Hawks,5000,3.4
SF,Xavier Henry,Lakers,Hawks,5000,3.4
PG,Ish Smith,Thunder,Jazz,5000,5.3
C,Dexter Pittman,Hawks,Lakers,5000,1.5
