Position,PlayerName,Team,Opponent,Salary,PPG
PG,Kirk Hinrich,Bulls,Magic,8900,20.4
SG,Kirk Hinrich,Bulls,Magic,8900,20.4
C,Zaza Pachulia,Bucks,Pacers,5000,6.5
C,Josh Powell,Rockets,Heat,5000,10.8
PF,Josh Powell,Rockets,Heat,5000,10.8
PF,Marvin Williams,Hornets,Pelicans,7250,17.8
SF,Marvin Williams,Hornets,Pelicans,7250,17.8
PF,Paul Pierce,Wizards,Knicks,10450,24.7
SF,Paul Pierce,Wizards,Knicks,10450,24.7
PG,E'Twaun Moore,Bulls,Magic,5000,-0.1
SG,E'Twaun Moore,Bulls,Magic,5000,-0.1
SG,Gerald Henderson,Hornets,Pelicans,6050,7.2
SF,Gerald Henderson,Hornets,Pelicans,6050,7.2
PG,Garrett Temple,Wizards,Knicks,5000,21.2
SG,Garrett Temple,Wizards,Knicks,5000,21.2
C,Bismack Biyombo,Hornets,Pelicans,5000,0.0
PG,Kemba Walker,Hornets,Pelicans,12700,26.7
C,Carlos Boozer,Lakers,Suns,10600,18.1
PF,Carlos Boozer,Lakers,Suns,10600,18.1
SG,Rasual Butler,Wizards,Knicks,5000,4.8
SF,Rasual Butler,Wizards,Knicks,5000,4.8
PG,Jannero Pargo,Hornets,Pelicans,5000,0.0
PF,Luol Deng,Heat,Rockets,11950,24.7
SF,Luol Deng,Heat,Rockets,11950,24.7
C,Joakim Noah,Bulls,Magic,13450,26.4
PF,Joakim Noah,Bulls,Magic,13450,26.4
PG,C.J. Watson,Pacers,Bucks,5000,0.0
PG,Derrick Rose,Bulls,Magic,14050,27.6
C,Omer Asik,Pelicans,Hornets,12450,28.8
PF,Omer Asik,Pelicans,Hornets,12450,28.8
C,Taj Gibson,Bulls,Magic,11150,26.9
PF,Taj Gibson,Bulls,Magic,11150,26.9
PF,Nikola Mirotic,Bulls,Magic,5000,14.4
SF,Nikola Mirotic,Bulls,Magic,5000,14.4
