Position,PlayerName,Team,Opponent,Salary,PPG
SG,Joe Johnson,Nets,Celtics,11100,25.8
SF,Joe Johnson,Nets,Celtics,11100,25.8
PG,Kirk Hinrich,Bulls,Knicks,8200,20.3
SG,Kirk Hinrich,Bulls,Knicks,8200,20.3
C,Zaza Pachulia,Bucks,Hornets,5400,19.9
C,Josh Powell,Rockets,Jazz,5000,10.8
PF,Josh Powell,Rockets,Jazz,5000,10.8
PF,Josh Smith,Pistons,Nuggets,14000,32.5
SF,Josh Smith,Pistons,Nuggets,14000,32.5
PF,Marvin Williams,Hornets,Bucks,7550,19.6
SF,Marvin Williams,Hornets,Bucks,7550,19.6
C,Al Horford,Hawks,Raptors,14250,35.8
PF,Al Horford,Hawks,Raptors,14250,35.8
PG,Jeff Teague,Hawks,Raptors,11950,30.4
C,Kevin Garnett,Nets,Celtics,7750,18.6
PF,Kevin Garnett,Nets,Celtics,7750,18.6
PF,Paul Pierce,Wizards,Heat,10500,24.9
SF,Paul Pierce,Wizards,Heat,10500,24.9
PG,Rajon Rondo,Celtics,Nets,14100,34.2
SG,Jeff Green,Celtics,Nets,11000,26.1
SF,Jeff Green,Celtics,Nets,11000,26.1
PG,Avery Bradley,Celtics,Nets,8850,22.7
SG,Avery Bradley,Celtics,Nets,8850,22.7
PG,E'Twaun Moore,Bulls,Knicks,5000,11.9
SG,E'Twaun Moore,Bulls,Knicks,5000,11.9
PG,D.J. Augustin,Pistons,Nuggets,5350,22.9
SG,Gerald Henderson,Hornets,Bucks,7300,22.7
SF,Gerald Henderson,Hornets,Bucks,7300,22.7
PG,Garrett Temple,Wizards,Heat,5000,4.6
SG,Garrett Temple,Wizards,Heat,5000,4.6
C,Bismack Biyombo,Hornets,Bucks,5000,10.8
PG,Kemba Walker,Hornets,Bucks,13800,33.6
C,Carlos Boozer,Lakers,Suns,11850,25.8
PF,Carlos Boozer,Lakers,Suns,11850,25.8
SG,Rasual Butler,Wizards,Heat,5000,4.6
SF,Rasual Butler,Wizards,Heat,5000,4.6
PG,Jannero Pargo,Hornets,Bucks,6000,8.8
SG,Kyle Korver,Hawks,Raptors,9300,24.6
SF,Kyle Korver,Hawks,Raptors,9300,24.6
PF,Luol Deng,Heat,Wizards,11750,27.9
SF,Luol Deng,Heat,Wizards,11750,27.9
C,Joakim Noah,Bulls,Knicks,13450,38.5
PF,Joakim Noah,Bulls,Knicks,13450,38.5
PG,C.J. Watson,Pacers,76ers,6300,12.4
PG,Derrick Rose,Bulls,Knicks,14650,24.7
C,Taj Gibson,Bulls,Knicks,10350,25.1
PF,Taj Gibson,Bulls,Knicks,10350,25.1
