Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC @ CHI, 8:00 PM,50.2,19400,"",
PG,Russell Westbrook,OKC,OKC @ CHI, 8:00 PM,39.5,17200,"",
PF,Blake Griffin,LAC,LAC @ DEN,10:30 PM,42.4,17100,"",
PG,Chris Paul,LAC,LAC @ DEN,10:30 PM,43.2,17000,"",OUT
C,Al Jefferson,CHA,CHA vs ATL, 7:00 PM,40.1,16800,"",
C,Joakim Noah,CHI,CHI vs OKC, 8:00 PM,36.9,16400,"",
SG-SF,Paul George,IND,IND vs PHI, 7:00 PM,37.1,15800,"",
PF,Paul Millsap,ATL,ATL @ CHA, 7:00 PM,36.1,15100,"",
SG,James Harden,HOU,HOU vs UTA, 8:00 PM,39.2,15000,"",
PG,Ty Lawson,DEN,DEN vs LAC,10:30 PM,36.5,14800,"",
PF-C,Serge Ibaka,OKC,OKC @ CHI, 8:00 PM,32.4,14400,"",
C,Dwight Howard,HOU,HOU vs UTA, 8:00 PM,38.8,14400,"",
PF,Thaddeus Young,PHI,PHI @ IND, 7:00 PM,31.9,13700,"",
C,DeAndre Jordan,LAC,LAC @ DEN,10:30 PM,34.5,13500,"",
PF,Dirk Nowitzki,DAL,DAL vs BOS, 8:30 PM,34.5,13400,"",
SG,Monta Ellis,DAL,DAL vs BOS, 8:30 PM,32.7,13300,"",
PG,Kemba Walker,CHA,CHA vs ATL, 7:00 PM,32.6,13100,"",
PG,Michael Carter-Williams,PHI,PHI @ IND, 7:00 PM,34.6,12900,"",
PG,Eric Bledsoe,PHO,PHO @ BKN, 7:30 PM,32.3,12800,"",
C,Brook Lopez,BKN,BKN vs PHO, 7:30 PM,32.6,12700,"",OUT
PG,Goran Dragic,PHO,PHO @ BKN, 7:30 PM,34.0,12400,"",
PF,Kenneth Faried,DEN,DEN vs LAC,10:30 PM,25.8,12400,"",
SG,Lance Stephenson,IND,IND vs PHI, 7:00 PM,29.6,12400,"",
PF,David West,IND,IND vs PHI, 7:00 PM,28.5,12300,"",
PG,Rajon Rondo,BOS,BOS @ DAL, 8:30 PM,30.9,12200,"",
SG-SF,Gordon Hayward,UTA,UTA @ HOU, 8:00 PM,31.8,12100,"",
PG,Jeff Teague,ATL,ATL @ CHA, 7:00 PM,29.4,12000,"",
PF-C,Derrick Favors,UTA,UTA @ HOU, 8:00 PM,28.5,11100,"",
PG,Deron Williams,BKN,BKN vs PHO, 7:30 PM,27.6,11000,"",
PF,Markieff Morris,PHO,PHO @ BKN, 7:30 PM,24.5,11000,"",
SG,Jamal Crawford,LAC,LAC @ DEN,10:30 PM,26.4,10900,"",OUT
SF,DeMarre Carroll,ATL,ATL @ CHA, 7:00 PM,23.0,10800,"",
SF,Chandler Parsons,HOU,HOU vs UTA, 8:00 PM,29.9,10800,"",
C,Enes Kanter,UTA,UTA @ HOU, 8:00 PM,22.0,10700,"",
C,JJ Hickson,DEN,DEN vs LAC,10:30 PM,26.1,10600,"",
SG-SF,PJ Tucker,PHO,PHO @ BKN, 7:30 PM,22.5,10600,"",
SG-SF,Jimmy Butler,CHI,CHI vs OKC, 8:00 PM,26.3,10300,"",
SF-PF,Jeff Green,BOS,BOS @ DAL, 8:30 PM,26.0,10100,"",
PG,Trey Burke,UTA,UTA @ HOU, 8:00 PM,24.1,10000,"",
SF,Paul Pierce,BKN,BKN vs PHO, 7:30 PM,24.3,9900,"",
PF,Carlos Boozer,CHI,CHI vs OKC, 8:00 PM,26.9,9700,"",
SG-SF,Kyle Korver,ATL,ATL @ CHA, 7:00 PM,23.0,9600,"",
PG,Reggie Jackson,OKC,OKC @ CHI, 8:00 PM,23.9,9500,"",
PG,George Hill,IND,IND vs PHI, 7:00 PM,22.3,9500,"",
PF-C,Jared Sullinger,BOS,BOS @ DAL, 8:30 PM,26.2,9400,"",
SG-SF,Gerald Green,PHO,PHO @ BKN, 7:30 PM,23.5,9300,"",
SG-SF,Evan Turner,IND,IND vs PHI, 7:00 PM,27.5,9300,"",
C,Roy Hibbert,IND,IND vs PHI, 7:00 PM,25.8,9300,"",
PF-C,Kris Humphries,BOS,BOS @ DAL, 8:30 PM,19.4,9200,"",
SG,Alec Burks,UTA,UTA @ HOU, 8:00 PM,22.1,9100,"",
PG,Darren Collison,LAC,LAC @ DEN,10:30 PM,19.9,9100,"",
SG,Gerald Henderson,CHA,CHA vs ATL, 7:00 PM,24.1,8900,"",
PF-C,Channing Frye,PHO,PHO @ BKN, 7:30 PM,22.1,8900,"",
PF,Josh McRoberts,CHA,CHA vs ATL, 7:00 PM,22.6,8800,"",
SG-SF,Joe Johnson,BKN,BKN vs PHO, 7:30 PM,23.1,8800,"",
PF-C,Taj Gibson,CHI,CHI vs OKC, 8:00 PM,25.1,8800,"",
SG,JJ Redick,LAC,LAC @ DEN,10:30 PM,22.3,8700,"",OUT
PG,DJ Augustin,CHI,CHI vs OKC, 8:00 PM,20.6,8700,"",
SG-SF,Mike Dunleavy,CHI,CHI vs OKC, 8:00 PM,21.0,8700,"",OUT
SF-PF,Terrence Jones,HOU,HOU vs UTA, 8:00 PM,24.6,8700,"",
SF,Wilson Chandler,DEN,DEN vs LAC,10:30 PM,24.2,8500,"",
PG,Patrick Beverley,HOU,HOU vs UTA, 8:00 PM,21.0,8500,"",
PF-C,Andray Blatche,BKN,BKN vs PHO, 7:30 PM,22.5,8400,"",
PG,Shaun Livingston,BKN,BKN vs PHO, 7:30 PM,18.3,8400,"",
C,Pero Antic,ATL,ATL @ CHA, 7:00 PM,13.5,8400,"",
PG,Jose Calderon,DAL,DAL vs BOS, 8:30 PM,22.8,8100,"",
SG,Tony Wroten,PHI,PHI @ IND, 7:00 PM,21.3,8100,"",
SG-SF,James Anderson,PHI,PHI @ IND, 7:00 PM,18.8,8100,"",OUT
PG,Derrick Rose,CHI,CHI vs OKC, 8:00 PM,24.2,8000,"",OUT
PF,Marcus Morris,PHO,PHO @ BKN, 7:30 PM,17.9,8000,"",
PG,Phil Pressey,BOS,BOS @ DAL, 8:30 PM,8.7,8000,"",
