"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",11300,"Mem@OKC 09:30PM ET",53.519
"PG/SG","Stephen Curry",10500,"GS@LAC 03:30PM ET",46.269
"PG","Chris Paul",10300,"GS@LAC 03:30PM ET",46.056
"PF/C","Blake Griffin",9400,"GS@LAC 03:30PM ET",44.841
"PG","Russell Westbrook",9000,"Mem@OKC 09:30PM ET",42.766
"SG/SF","Paul George",8800,"Atl@Ind 07:00PM ET",39.813
"PF/C","Paul Millsap",8100,"Atl@Ind 07:00PM ET",38.747
"SG/SF","DeMar DeRozan",8000,"Bkn@Tor 12:30PM ET",36.256
"PF/C","Zach Randolph",7900,"Mem@OKC 09:30PM ET",35.440
"PF/C","David Lee",7900,"GS@LAC 03:30PM ET",34.844
"C","DeAndre Jordan",7700,"GS@LAC 03:30PM ET",35.695
"PG","Kyle Lowry",7700,"Bkn@Tor 12:30PM ET",38.737
"C","Marc Gasol",7500,"Mem@OKC 09:30PM ET",32.915
"PF/C","Serge Ibaka",7500,"Mem@OKC 09:30PM ET",33.954
"PG","Mike Conley",7300,"Mem@OKC 09:30PM ET",33.079
"PG","Jeff Teague",7200,"Atl@Ind 07:00PM ET",31.753
"SG/SF","Klay Thompson",7100,"GS@LAC 03:30PM ET",28.867
"PG","Deron Williams",6700,"Bkn@Tor 12:30PM ET",29.844
"PF","David West",6600,"Atl@Ind 07:00PM ET",29.344
"C","Jonas Valanciunas",6200,"Bkn@Tor 12:30PM ET",25.352
"SF","Draymond Green",5800,"GS@LAC 03:30PM ET",19.345
"PF/C","Amir Johnson",5700,"Bkn@Tor 12:30PM ET",24.140
"SG/SF","Joe Johnson",5600,"Bkn@Tor 12:30PM ET",25.842
"PF/C","Mason Plumlee",5500,"Bkn@Tor 12:30PM ET",16.721
"SF/PF","Paul Pierce",5500,"Bkn@Tor 12:30PM ET",25.693
"SG/SF","Lance Stephenson",5400,"Atl@Ind 07:00PM ET",31.038
"PG","Darren Collison",5300,"GS@LAC 03:30PM ET",22.231
"SF","Caron Butler",5300,"Mem@OKC 09:30PM ET",20.110
"C","Roy Hibbert",5100,"Atl@Ind 07:00PM ET",25.327
"SG/SF","Andre Iguodala",5000,"GS@LAC 03:30PM ET",24.742
"C","Andrew Bynum",5000,"Atl@Ind 07:00PM ET",19.452
"PF/C","Andray Blatche",4900,"Bkn@Tor 12:30PM ET",22.795
"PG/SG","Reggie Jackson",4900,"Mem@OKC 09:30PM ET",26.041
"SG/SF","Kyle Korver",4900,"Atl@Ind 07:00PM ET",24.563
"C","Andrew Bogut",4800,"GS@LAC 03:30PM ET",26.981
"PG/SG","Jamal Crawford",4800,"GS@LAC 03:30PM ET",28.580
"PG/SG","Shaun Livingston",4800,"Bkn@Tor 12:30PM ET",19.757
"SF/PF","DeMarre Carroll",4800,"Atl@Ind 07:00PM ET",24.469
"C","Jermaine O'Neal",4700,"GS@LAC 03:30PM ET",17.591
"SF","Matt Barnes",4700,"GS@LAC 03:30PM ET",21.500
"PG/SG","George Hill",4700,"Atl@Ind 07:00PM ET",22.760
"SG/SF","Courtney Lee",4700,"Mem@OKC 09:30PM ET",17.123
"PG/SG","Greivis Vasquez",4600,"Bkn@Tor 12:30PM ET",19.275
"PF/C","Kevin Garnett",4600,"Bkn@Tor 12:30PM ET",19.602
"SG","J.J. Redick",4600,"GS@LAC 03:30PM ET",23.400
"PG/SG","Jordan Crawford",4500,"GS@LAC 03:30PM ET",20.120
"SG/SF","Evan Turner",4400,"Atl@Ind 07:00PM ET",26.247
"PF/C","Marreese Speights",4400,"GS@LAC 03:30PM ET",12.392
"PF/C","Luis Scola",4400,"Atl@Ind 07:00PM ET",15.466
"C","Pero Antic",4300,"Atl@Ind 07:00PM ET",15.658
"SF/PF","Harrison Barnes",4200,"GS@LAC 03:30PM ET",18.760
"PF/C","Glen Davis",4100,"GS@LAC 03:30PM ET",19.717
"SG/SF","Terrence Ross",4100,"Bkn@Tor 12:30PM ET",18.901
"SG","Marcus Thornton",4100,"Bkn@Tor 12:30PM ET",17.014
"SF/PF","Mirza Teletovic",4000,"Bkn@Tor 12:30PM ET",16.500
"SF/PF","Andrei Kirilenko",3900,"Bkn@Tor 12:30PM ET",13.544
"PF/C","Elton Brand",3800,"Atl@Ind 07:00PM ET",16.599
"PF/C","Nick Collison",3800,"Mem@OKC 09:30PM ET",11.639
"PG/SG","Lou Williams",3700,"Atl@Ind 07:00PM ET",19.775
"PG/SG","Donald Sloan",3600,"Atl@Ind 07:00PM ET",5.333
"PG/SG","Steve Blake",3600,"GS@LAC 03:30PM ET",21.041
"SF/PF","James Johnson",3500,"Mem@OKC 09:30PM ET",17.990
"SG/SF","John Jenkins",3500,"Atl@Ind 07:00PM ET",6.500
"PF/C","Patrick Patterson",3500,"Bkn@Tor 12:30PM ET",19.692
"SG/SF","Mike Miller",3500,"Mem@OKC 09:30PM ET",13.534
"SG/SF","Jared Dudley",3500,"GS@LAC 03:30PM ET",13.264
"SF/PF","Hedo Turkoglu",3500,"GS@LAC 03:30PM ET",8.862
"C","Brook Lopez",3500,"Bkn@Tor 12:30PM ET",33.382
"PF/C","Hilton Armstrong",3500,"GS@LAC 03:30PM ET",7.554
"PG","Marquis Teague",3500,"Bkn@Tor 12:30PM ET",6.425
"SG/SF","Alan Anderson",3300,"Bkn@Tor 12:30PM ET",13.247
"SF/PF","Andre Roberson",3300,"Mem@OKC 09:30PM ET",6.613
"PG","Jorge Gutierrez",3300,"Bkn@Tor 12:30PM ET",10.067
"SG/SF","Thabo Sefolosha",3300,"Mem@OKC 09:30PM ET",16.189
"PF","Mike Scott",3300,"Atl@Ind 07:00PM ET",16.269
"SF","Danny Granger",3200,"GS@LAC 03:30PM ET",15.177
"PF/C","Kosta Koufos",3200,"Mem@OKC 09:30PM ET",15.919
"PF/C","Ed Davis",3200,"Mem@OKC 09:30PM ET",13.151
"SG/SF","Tony Allen",3200,"Mem@OKC 09:30PM ET",19.564
"PF/C","Lavoy Allen",3200,"Atl@Ind 07:00PM ET",13.781
"SF","Solomon Hill",3000,"Atl@Ind 07:00PM ET",4.545
"PG","Dwight Buycks",3000,"Bkn@Tor 12:30PM ET",7.161
"PF","Grant Jerrett",3000,"Mem@OKC 09:30PM ET",0
"C","Steven Adams",3000,"Mem@OKC 09:30PM ET",11.167
"C","Ognjen Kuzmic",3000,"GS@LAC 03:30PM ET",2.803
"PG","Beno Udrih",3000,"Mem@OKC 09:30PM ET",11.933
"PG/SG","Nemanja Nedovic",3000,"GS@LAC 03:30PM ET",2.552
"PG","Dennis Schroder",3000,"Atl@Ind 07:00PM ET",8.286
"PF/C","Gustavo Ayon",3000,"Atl@Ind 07:00PM ET",14.125
"SG/SF","Reggie Bullock",3000,"GS@LAC 03:30PM ET",5.233
"SF/PF","Perry Jones",3000,"Mem@OKC 09:30PM ET",7.484
"C","Mike Muscala",3000,"Atl@Ind 07:00PM ET",8.575
"PG","Derek Fisher",3000,"Mem@OKC 09:30PM ET",11.340
"SG/SF","Jamaal Franklin",3000,"Mem@OKC 09:30PM ET",4.083
"SG/SF","Jeremy Lamb",3000,"Mem@OKC 09:30PM ET",16.042
"PG/SG","Nando De Colo",3000,"Bkn@Tor 12:30PM ET",8.793
"PF/C","Tyler Hansbrough",3000,"Bkn@Tor 12:30PM ET",12.004
"PG","C.J. Watson",3000,"Atl@Ind 07:00PM ET",13.226
"C","Hasheem Thabeet",3000,"Mem@OKC 09:30PM ET",4.239
"SG/SF","Quincy Pondexter",3000,"Mem@OKC 09:30PM ET",11.100
"SF/PF","Steve Novak",3000,"Bkn@Tor 12:30PM ET",6.028
"C","Ian Mahinmi",3000,"Atl@Ind 07:00PM ET",10.731
"C","Kendrick Perkins",3000,"Mem@OKC 09:30PM ET",12.319
"SG/SF","Cartier Martin",3000,"Atl@Ind 07:00PM ET",10.110
"C","Ryan Hollins",3000,"GS@LAC 03:30PM ET",5.426
"SF/PF","Chris Copeland",3000,"Atl@Ind 07:00PM ET",6.085
"PF/C","Al Horford",3000,"Atl@Ind 07:00PM ET",37.328
"SG/SF","Landry Fields",3000,"Bkn@Tor 12:30PM ET",6.408
"C","Festus Ezeli",3000,"GS@LAC 03:30PM ET",0
"PG/SG","Nick Calathes",3000,"Mem@OKC 09:30PM ET",13.180
"SG","Willie Green",3000,"GS@LAC 03:30PM ET",9.364
"PG","Shelvin Mack",3000,"Atl@Ind 07:00PM ET",17.021
"PF/C","Jason Collins",3000,"Bkn@Tor 12:30PM ET",3.148
"SG/SF","Julyan Stone",3000,"Bkn@Tor 12:30PM ET",3.119
"SG/SF","John Salmons",3000,"Bkn@Tor 12:30PM ET",12.356
"SG/SF","Rasual Butler",3000,"Atl@Ind 07:00PM ET",5.045
"SF/PF","Tayshaun Prince",3000,"Mem@OKC 09:30PM ET",13.559
"PF/C","Chuck Hayes",3000,"Bkn@Tor 12:30PM ET",8.590
"PF/C","Jon Leuer",3000,"Mem@OKC 09:30PM ET",12.061
