Position,PlayerName,Team,Opponent,Salary,PPG
PG,C.J. Watson,Pacers,Wizards,5050,13.1
C,Ian Mahinmi,Pacers,Wizards,5000,10.1
C,Luis Scola,Pacers,Wizards,5150,14.2
PF,Luis Scola,Pacers,Wizards,5150,14.2
C,Roy Hibbert,Pacers,Wizards,10550,23.0
PG,George Hill,Pacers,Wizards,9400,22.5
SG,George Hill,Pacers,Wizards,9400,22.5
SG,Paul George,Pacers,Wizards,14750,39.2
SF,Paul George,Pacers,Wizards,14750,39.2
SG,Lance Stephenson,Pacers,Wizards,12550,30.1
SF,Lance Stephenson,Pacers,Wizards,12550,30.1
C,Andrew Bynum,Pacers,Wizards,5200,18.1
PF,David West,Pacers,Wizards,11250,28.0
SG,Evan Turner,Pacers,Wizards,5000,23.4
SF,Evan Turner,Pacers,Wizards,5000,23.4
C,Lavoy Allen,Pacers,Wizards,6700,12.9
PF,Lavoy Allen,Pacers,Wizards,6700,12.9
PF,Chris Copeland,Pacers,Wizards,5000,6.0
SF,Chris Copeland,Pacers,Wizards,5000,6.0
PG,Jamal Crawford,Clippers,Thunder,9800,26.7
SG,Jamal Crawford,Clippers,Thunder,9800,26.7
C,Glen Davis,Clippers,Thunder,5050,17.1
PF,Glen Davis,Clippers,Thunder,5050,17.1
C,Ryan Hollins,Clippers,Thunder,5000,5.0
SF,Danny Granger,Clippers,Thunder,5000,12.9
PG,Darren Collison,Clippers,Thunder,7750,20.6
C,DeAndre Jordan,Clippers,Thunder,12100,34.8
C,Blake Griffin,Clippers,Thunder,17050,42.0
PF,Blake Griffin,Clippers,Thunder,17050,42.0
SF,Matt Barnes,Clippers,Thunder,6600,20.7
SG,Willie Green,Clippers,Thunder,5000,8.5
PG,Chris Paul,Clippers,Thunder,18550,45.0
PF,Hedo Turkoglu,Clippers,Thunder,5000,8.4
SF,Hedo Turkoglu,Clippers,Thunder,5000,8.4
SG,J.J. Redick,Clippers,Thunder,9200,22.3
SG,Jared Dudley,Clippers,Thunder,5000,12.2
SF,Jared Dudley,Clippers,Thunder,5000,12.2
SG,Reggie Bullock,Clippers,Thunder,5000,4.9
SF,Reggie Bullock,Clippers,Thunder,5000,4.9
SG,Ray Allen,Heat,Nets,7600,17.6
C,Chris Andersen,Heat,Nets,5300,16.4
PF,Chris Andersen,Heat,Nets,5300,16.4
SG,Shane Battier,Heat,Nets,5000,10.3
SF,Shane Battier,Heat,Nets,5000,10.3
PF,LeBron James,Heat,Nets,18050,46.7
SF,LeBron James,Heat,Nets,18050,46.7
C,Chris Bosh,Heat,Nets,11850,28.8
PF,Chris Bosh,Heat,Nets,11850,28.8
PG,Dwyane Wade,Heat,Nets,12000,32.1
SG,Dwyane Wade,Heat,Nets,12000,32.1
SG,James Jones,Heat,Nets,5000,8.9
SF,James Jones,Heat,Nets,5000,8.9
PF,Udonis Haslem,Heat,Nets,5000,9.2
PG,Mario Chalmers,Heat,Nets,8700,23.1
