Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SG-SF,Chris Johnson,BOS,BOS @ BKN, 7:30 PM,11.6,5900,"",
SF,Travis Outlaw,SAC,SAC vs SAS,10:00 PM,9.2,5800,"",
SG,Elliot Williams,PHI,PHI vs NYK, 7:00 PM,8.6,5800,"",
SF,Gerald Wallace,BOS,BOS @ BKN, 7:30 PM,14.7,5800,"",OUT
SF,Perry Jones,OKC,OKC @ TOR, 7:00 PM,7.5,5800,"",
SF,Mike Miller,MEM,MEM @ MIA, 7:30 PM,12.2,5700,"",
C,Aaron Gray,SAC,SAC vs SAS,10:00 PM,6.3,5700,"",
PF,Anthony Randolph,DEN,DEN @ DAL, 8:30 PM,10.4,5700,"",
PF-C,Nick Collison,OKC,OKC @ TOR, 7:00 PM,11.2,5700,"",
SG-SF,John Salmons,TOR,TOR vs OKC, 7:00 PM,12.3,5700,"",
PF-C,Jarvis Varnado,PHI,PHI vs NYK, 7:00 PM,7.8,5600,"",
PF,Kenyon Martin,NYK,NYK @ PHI, 7:00 PM,14.3,5600,"",OUT
PF,Charlie Villanueva,DET,DET @ PHO,10:00 PM,8.4,5600,"",
PG,Ray McCallum Jr,SAC,SAC vs SAS,10:00 PM,7.1,5600,"",
PF,Jeremy Tyler,NYK,NYK @ PHI, 7:00 PM,9.1,5500,"",
PG,Andre Miller,WAS,WAS @ LAL,10:30 PM,13.4,5500,"",
SF,Cartier Martin,ATL,ATL vs NOP, 7:30 PM,8.9,5500,"",
PF,Mike Scott,ATL,ATL vs NOP, 7:30 PM,15.4,5400,"",
PF,Luis Scola,IND,IND vs CHI, 7:00 PM,14.6,5400,"",
SG,Anthony Morrow,NOP,NOP @ ATL, 7:30 PM,10.2,5400,"",
PF-C,Aron Baynes,SAS,SAS @ SAC,10:00 PM,7.1,5400,"",
SF,Steve Novak,TOR,TOR vs OKC, 7:00 PM,5.6,5400,"",
PF-C,Gustavo Ayon,ATL,ATL vs NOP, 7:30 PM,13.5,5300,"",OUT
SG-SF,Alan Anderson,BKN,BKN vs BOS, 7:30 PM,12.5,5300,"",
PG,Pablo Prigioni,NYK,NYK @ PHI, 7:00 PM,13.4,5300,"",
C,JaVale McGee,DEN,DEN @ DAL, 8:30 PM,13.5,5300,"",OUT
SF,Andrei Kirilenko,BKN,BKN vs BOS, 7:30 PM,13.1,5300,"",
SF,Quincy Pondexter,MEM,MEM @ MIA, 7:30 PM,10.3,5000,"",OUT
PF,Rashard Lewis,MIA,MIA vs MEM, 7:30 PM,9.0,5000,"",
C,Greg Oden,MIA,MIA vs MEM, 7:30 PM,6.8,5000,"",
