"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",11700,"OKC@Orl 07:00PM ET",53.135
"PF/C","Kevin Love",11100,"Min@NO 09:30PM ET",51.952
"SF/PF","Carmelo Anthony",10100,"Den@NY 07:30PM ET",46.728
"PF/C","Blake Griffin",9900,"Tor@LAC 10:30PM ET",44.274
"PF/C","Anthony Davis",9800,"Min@NO 09:30PM ET",45.313
"PG","John Wall",9700,"Cle@Was 07:00PM ET",42.932
"PF/C","LaMarcus Aldridge",9700,"Por@Ind 07:00PM ET",46.770
"PF/C","DeMarcus Cousins",9200,"Sac@Bos 07:30PM ET",46.917
"SG/SF","Paul George",8600,"Por@Ind 07:00PM ET",39.891
"PG/SG","Kyrie Irving",8500,"Cle@Was 07:00PM ET",37.636
"PF/C","Dirk Nowitzki",8200,"Uta@Dal 08:30PM ET",37.417
"SF/PF","Rudy Gay",8200,"Sac@Bos 07:30PM ET",36.233
"PG","Brandon Jennings",8100,"Bkn@Det 07:30PM ET",36.397
"PG","Damian Lillard",8000,"Por@Ind 07:00PM ET",36.117
"PG","Kyle Lowry",7900,"Tor@LAC 10:30PM ET",37.423
"PG","Jrue Holiday",7800,"Min@NO 09:30PM ET",34.662
"PF/C","Andre Drummond",7800,"Bkn@Det 07:30PM ET",36.266
"SF/PF","Josh Smith",7800,"Bkn@Det 07:30PM ET",34.599
"PG","Chris Paul",7700,"Tor@LAC 10:30PM ET",47.706
"PG","Rajon Rondo",7700,"Sac@Bos 07:30PM ET",26.125
"PG","Ty Lawson",7700,"Den@NY 07:30PM ET",38.959
"PG","Michael Carter-Williams",7600,"LAL@Phi 07:00PM ET",38.711
"C","DeAndre Jordan",7600,"Tor@LAC 10:30PM ET",35.356
"PG","Isaiah Thomas",7600,"Sac@Bos 07:30PM ET",35.224
"PF/C","Pau Gasol",7600,"LAL@Phi 07:00PM ET",38.108
"SG/SF","DeMar DeRozan",7500,"Tor@LAC 10:30PM ET",36.016
"C","Nikola Pekovic",7500,"Min@NO 09:30PM ET",33.102
