Position,PlayerName,Team,Opponent,Salary,PPG
C,Elton Brand,Hawks,Nets,5000,9.9
PF,Elton Brand,Hawks,Nets,5000,9.9
SG,Kyle Korver,Hawks,Nets,9200,25.3
SF,Kyle Korver,Hawks,Nets,9200,25.3
PG,Lou Williams,Hawks,Nets,5950,18.6
SG,Lou Williams,Hawks,Nets,5950,18.6
PF,Paul Millsap,Hawks,Nets,14750,36.8
C,Al Horford,Hawks,Nets,14650,35.8
PF,Al Horford,Hawks,Nets,14650,35.8
SG,Cartier Martin,Hawks,Nets,5000,12.1
SF,Cartier Martin,Hawks,Nets,5000,12.1
PG,Jeff Teague,Hawks,Nets,11850,33.0
PF,DeMarre Carroll,Hawks,Nets,7900,21.4
SF,DeMarre Carroll,Hawks,Nets,7900,21.4
PG,Shelvin Mack,Hawks,Nets,6650,16.1
C,Gustavo Ayon,Hawks,Nets,5000,10.1
PF,Gustavo Ayon,Hawks,Nets,5000,10.1
SG,John Jenkins,Hawks,Nets,5000,6.2
SF,John Jenkins,Hawks,Nets,5000,6.2
PF,Mike Scott,Hawks,Nets,6950,12.8
PG,Dennis Schroder,Hawks,Nets,5000,6.9
C,Pero Antic,Hawks,Nets,6700,11.2
PF,Antawn Jamison,Clippers,Magic,5000,7.3
PG,Jamal Crawford,Clippers,Magic,9950,24.3
SG,Jamal Crawford,Clippers,Magic,9950,24.3
SF,Matt Barnes,Clippers,Magic,5850,15.0
SG,Willie Green,Clippers,Magic,5000,8.7
PG,Chris Paul,Clippers,Magic,16800,46.6
C,Ryan Hollins,Clippers,Magic,5000,5.1
SG,Jared Dudley,Clippers,Magic,5000,15.2
SF,Jared Dudley,Clippers,Magic,5000,15.2
C,DeAndre Jordan,Clippers,Magic,12550,32.6
C,Blake Griffin,Clippers,Magic,15350,40.7
PF,Blake Griffin,Clippers,Magic,15350,40.7
PG,Darren Collison,Clippers,Magic,10800,15.8
C,Byron Mullens,Clippers,Magic,5000,5.7
PF,Byron Mullens,Clippers,Magic,5000,5.7
SG,Kevin Martin,Timberwolves,76ers,10950,28.4
SF,Kevin Martin,Timberwolves,76ers,10950,28.4
C,Ronny Turiaf,Timberwolves,76ers,5000,6.5
PF,Ronny Turiaf,Timberwolves,76ers,5000,6.5
PG,J.J. Barea,Timberwolves,76ers,6450,15.9
SG,Corey Brewer,Timberwolves,76ers,8900,20.4
SF,Corey Brewer,Timberwolves,76ers,8900,20.4
C,Kevin Love,Timberwolves,76ers,19100,52.2
PF,Kevin Love,Timberwolves,76ers,19100,52.2
C,Nikola Pekovic,Timberwolves,76ers,11700,31.0
PF,Luc Richard Mbah a Moute,Timberwolves,76ers,5000,10.8
SF,Luc Richard Mbah a Moute,Timberwolves,76ers,5000,10.8
PG,Ricky Rubio,Timberwolves,76ers,13700,31.6
PF,Dante Cunningham,Timberwolves,76ers,5000,13.7
SG,Chase Budinger,Timberwolves,76ers,5000,0.0
SF,Chase Budinger,Timberwolves,76ers,5000,0.0
PG,A.J. Price,Timberwolves,76ers,5000,2.3
PF,Robbie Hummel,Timberwolves,76ers,5000,7.0
SF,Robbie Hummel,Timberwolves,76ers,5000,7.0
PG,Alexey Shved,Timberwolves,76ers,5000,7.2
SG,Alexey Shved,Timberwolves,76ers,5000,7.2
C,Gorgui Dieng,Timberwolves,76ers,5000,5.6
C,Kevin Garnett,Nets,Hawks,6250,18.5
PF,Kevin Garnett,Nets,Hawks,6250,18.5
SG,Paul Pierce,Nets,Hawks,10450,24.6
SF,Paul Pierce,Nets,Hawks,10450,24.6
PG,Jason Terry,Nets,Hawks,5000,8.3
SG,Jason Terry,Nets,Hawks,5000,8.3
PF,Andrei Kirilenko,Nets,Hawks,5000,10.8
SF,Andrei Kirilenko,Nets,Hawks,5000,10.8
SG,Joe Johnson,Nets,Hawks,7900,23.6
SF,Joe Johnson,Nets,Hawks,7900,23.6
C,Reggie Evans,Nets,Hawks,5000,9.4
PF,Reggie Evans,Nets,Hawks,5000,9.4
PG,Shaun Livingston,Nets,Hawks,6550,15.8
SG,Shaun Livingston,Nets,Hawks,6550,15.8
PG,Deron Williams,Nets,Hawks,12250,28.0
C,Andray Blatche,Nets,Hawks,9850,21.8
PF,Andray Blatche,Nets,Hawks,9850,21.8
SG,Alan Anderson,Nets,Hawks,6800,15.3
SF,Alan Anderson,Nets,Hawks,6800,15.3
PG,Tyshawn Taylor,Nets,Hawks,5000,7.8
PF,Mirza Teletovic,Nets,Hawks,7300,15.1
SF,Mirza Teletovic,Nets,Hawks,7300,15.1
PF,Mason Plumlee,Nets,Hawks,5800,12.1
PG,Jameer Nelson,Magic,Clippers,11250,28.6
PF,Jason Maxiell,Magic,Clippers,5000,9.2
PG,Ronnie Price,Magic,Clippers,5000,7.4
SG,Ronnie Price,Magic,Clippers,5000,7.4
SG,Arron Afflalo,Magic,Clippers,10750,33.0
SF,Arron Afflalo,Magic,Clippers,10750,33.0
C,Glen Davis,Magic,Clippers,9750,25.8
PF,Glen Davis,Magic,Clippers,9750,25.8
C,Nikola Vucevic,Magic,Clippers,12400,33.5
PF,Nikola Vucevic,Magic,Clippers,12400,33.5
PF,Tobias Harris,Magic,Clippers,9400,22.8
SF,Tobias Harris,Magic,Clippers,9400,22.8
PG,E'Twaun Moore,Magic,Clippers,5000,11.8
SG,E'Twaun Moore,Magic,Clippers,5000,11.8
SF,Maurice Harkless,Magic,Clippers,5000,13.8
PF,Andrew Nicholson,Magic,Clippers,5000,15.3
C,Kyle O'Quinn,Magic,Clippers,5000,8.6
PF,Kyle O'Quinn,Magic,Clippers,5000,8.6
PG,Victor Oladipo,Magic,Clippers,8700,25.3
SG,Victor Oladipo,Magic,Clippers,8700,25.3
C,Spencer Hawes,76ers,Timberwolves,12300,34.4
PF,Spencer Hawes,76ers,Timberwolves,12300,34.4
PF,Thaddeus Young,76ers,Timberwolves,13450,32.9
SF,Thaddeus Young,76ers,Timberwolves,13450,32.9
SG,Evan Turner,76ers,Timberwolves,13650,33.6
SF,Evan Turner,76ers,Timberwolves,13650,33.6
SG,James Anderson,76ers,Timberwolves,6350,17.8
SF,James Anderson,76ers,Timberwolves,6350,17.8
C,Daniel Orton,76ers,Timberwolves,5000,8.5
PF,Daniel Orton,76ers,Timberwolves,5000,8.5
PG,Darius Morris,76ers,Timberwolves,5000,12.6
SG,Darius Morris,76ers,Timberwolves,5000,12.6
C,Lavoy Allen,76ers,Timberwolves,5000,14.6
PF,Lavoy Allen,76ers,Timberwolves,5000,14.6
PG,Tony Wroten,76ers,Timberwolves,9950,23.2
PF,Hollis Thompson,76ers,Timberwolves,5000,12.3
SF,Hollis Thompson,76ers,Timberwolves,5000,12.3
PG,Michael Carter-Williams,76ers,Timberwolves,13900,39.9
PG,Lorenzo Brown,76ers,Timberwolves,5000,7.8
PF,Brandon Davies,76ers,Timberwolves,5000,6.2
