Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC @ LAL,10:30 PM,50.0,20000,"",
C,Joakim Noah,CHI,CHI vs BKN, 8:00 PM,35.5,15700,"",
PG,Russell Westbrook,OKC,OKC @ LAL,10:30 PM,39.0,13000,"",OUT
PF-C,Taj Gibson,CHI,CHI vs BKN, 8:00 PM,25.0,12900,"",
C,Chris Kaman,LAL,LAL vs OKC,10:30 PM,19.9,12800,"",
PF-C,Serge Ibaka,OKC,OKC @ LAL,10:30 PM,31.9,12800,"",
C,Brook Lopez,BKN,BKN @ CHI, 8:00 PM,32.6,12700,"",OUT
PG,Reggie Jackson,OKC,OKC @ LAL,10:30 PM,24.7,11800,"",
PF-C,Pau Gasol,LAL,LAL vs OKC,10:30 PM,36.1,11500,"",OUT
PF,Carlos Boozer,CHI,CHI vs BKN, 8:00 PM,28.0,10900,"",OUT
PG,Steve Blake,LAL,LAL vs OKC,10:30 PM,25.7,10900,"",
SG-SF,Jimmy Butler,CHI,CHI vs BKN, 8:00 PM,25.1,10700,"",
SG,Kobe Bryant,LAL,LAL vs OKC,10:30 PM,25.8,10100,"",OUT
PG,Kendall Marshall,LAL,LAL vs OKC,10:30 PM,26.2,10100,"",
PG,Deron Williams,BKN,BKN @ CHI, 8:00 PM,25.7,9800,"",
SG,Jeremy Lamb,OKC,OKC @ LAL,10:30 PM,17.3,9000,"",
SG-SF,Nick Young,LAL,LAL vs OKC,10:30 PM,22.7,8900,"",OUT
SF,Paul Pierce,BKN,BKN @ CHI, 8:00 PM,23.9,8800,"",
PG-SG,Kirk Hinrich,CHI,CHI vs BKN, 8:00 PM,19.4,8700,"",
PF-C,Mason Plumlee,BKN,BKN @ CHI, 8:00 PM,13.0,8500,"",
SG-SF,Wesley Johnson,LAL,LAL vs OKC,10:30 PM,19.1,8500,"",
SG,Jodie Meeks,LAL,LAL vs OKC,10:30 PM,21.6,8500,"",OUT
PF-C,Jordan Hill,LAL,LAL vs OKC,10:30 PM,19.6,8000,"",
SG-SF,Alan Anderson,BKN,BKN @ CHI, 8:00 PM,14.2,8000,"",
PF,Mirza Teletovic,BKN,BKN @ CHI, 8:00 PM,14.8,8000,"",
PG,Shaun Livingston,BKN,BKN @ CHI, 8:00 PM,17.8,8000,"",
SG-SF,Mike Dunleavy,CHI,CHI vs BKN, 8:00 PM,20.1,8000,"",
PF,Ryan Kelly,LAL,LAL vs OKC,10:30 PM,13.6,8000,"",
SF,Shawne Williams,LAL,LAL vs OKC,10:30 PM,14.3,8000,"",
PG,Derrick Rose,CHI,CHI vs BKN, 8:00 PM,24.2,8000,"",OUT
PG,DJ Augustin,CHI,CHI vs BKN, 8:00 PM,19.9,8000,"",
PF-C,Andray Blatche,BKN,BKN @ CHI, 8:00 PM,22.0,8000,"",
PG,Jordan Farmar,LAL,LAL vs OKC,10:30 PM,20.2,7900,"",OUT
SG-SF,Joe Johnson,BKN,BKN @ CHI, 8:00 PM,22.8,7700,"",
SF,Andrei Kirilenko,BKN,BKN @ CHI, 8:00 PM,12.0,7500,"",
SG,Thabo Sefolosha,OKC,OKC @ LAL,10:30 PM,16.1,7500,"",
PG,Steve Nash,LAL,LAL vs OKC,10:30 PM,15.7,7500,"",OUT
C,Kendrick Perkins,OKC,OKC @ LAL,10:30 PM,12.0,7500,"",
PF,Kevin Garnett,BKN,BKN @ CHI, 8:00 PM,19.2,7100,"",
SG-SF,Xavier Henry,LAL,LAL vs OKC,10:30 PM,16.4,6400,"",OUT
PF-C,Nick Collison,OKC,OKC @ LAL,10:30 PM,11.6,6000,"",
C,Robert Sacre,LAL,LAL vs OKC,10:30 PM,11.0,6000,"",
PF,Reggie Evans,BKN,BKN @ CHI, 8:00 PM,9.2,6000,"",OUT
SG,Jason Terry,BKN,BKN @ CHI, 8:00 PM,8.2,6000,"",
PG,Derek Fisher,OKC,OKC @ LAL,10:30 PM,9.5,5500,"",
SF,Tony Snell,CHI,CHI vs BKN, 8:00 PM,10.1,5500,"",
PF,Perry Jones,OKC,OKC @ LAL,10:30 PM,7.4,5500,"",
PG,Marquis Teague,BKN,BKN @ CHI, 8:00 PM,5.7,5500,"",
SF,Tornike Shengelia,CHI,CHI vs BKN, 8:00 PM,2.8,5000,"",OUT
SG-SF,Andre Roberson,OKC,OKC @ LAL,10:30 PM,5.4,5000,"",
C,Hasheem Thabeet,OKC,OKC @ LAL,10:30 PM,3.2,5000,"",
C,Steven Adams,OKC,OKC @ LAL,10:30 PM,11.2,5000,"",
PF,Erik Murphy,CHI,CHI vs BKN, 8:00 PM,0.8,5000,"",
C,Nazr Mohammed,CHI,CHI vs BKN, 8:00 PM,5.4,5000,"",
