"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF/C","Kevin Love",11000,"Atl@Min 08:00PM ET",52.777
"PF/C","Anthony Davis",10200,"LAC@NO 08:00PM ET",45.639
"PG","Chris Paul",10100,"LAC@NO 08:00PM ET",46.115
"SF/PF","LeBron James",10000,"Mia@Ind 08:00PM ET",48.258
"SF/PF","Carmelo Anthony",10000,"NY@Sac 10:00PM ET",47.070
"PF/C","Blake Griffin",10000,"LAC@NO 08:00PM ET",45.194
"PF/C","DeMarcus Cousins",9700,"NY@Sac 10:00PM ET",46.321
"PG","John Wall",9500,"Pho@Was 07:00PM ET",42.579
"PF/C","Al Jefferson",9300,"Bkn@Cha 07:00PM ET",41.694
"PG","Kyle Lowry",8800,"Tor@Bos 07:30PM ET",39.332
"PF/C","Paul Millsap",8700,"Atl@Min 08:00PM ET",38.353
"SG/SF","Paul George",8500,"Mia@Ind 08:00PM ET",39.577
"SG/SF","DeMar DeRozan",8300,"Tor@Bos 07:30PM ET",36.526
"PG/SG","Kyrie Irving",8000,"Cle@Det 07:30PM ET",38.176
"PG","Isaiah Thomas",7900,"NY@Sac 10:00PM ET",36.382
"PG","Kemba Walker",7800,"Bkn@Cha 07:00PM ET",34.664
"PF/C","Zach Randolph",7700,"Mem@Uta 10:30PM ET",35.119
"PF/C","Greg Monroe",7600,"Cle@Det 07:30PM ET",32.418
"SG/SF","Tyreke Evans",7600,"LAC@NO 08:00PM ET",29.123
"PG","Ricky Rubio",7600,"Atl@Min 08:00PM ET",31.957
"PG","Ty Lawson",7600,"Den@SA 08:30PM ET",39.075
"PG/SG","Goran Dragic",7500,"Pho@Was 07:00PM ET",36.075
"SF/PF","Rudy Gay",7500,"NY@Sac 10:00PM ET",35.906
"SF/PF","Josh Smith",7400,"Cle@Det 07:30PM ET",35.421
"PG","Jeff Teague",7400,"Atl@Min 08:00PM ET",32.125
"PF/C","Tim Duncan",7400,"Den@SA 08:30PM ET",36.441
