Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC vs PHI, 8:00 PM,50.4,20000,"",
SF,LeBron James,MIA,MIA @ HOU, 8:00 PM,46.0,18200,"",
PG,Chris Paul,LAC,LAC @ PHO, 9:00 PM,43.8,16600,"",
SG,James Harden,HOU,HOU vs MIA, 8:00 PM,38.9,15900,"",
PG,Stephen Curry,GSW,GSW @ IND, 7:00 PM,42.6,15600,"",
PF,Blake Griffin,LAC,LAC @ PHO, 9:00 PM,42.3,15500,"",
PG,Kyrie Irving,CLE,CLE vs SAS, 7:00 PM,35.9,15400,"",
C,Dwight Howard,HOU,HOU vs MIA, 8:00 PM,39.3,15100,"",
SG-SF,Paul George,IND,IND vs GSW, 7:00 PM,37.4,15100,"",
PG,Goran Dragic,PHO,PHO vs LAC, 9:00 PM,34.5,15000,"",
PF-C,Anthony Davis,NOP,NOP @ LAL,10:30 PM,41.6,14900,"",
PG,Russell Westbrook,OKC,OKC vs PHI, 8:00 PM,38.0,14700,"",
C,DeAndre Jordan,LAC,LAC @ PHO, 9:00 PM,34.5,14300,"",
PF-C,Pau Gasol,LAL,LAL vs NOP,10:30 PM,36.2,14100,"",
PF,Tim Duncan,SAS,SAS @ CLE, 7:00 PM,35.2,14000,"",
PF,Thaddeus Young,PHI,PHI @ OKC, 8:00 PM,31.8,13900,"",
SG,Dwyane Wade,MIA,MIA @ HOU, 8:00 PM,33.5,13500,"",
PF-C,Serge Ibaka,OKC,OKC vs PHI, 8:00 PM,31.9,13000,"",
PG,Michael Carter-Williams,PHI,PHI @ OKC, 8:00 PM,34.7,12800,"",
PG,Eric Bledsoe,PHO,PHO vs LAC, 9:00 PM,32.5,12700,"",OUT
PF,David Lee,GSW,GSW @ IND, 7:00 PM,34.1,12300,"",
SG-SF,Tyreke Evans,NOP,NOP @ LAL,10:30 PM,25.6,12200,"",
SG,Lance Stephenson,IND,IND vs GSW, 7:00 PM,30.0,12100,"",
PG,Tony Parker,SAS,SAS @ CLE, 7:00 PM,29.1,11800,"",
C,Spencer Hawes,CLE,CLE vs SAS, 7:00 PM,30.1,11700,"",
PF,Ryan Anderson,NOP,NOP @ LAL,10:30 PM,29.6,11600,"",OUT
PF,Tristan Thompson,CLE,CLE vs SAS, 7:00 PM,26.1,11300,"",
PF,David West,IND,IND vs GSW, 7:00 PM,28.3,11200,"",
PF-C,Chris Bosh,MIA,MIA @ HOU, 8:00 PM,29.2,11100,"",
C,Anderson Varejao,CLE,CLE vs SAS, 7:00 PM,28.2,11000,"",OUT
PG,Jrue Holiday,NOP,NOP @ LAL,10:30 PM,32.3,11000,"",OUT
SG-SF,Kawhi Leonard,SAS,SAS @ CLE, 7:00 PM,25.3,10800,"",
SF,Chandler Parsons,HOU,HOU vs MIA, 8:00 PM,30.5,10600,"",OUT
PF,Markieff Morris,PHO,PHO vs LAC, 9:00 PM,24.4,10600,"",
