"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SG/SF","Francisco Garcia",3100,"Hou@SA 08:00PM ET",15.723
"PF/C","Greg Smith",3000,"Hou@SA 08:00PM ET",7.438
"PF/C","Erik Murphy",3000,"Chi@Bkn 12:00PM ET",0.615
"C","Nazr Mohammed",3000,"Chi@Bkn 12:00PM ET",5.810
"PG/SG","Maalik Wayns",3000,"LAC@GS 10:30PM ET",0
"SG","Toure' Murry",3000,"OKC@NY 02:30PM ET",3.841
"PG/SG","Nando De Colo",3000,"Hou@SA 08:00PM ET",5.932
"PG/SG","Nemanja Nedovic",3000,"LAC@GS 10:30PM ET",2.613
"PG","Tyshawn Taylor",3000,"Chi@Bkn 12:00PM ET",9.794
"PG/SG","Jason Terry",3000,"Chi@Bkn 12:00PM ET",10.229
"SF/PF","Rashard Lewis",3000,"Mia@LAL 05:00PM ET",11.712
"PG","Isaiah Canaan",3000,"Hou@SA 08:00PM ET",0
"PF","Ryan Kelly",3000,"Mia@LAL 05:00PM ET",4.208
"PG/SG","Kobe Bryant",3000,"Mia@LAL 05:00PM ET",28.833
"SF/PF","Donatas Motiejunas",3000,"Hou@SA 08:00PM ET",5.214
"PG","Cory Joseph",3000,"Hou@SA 08:00PM ET",6.325
"C","Jermaine O'Neal",3000,"LAC@GS 10:30PM ET",14.250
"C","Ognjen Kuzmic",3000,"LAC@GS 10:30PM ET",1.525
"SF/PF","Tornike Shengelia",3000,"Chi@Bkn 12:00PM ET",4.705
"PG","Marquis Teague",3000,"Chi@Bkn 12:00PM ET",6.403
"SF/PF","Mirza Teletovic",3000,"Chi@Bkn 12:00PM ET",13.750
"PG/SG","Pablo Prigioni",3000,"OKC@NY 02:30PM ET",13.698
"PF","Antawn Jamison",3000,"LAC@GS 10:30PM ET",9.214
"SF/PF","Perry Jones",3000,"OKC@NY 02:30PM ET",7.681
"PF","Robert Covington",3000,"Hou@SA 08:00PM ET",0
"SF/PF","Andre Roberson",3000,"OKC@NY 02:30PM ET",5.273
"SG/SF","Reggie Bullock",3000,"LAC@GS 10:30PM ET",5.044
"PG","Derek Fisher",3000,"OKC@NY 02:30PM ET",7.433
"SG/SF","Stephen Jackson",3000,"LAC@GS 10:30PM ET",5.333
"PG","Kendall Marshall",3000,"Mia@LAL 05:00PM ET",1.375
"C","Kendrick Perkins",3000,"OKC@NY 02:30PM ET",10.410
"C","Ryan Hollins",3000,"LAC@GS 10:30PM ET",5.144
"SG/SF","Ronnie Brewer",3000,"Hou@SA 08:00PM ET",2.339
"PF","Udonis Haslem",3000,"Mia@LAL 05:00PM ET",5.533
"PF/C","Hilton Armstrong",3000,"LAC@GS 10:30PM ET",3.550
"SG","Roger Mason Jr.",3000,"Mia@LAL 05:00PM ET",8.563
"C","Brook Lopez",3000,"Chi@Bkn 12:00PM ET",33.382
"PF/C","Reggie Evans",3000,"Chi@Bkn 12:00PM ET",8.069
"C","Aron Baynes",3000,"Hou@SA 08:00PM ET",6.375
"PG","Jordan Farmar",3000,"Mia@LAL 05:00PM ET",20.875
"PF/C","Jeff Ayres",3000,"Hou@SA 08:00PM ET",8.385
"PF/C","Joel Anthony",3000,"Mia@LAL 05:00PM ET",2.375
"C","Hasheem Thabeet",3000,"OKC@NY 02:30PM ET",5.063
"PG/SG","Shaun Livingston",3000,"Chi@Bkn 12:00PM ET",15.843
"PG/SG","Toney Douglas",3000,"LAC@GS 10:30PM ET",8.300
"C","Greg Oden",3000,"Mia@LAL 05:00PM ET",0
"PF/C","Nick Collison",3000,"OKC@NY 02:30PM ET",11.644
"PF","Matt Bonner",3000,"Hou@SA 08:00PM ET",6.774
"C","Festus Ezeli",3000,"LAC@GS 10:30PM ET",0
"PG/SG","Chris Smith",3000,"OKC@NY 02:30PM ET",0
"SF/PF","Metta World Peace",3000,"OKC@NY 02:30PM ET",12.091
"PF/C","Byron Mullens",3000,"LAC@GS 10:30PM ET",6.188
"SG/SF","Shane Battier",3000,"Mia@LAL 05:00PM ET",9.913
"PF/C","Kenyon Martin",3000,"OKC@NY 02:30PM ET",15.211
"C","Cole Aldrich",3000,"OKC@NY 02:30PM ET",3.682
"SG","Willie Green",3000,"LAC@GS 10:30PM ET",9.706
"PF/C","Amar'e Stoudemire",3000,"OKC@NY 02:30PM ET",14.000
"SF/PF","Ryan Gomes",3000,"OKC@NY 02:30PM ET",2.188
"SG/SF","Kent Bazemore",3000,"LAC@GS 10:30PM ET",4.875
"SF/PF","Malcolm Thomas",3000,"Hou@SA 08:00PM ET",0
"SG/SF","James Jones",3000,"Mia@LAL 05:00PM ET",5.306
"C","Robert Sacre",3000,"Mia@LAL 05:00PM ET",11.650
