"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF/C","Kevin Love",10800,"Bkn@Min 08:00PM ET",52.519
"PF/C","Anthony Davis",10300,"Cle@NO 08:00PM ET",49.114
"SG/SF","Paul George",9600,"Ind@Bos 07:30PM ET",42.250
"PG","John Wall",9200,"Was@Tor 07:00PM ET",40.341
"PF/C","LaMarcus Aldridge",9100,"Chi@Por 10:00PM ET",40.583
"PG/SG","Stephen Curry",9100,"GS@LAL 10:30PM ET",41.825
"PG/SG","Kyrie Irving",8800,"Cle@NO 08:00PM ET",38.417
"PG/SG","Monta Ellis",8500,"Uta@Dal 08:30PM ET",37.979
"PG","Damian Lillard",8500,"Chi@Por 10:00PM ET",36.750
"SF/PF","Rudy Gay",8400,"Was@Tor 07:00PM ET",38.417
"PF/C","Al Horford",8300,"Atl@Det 07:30PM ET",37.500
"PG","Kemba Walker",8300,"Pho@Cha 07:00PM ET",31.688
"C","Marc Gasol",8100,"SA@Mem 08:00PM ET",36.875
"PG","Rajon Rondo",8000,"Ind@Bos 07:30PM ET",0
"SG","Kobe Bryant",8000,"GS@LAL 10:30PM ET",0
"C","Roy Hibbert",7900,"Ind@Bos 07:30PM ET",32.364
"PF/C","Derrick Favors",7900,"Uta@Dal 08:30PM ET",34.788
"SG/SF","Evan Turner",7900,"Mil@Phi 07:00PM ET",35.962
"PF/C","Andre Drummond",7800,"Atl@Det 07:30PM ET",35.136
"PG","Brandon Jennings",7800,"Atl@Det 07:30PM ET",35.611
"SF/PF","Josh Smith",7800,"Atl@Det 07:30PM ET",34.295
"PF","Paul Millsap",7800,"Atl@Det 07:30PM ET",34.386
"PG","Jeff Teague",7700,"Atl@Det 07:30PM ET",36.854
"PF/C","Greg Monroe",7700,"Atl@Det 07:30PM ET",33.182
"PG","Mike Conley",7700,"SA@Mem 08:00PM ET",33.250
"PF/C","Zach Randolph",7700,"SA@Mem 08:00PM ET",32.146
"PF/C","Pau Gasol",7700,"GS@LAL 10:30PM ET",33.708
"PG/SG","Eric Bledsoe",7600,"Pho@Cha 07:00PM ET",38.861
"C","Spencer Hawes",7600,"Mil@Phi 07:00PM ET",38.769
"SG/SF","Andre Iguodala",7600,"GS@LAL 10:30PM ET",33.208
"PG","Derrick Rose",7500,"Chi@Por 10:00PM ET",25.861
